强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级	紫色17级	紫色18级	紫色19级
Strength	Purple1	Purple2	Purple3	Purple4	Purple5	Purple6	Purple7	Purple8	Purple9	Purple10	Purple11	Purple12	Purple13	Purple14	Purple15	Purple16	Purple17	Purple18	Purple19
1	200	360	520	680	880	1080	1280	1680	2160	2960	3760	5080	6400	8600	11000	14200	18200	23200	29200
2	230	368	528	692	892	1100	1308	1716	2204	3012	3820	5148	6476	8684	11092	14300	18308	23316	29324
3	260	376	536	704	904	1120	1336	1752	2248	3064	3880	5216	6552	8768	11184	14400	18416	23432	29448
4	290	384	544	716	916	1140	1364	1788	2292	3116	3940	5284	6628	8852	11276	14500	18524	23548	29572
5	320	392	552	728	928	1160	1392	1824	2336	3168	4000	5352	6704	8936	11368	14600	18632	23664	29696
6	328	400	560	740	940	1180	1420	1860	2380	3220	4060	5420	6780	9020	11460	14700	18740	23780	29820
7	336	408	568	752	952	1200	1448	1896	2424	3272	4120	5488	6856	9104	11552	14800	18848	23896	29944
8	344	416	576	764	964	1220	1476	1932	2468	3324	4180	5556	6932	9188	11644	14900	18956	24012	30068
9	352	424	584	776	976	1240	1504	1968	2512	3376	4240	5624	7008	9272	11736	15000	19064	24128	30192
10	360	432	592	788	988	1260	1532	2004	2556	3428	4300	5692	7084	9356	11828	15100	19172	24244	30316
11	368	440	600	800	1000	1280	1560	2040	2600	3480	4360	5760	7160	9440	11920	15200	19280	24360	30440
12	376	448	608	812	1012	1300	1588	2076	2644	3532	4420	5828	7236	9524	12012	15300	19388	24476	30564
13	384	456	616	824	1024	1320	1616	2112	2688	3584	4480	5896	7312	9608	12104	15400	19496	24592	30688
14	392	464	624	836	1036	1340	1644	2148	2732	3636	4540	5964	7388	9692	12196	15500	19604	24708	30812
15	400	472	632	848	1048	1360	1672	2184	2776	3688	4600	6032	7464	9776	12288	15600	19712	24824	30936
16	408	480	640	860	1060	1380	1700	2220	2820	3740	4660	6100	7540	9860	12380	15700	19820	24940	31060
17	416	488	648	872	1072	1400	1728	2256	2864	3792	4720	6168	7616	9944	12472	15800	19928	25056	31184
18	424	496	656	884	1084	1420	1756	2292	2908	3844	4780	6236	7692	10028	12564	15900	20036	25172	31308
19	432	504	664	896	1096	1440	1784	2328	2952	3896	4840	6304	7768	10112	12656	16000	20144	25288	31432
20	440	512	672	908	1108	1460	1812	2364	2996	3948	4900	6372	7844	10196	12748	16100	20252	25404	31556
21	448	520	680	920	1120	1480	1840	2400	3040	4000	4960	6440	7920	10280	12840	16200	20360	25520	31680
22	456	528	688	932	1132	1500	1868	2436	3084	4052	5020	6508	7996	10364	12932	16300	20468	25636	31804
23	464	536	696	944	1144	1520	1896	2472	3128	4104	5080	6576	8072	10448	13024	16400	20576	25752	31928
24	472	544	704	956	1156	1540	1924	2508	3172	4156	5140	6644	8148	10532	13116	16500	20684	25868	32052
25	480	552	712	968	1168	1560	1952	2544	3216	4208	5200	6712	8224	10616	13208	16600	20792	25984	32176
26	488	560	720	980	1180	1580	1980	2580	3260	4260	5260	6780	8300	10700	13300	16700	20900	26100	32300
27	496	568	728	992	1192	1600	2008	2616	3304	4312	5320	6848	8376	10784	13392	16800	21008	26216	32424
28	504	576	736	1004	1204	1620	2036	2652	3348	4364	5380	6916	8452	10868	13484	16900	21116	26332	32548
29	512	584	744	1016	1216	1640	2064	2688	3392	4416	5440	6984	8528	10952	13576	17000	21224	26448	32672
30	520	592	752	1028	1228	1660	2092	2724	3436	4468	5500	7052	8604	11036	13668	17100	21332	26564	32796
31	528	600	760	1040	1240	1680	2120	2760	3480	4520	5560	7120	8680	11120	13760	17200	21440	26680	32920
32	536	608	768	1052	1252	1700	2148	2796	3524	4572	5620	7188	8756	11204	13852	17300	21548	26796	33044
33	544	616	776	1064	1264	1720	2176	2832	3568	4624	5680	7256	8832	11288	13944	17400	21656	26912	33168
34	552	624	784	1076	1276	1740	2204	2868	3612	4676	5740	7324	8908	11372	14036	17500	21764	27028	33292
35	560	632	792	1088	1288	1760	2232	2904	3656	4728	5800	7392	8984	11456	14128	17600	21872	27144	33416
36	568	640	800	1100	1300	1780	2260	2940	3700	4780	5860	7460	9060	11540	14220	17700	21980	27260	33540
37	576	648	808	1112	1312	1800	2288	2976	3744	4832	5920	7528	9136	11624	14312	17800	22088	27376	33664
38	584	656	816	1124	1324	1820	2316	3012	3788	4884	5980	7596	9212	11708	14404	17900	22196	27492	33788
39	592	664	824	1136	1336	1840	2344	3048	3832	4936	6040	7664	9288	11792	14496	18000	22304	27608	33912
40	600	672	832	1148	1348	1860	2372	3084	3876	4988	6100	7732	9364	11876	14588	18100	22412	27724	34036
41	608	680	840	1160	1360	1880	2400	3120	3920	5040	6160	7800	9440	11960	14680	18200	22520	27840	34160
42	616	688	848	1172	1372	1900	2428	3156	3964	5092	6220	7868	9516	12044	14772	18300	22628	27956	34284
43	624	696	856	1184	1384	1920	2456	3192	4008	5144	6280	7936	9592	12128	14864	18400	22736	28072	34408
44	632	704	864	1196	1396	1940	2484	3228	4052	5196	6340	8004	9668	12212	14956	18500	22844	28188	34532
45	640	712	872	1208	1408	1960	2512	3264	4096	5248	6400	8072	9744	12296	15048	18600	22952	28304	34656
46	648	720	880	1220	1420	1980	2540	3300	4140	5300	6460	8140	9820	12380	15140	18700	23060	28420	34780
47	656	728	888	1232	1432	2000	2568	3336	4184	5352	6520	8208	9896	12464	15232	18800	23168	28536	34904
48	664	736	896	1244	1444	2020	2596	3372	4228	5404	6580	8276	9972	12548	15324	18900	23276	28652	35028
49	672	744	904	1256	1456	2040	2624	3408	4272	5456	6640	8344	10048	12632	15416	19000	23384	28768	35152
50	680	752	912	1268	1468	2060	2652	3444	4316	5508	6700	8412	10124	12716	15508	19100	23492	28884	35276
51	688	760	920	1280	1480	2080	2680	3480	4360	5560	6760	8480	10200	12800	15600	19200	23600	29000	35400
52	696	768	928	1292	1492	2100	2708	3516	4404	5612	6820	8548	10276	12884	15692	19300	23708	29116	35524
53	704	776	936	1304	1504	2120	2736	3552	4448	5664	6880	8616	10352	12968	15784	19400	23816	29232	35648
54	712	784	944	1316	1516	2140	2764	3588	4492	5716	6940	8684	10428	13052	15876	19500	23924	29348	35772
55	720	792	952	1328	1528	2160	2792	3624	4536	5768	7000	8752	10504	13136	15968	19600	24032	29464	35896
56	728	800	960	1340	1540	2180	2820	3660	4580	5820	7060	8820	10580	13220	16060	19700	24140	29580	36020
57	736	808	968	1352	1552	2200	2848	3696	4624	5872	7120	8888	10656	13304	16152	19800	24248	29696	36144
58	744	816	976	1364	1564	2220	2876	3732	4668	5924	7180	8956	10732	13388	16244	19900	24356	29812	36268
59	752	824	984	1376	1576	2240	2904	3768	4712	5976	7240	9024	10808	13472	16336	20000	24464	29928	36392
60	760	832	992	1388	1588	2260	2932	3804	4756	6028	7300	9092	10884	13556	16428	20100	24572	30044	36516
61	768	840	1000	1400	1600	2280	2960	3840	4800	6080	7360	9160	10960	13640	16520	20200	24680	30160	36640
62	776	848	1008	1412	1612	2300	2988	3876	4844	6132	7420	9228	11036	13724	16612	20300	24788	30276	36764
63	784	856	1016	1424	1624	2320	3016	3912	4888	6184	7480	9296	11112	13808	16704	20400	24896	30392	36888
64	792	864	1024	1436	1636	2340	3044	3948	4932	6236	7540	9364	11188	13892	16796	20500	25004	30508	37012
65	800	872	1032	1448	1648	2360	3072	3984	4976	6288	7600	9432	11264	13976	16888	20600	25112	30624	37136
66	808	880	1040	1460	1660	2380	3100	4020	5020	6340	7660	9500	11340	14060	16980	20700	25220	30740	37260
67	816	888	1048	1472	1672	2400	3128	4056	5064	6392	7720	9568	11416	14144	17072	20800	25328	30856	37384
68	824	896	1056	1484	1684	2420	3156	4092	5108	6444	7780	9636	11492	14228	17164	20900	25436	30972	37508
69	832	904	1064	1496	1696	2440	3184	4128	5152	6496	7840	9704	11568	14312	17256	21000	25544	31088	37632
70	840	912	1072	1508	1708	2460	3212	4164	5196	6548	7900	9772	11644	14396	17348	21100	25652	31204	37756
71	848	920	1080	1520	1720	2480	3240	4200	5240	6600	7960	9840	11720	14480	17440	21200	25760	31320	37880
72	856	928	1088	1532	1732	2500	3268	4236	5284	6652	8020	9908	11796	14564	17532	21300	25868	31436	38004
73	864	936	1096	1544	1744	2520	3296	4272	5328	6704	8080	9976	11872	14648	17624	21400	25976	31552	38128
74	872	944	1104	1556	1756	2540	3324	4308	5372	6756	8140	10044	11948	14732	17716	21500	26084	31668	38252
75	880	952	1112	1568	1768	2560	3352	4344	5416	6808	8200	10112	12024	14816	17808	21600	26192	31784	38376
76	888	960	1120	1580	1780	2580	3380	4380	5460	6860	8260	10180	12100	14900	17900	21700	26300	31900	38500
77	896	968	1128	1592	1792	2600	3408	4416	5504	6912	8320	10248	12176	14984	17992	21800	26408	32016	38624
78	904	976	1136	1604	1804	2620	3436	4452	5548	6964	8380	10316	12252	15068	18084	21900	26516	32132	38748
79	912	984	1144	1616	1816	2640	3464	4488	5592	7016	8440	10384	12328	15152	18176	22000	26624	32248	38872
80	920	992	1152	1628	1828	2660	3492	4524	5636	7068	8500	10452	12404	15236	18268	22100	26732	32364	38996
81	928	1000	1160	1640	1840	2680	3520	4560	5680	7120	8560	10520	12480	15320	18360	22200	26840	32480	39120
82	936	1008	1168	1652	1852	2700	3548	4596	5724	7172	8620	10588	12556	15404	18452	22300	26948	32596	39244
83	944	1016	1176	1664	1864	2720	3576	4632	5768	7224	8680	10656	12632	15488	18544	22400	27056	32712	39368
84	952	1024	1184	1676	1876	2740	3604	4668	5812	7276	8740	10724	12708	15572	18636	22500	27164	32828	39492
85	960	1032	1192	1688	1888	2760	3632	4704	5856	7328	8800	10792	12784	15656	18728	22600	27272	32944	39616
86	968	1040	1200	1700	1900	2780	3660	4740	5900	7380	8860	10860	12860	15740	18820	22700	27380	33060	39740
87	976	1048	1208	1712	1912	2800	3688	4776	5944	7432	8920	10928	12936	15824	18912	22800	27488	33176	39864
