强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级	紫色17级	紫色18级	紫色19级
Strength	Purple1	Purple2	Purple3	Purple4	Purple5	Purple6	Purple7	Purple8	Purple9	Purple10	Purple11	Purple12	Purple13	Purple14	Purple15	Purple16	Purple17	Purple18	Purple19
1	10	90	170	250	350	450	550	750	990	1390	1790	2450	3110	4210	5410	7010	9010	11510	14510
2	25	94	174	256	356	460	564	768	1012	1416	1820	2484	3148	4252	5456	7060	9064	11568	14572
3	40	98	178	262	362	470	578	786	1034	1442	1850	2518	3186	4294	5502	7110	9118	11626	14634
4	55	102	182	268	368	480	592	804	1056	1468	1880	2552	3224	4336	5548	7160	9172	11684	14696
5	70	106	186	274	374	490	606	822	1078	1494	1910	2586	3262	4378	5594	7210	9226	11742	14758
6	74	110	190	280	380	500	620	840	1100	1520	1940	2620	3300	4420	5640	7260	9280	11800	14820
7	78	114	194	286	386	510	634	858	1122	1546	1970	2654	3338	4462	5686	7310	9334	11858	14882
8	82	118	198	292	392	520	648	876	1144	1572	2000	2688	3376	4504	5732	7360	9388	11916	14944
9	86	122	202	298	398	530	662	894	1166	1598	2030	2722	3414	4546	5778	7410	9442	11974	15006
10	90	126	206	304	404	540	676	912	1188	1624	2060	2756	3452	4588	5824	7460	9496	12032	15068
11	94	130	210	310	410	550	690	930	1210	1650	2090	2790	3490	4630	5870	7510	9550	12090	15130
12	98	134	214	316	416	560	704	948	1232	1676	2120	2824	3528	4672	5916	7560	9604	12148	15192
13	102	138	218	322	422	570	718	966	1254	1702	2150	2858	3566	4714	5962	7610	9658	12206	15254
14	106	142	222	328	428	580	732	984	1276	1728	2180	2892	3604	4756	6008	7660	9712	12264	15316
15	110	146	226	334	434	590	746	1002	1298	1754	2210	2926	3642	4798	6054	7710	9766	12322	15378
16	114	150	230	340	440	600	760	1020	1320	1780	2240	2960	3680	4840	6100	7760	9820	12380	15440
17	118	154	234	346	446	610	774	1038	1342	1806	2270	2994	3718	4882	6146	7810	9874	12438	15502
18	122	158	238	352	452	620	788	1056	1364	1832	2300	3028	3756	4924	6192	7860	9928	12496	15564
19	126	162	242	358	458	630	802	1074	1386	1858	2330	3062	3794	4966	6238	7910	9982	12554	15626
20	130	166	246	364	464	640	816	1092	1408	1884	2360	3096	3832	5008	6284	7960	10036	12612	15688
21	134	170	250	370	470	650	830	1110	1430	1910	2390	3130	3870	5050	6330	8010	10090	12670	15750
22	138	174	254	376	476	660	844	1128	1452	1936	2420	3164	3908	5092	6376	8060	10144	12728	15812
23	142	178	258	382	482	670	858	1146	1474	1962	2450	3198	3946	5134	6422	8110	10198	12786	15874
24	146	182	262	388	488	680	872	1164	1496	1988	2480	3232	3984	5176	6468	8160	10252	12844	15936
25	150	186	266	394	494	690	886	1182	1518	2014	2510	3266	4022	5218	6514	8210	10306	12902	15998
26	154	190	270	400	500	700	900	1200	1540	2040	2540	3300	4060	5260	6560	8260	10360	12960	16060
27	158	194	274	406	506	710	914	1218	1562	2066	2570	3334	4098	5302	6606	8310	10414	13018	16122
28	162	198	278	412	512	720	928	1236	1584	2092	2600	3368	4136	5344	6652	8360	10468	13076	16184
29	166	202	282	418	518	730	942	1254	1606	2118	2630	3402	4174	5386	6698	8410	10522	13134	16246
30	170	206	286	424	524	740	956	1272	1628	2144	2660	3436	4212	5428	6744	8460	10576	13192	16308
31	174	210	290	430	530	750	970	1290	1650	2170	2690	3470	4250	5470	6790	8510	10630	13250	16370
32	178	214	294	436	536	760	984	1308	1672	2196	2720	3504	4288	5512	6836	8560	10684	13308	16432
33	182	218	298	442	542	770	998	1326	1694	2222	2750	3538	4326	5554	6882	8610	10738	13366	16494
34	186	222	302	448	548	780	1012	1344	1716	2248	2780	3572	4364	5596	6928	8660	10792	13424	16556
35	190	226	306	454	554	790	1026	1362	1738	2274	2810	3606	4402	5638	6974	8710	10846	13482	16618
36	194	230	310	460	560	800	1040	1380	1760	2300	2840	3640	4440	5680	7020	8760	10900	13540	16680
37	198	234	314	466	566	810	1054	1398	1782	2326	2870	3674	4478	5722	7066	8810	10954	13598	16742
38	202	238	318	472	572	820	1068	1416	1804	2352	2900	3708	4516	5764	7112	8860	11008	13656	16804
39	206	242	322	478	578	830	1082	1434	1826	2378	2930	3742	4554	5806	7158	8910	11062	13714	16866
40	210	246	326	484	584	840	1096	1452	1848	2404	2960	3776	4592	5848	7204	8960	11116	13772	16928
41	214	250	330	490	590	850	1110	1470	1870	2430	2990	3810	4630	5890	7250	9010	11170	13830	16990
42	218	254	334	496	596	860	1124	1488	1892	2456	3020	3844	4668	5932	7296	9060	11224	13888	17052
43	222	258	338	502	602	870	1138	1506	1914	2482	3050	3878	4706	5974	7342	9110	11278	13946	17114
44	226	262	342	508	608	880	1152	1524	1936	2508	3080	3912	4744	6016	7388	9160	11332	14004	17176
45	230	266	346	514	614	890	1166	1542	1958	2534	3110	3946	4782	6058	7434	9210	11386	14062	17238
46	234	270	350	520	620	900	1180	1560	1980	2560	3140	3980	4820	6100	7480	9260	11440	14120	17300
47	238	274	354	526	626	910	1194	1578	2002	2586	3170	4014	4858	6142	7526	9310	11494	14178	17362
48	242	278	358	532	632	920	1208	1596	2024	2612	3200	4048	4896	6184	7572	9360	11548	14236	17424
49	246	282	362	538	638	930	1222	1614	2046	2638	3230	4082	4934	6226	7618	9410	11602	14294	17486
50	250	286	366	544	644	940	1236	1632	2068	2664	3260	4116	4972	6268	7664	9460	11656	14352	17548
