编号	物品	单个格子里的物品的权重	是否系统公告
Id	Award1	Weight	SendMessage
1	card.121:1	3	1
2	card.121:2	1	1
3	material.103:5	50	0
4	material.103:10	20	0
5	material.103:20	5	1
6	material.103:30	5	1
7	material.103:40	1	1
8	material.82:1	200	0
9	material.82:2	100	0
10	material.82:3	50	0
11	material.82:5	20	0
12	material.82:10	10	1
13	material.82:20	5	1
14	material.82:50	2	1
15	material.82:100	1	1
16	material.19:5	100	0
17	material.19:8	100	0
18	material.19:10	100	0
19	material.19:20	50	0
20	material.19:50	30	1
21	material.19:100	20	1
22	material.19:200	5	1
23	material.19:500	1	1
24	material.21:10	100	0
25	material.21:20	50	0
26	material.22:5	100	0
27	material.22:10	50	0
28	material.26:5	100	0
29	user.soul:200	100	0
30	user.soul:300	100	0
31	user.soul:500	50	0
32	user.soul:1000	30	1
33	user.soul:2000	10	1
34	material.37:5	100	0
35	gem.101:1	50	0
36	gem.102:1	50	0
37	gem.103:1	100	0
38	gem.104:1	50	0
39	gem.105:1	40	1
40	gem.106:1	10	1
41	gem.107:1	1	1
42	gem.108:1	1	1
43	gem.109:1	1	1
44	gem.201:1	50	0
45	gem.202:1	50	0
46	gem.203:1	100	0
47	gem.204:1	50	0
48	gem.205:1	40	1
49	gem.206:1	10	1
50	gem.207:1	1	1
51	gem.208:1	1	1
52	gem.209:1	1	1
53	gem.301:1	50	0
54	gem.302:1	50	0
55	gem.303:1	100	0
56	gem.304:1	50	0
57	gem.305:1	40	1
58	gem.306:1	10	1
59	gem.307:1	1	1
60	gem.308:1	1	1
61	gem.309:1	1	1
62	gem.401:1	50	0
63	gem.402:1	50	0
64	gem.403:1	100	0
65	gem.404:1	50	1
66	gem.405:1	40	1
67	gem.406:1	10	1
68	gem.407:1	1	1
69	gem.408:1	1	1
70	gem.409:1	1	1
71	gem.501:1	50	0
72	gem.502:1	50	0
73	gem.503:1	100	0
74	gem.504:1	50	1
75	gem.505:1	40	1
76	gem.506:1	10	1
77	gem.507:1	1	1
78	gem.508:1	1	1
79	gem.509:1	1	1
80	gem.901:1	50	0
81	gem.902:1	50	0
82	gem.903:1	100	1
83	gem.904:1	50	1
84	gem.905:1	1	1
85	gem.906:1	1	1
86	gem.907:1	1	1
87	gem.908:1	0	1
88	gem.909:1	0	1
89	user.cash:100	50	0
90	user.cash:200	20	1
91	user.cash:300	20	1
92	user.cash:500	5	1
93	user.cash:1000	1	1
94	user.cash:2000	1	1
95	material.80:8	0	0
96	material.80:5	10	0
97	material.80:2	20	0
98	gem.104:2	50	1
99	gem.204:2	50	1
100	gem.304:2	50	1
101	gem.404:2	50	1
102	gem.504:2	50	1
103	gem.903:2	50	1
104	material.26:10	100	0
105	material.26:20	20	1
106	material.26:50	5	1
107	material.82:1	200	0
108	material.103:1	200	0
109	material.3308:5	100	0
110	material.3308:10	50	0
111	material.3308:15	20	1
112	material.3308:20	10	1
