格子编号	物品	格子颜色	抽牌时权重
Id	Item	Color	Weight
1	2|6|10|14|18|21|67|44|99|75|87|89	purple	500
2	2|6|10|14|18|21|100|44|87|89|75	blue	500
3	22|76|72|98|99|100	green	200
4	75|51|67|63|21|91|94|40|44|105	orange	1000
5	75|52|80|84|21|91|94|40|44|105	purple	500
6	98|99|100|25|26|27|28|29|30	blue	100
7	40|44|21|101|95|97|40|44|104|105|83	green	1000
8	88|90|92|93|96|75|41|45	orange	200
9	23|76|77|31|32|33|34|35	purple	100
10	87|88|89|90|91|92|93|94|95|96|97	blue	200
11	39|43|21|101|40|44|2|6|10|14|18	green	1000
12	24|74|78|36|37|38	orange	1
