编号	刷新所需元宝	消耗积分	消耗元宝
Id	RefreshCash	Score	Cash
1	10	5	20
2	10	5	20
3	10	5	20
4	10	5	20
5	10	5	20
6	15	5	20
7	15	5	20
8	15	5	20
9	15	5	20
10	15	5	20
11	20	5	20
12	20	5	20
13	20	5	20
14	20	5	20
15	20	5	20
16	25	5	20
17	25	5	20
18	25	5	20
19	25	5	20
20	25	5	20
21	30	5	20
22	30	5	20
23	30	5	20
24	30	5	20
25	30	5	20
26	35	5	20
27	35	5	20
28	35	5	20
29	35	5	20
30	35	5	20
31	40	5	20
32	40	5	20
33	40	5	20
34	40	5	20
35	40	5	20
36	50	5	20
37	50	5	20
38	50	5	20
39	50	5	20
40	50	5	20
41	55	5	20
42	55	5	20
43	55	5	20
44	55	5	20
45	55	5	20
46	60	5	20
47	60	5	20
48	60	5	20
49	60	5	20
50	60	5	20
51	65	5	20
52	65	5	20
53	65	5	20
54	65	5	20
55	65	5	20
56	70	5	20
57	70	5	20
58	70	5	20
59	70	5	20
60	70	5	20
61	75	5	20
62	75	5	20
63	75	5	20
64	75	5	20
65	75	5	20
66	80	5	20
67	80	5	20
68	80	5	20
69	80	5	20
70	80	5	20
71	85	5	20
72	85	5	20
73	85	5	20
74	85	5	20
75	85	5	20
76	90	5	20
77	90	5	20
78	90	5	20
79	90	5	20
80	90	5	20
81	95	5	20
82	95	5	20
83	95	5	20
84	95	5	20
85	95	5	20
86	100	5	20
87	100	5	20
88	100	5	20
89	100	5	20
90	100	5	20
91	100	5	20
92	100	5	20
93	100	5	20
94	100	5	20
95	100	5	20
96	100	5	20
97	100	5	20
98	100	5	20
99	100	5	20
max	100	5	20
