 	物品	英雄卡牌ID	单个格子里的物品的权重	是否系统公告
Id	Award1	RoleId	Weight	SendMessage
1	gem.101:1		50	0
2	gem.102:1		25	0
3	gem.103:1		10	0
4	gem.104:1		1	1
5	gem.201:1		50	0
6	gem.202:1		25	0
7	gem.203:1		10	0
8	gem.204:1		1	1
9	gem.301:1		50	0
10	gem.302:1		25	0
11	gem.303:1		10	0
12	gem.304:1		1	1
13	gem.401:1		50	0
14	gem.402:1		25	0
15	gem.403:1		10	0
16	gem.404:1		1	1
17	gem.501:1		50	0
18	gem.502:1		25	0
19	gem.503:1		10	0
20	gem.504:1		1	1
21	gem.901:1		50	0
22	gem.902:1		25	0
23	gem.903:1		10	0
24	gem.904:1		1	1
25	card.93:1	93	5	1
26	card.94:1	94	5	1
27	card.95:1	95	5	1
28	card.96:1	96	5	1
29	card.97:1	97	5	1
30	card.98:1	98	5	1
31	card.99:1	99	5	1
32	card.100:1	100	5	1
33	card.101:1	101	5	1
34	card.102:1	102	5	1
35	card.103:1	103	5	1
36	card.119:1	119	1	1
37	card.120:1	120	1	1
38	card.121:1	121	1	1
39	material.19:1		100	0
40	material.19:2		50	0
41	material.19:5		10	0
42	material.19:10		10	1
43	material.26:1		100	0
44	material.26:2		50	0
45	material.26:5		10	0
46	material.26:10		10	1
47	material.21:1		50	0
48	material.21:2		25	0
49	material.21:3		5	0
50	material.21:5		1	0
51	material.22:1		100	0
52	material.22:2		50	0
53	material.22:3		10	0
54	material.22:5		1	1
55	material.23:1		50	0
56	material.23:2		25	0
57	material.23:3		5	0
58	material.23:5		1	1
59	material.24:1		50	0
60	material.24:2		25	0
61	material.24:3		5	0
62	material.24:5		1	1
63	material.37:1		50	0
64	material.37:2		50	0
65	material.37:3		10	0
66	material.37:5		1	1
67	material.3202:1		100	0
68	material.3202:2		50	0
69	material.3202:5		10	0
70	material.3202:10		10	1
71	material.3203:1		100	0
72	material.3203:2		50	0
73	material.3203:5		10	0
74	material.3203:10		1	1
75	material.82:1		10	0
76	material.82:2		5	0
77	material.82:5		5	0
78	material.82:10		1	1
79	user.food:200		100	0
80	user.food:500		50	0
81	user.food:1000		10	0
82	user.food:2000		1	0
83	user.gold:500000		100	0
84	user.gold:1000000		50	0
85	user.gold:1500000		10	0
86	user.gold:2000000		1	0
87	material.108:5		50	1
88	material.100:5		50	1
89	material.109:5		20	1
90	material.101:5		10	1
91	material.110:5		20	1
92	material.104:5		10	1
93	material.105:5		10	1
94	material.111:5		20	1
95	material.112:5		20	1
96	material.106:5		10	1
97	material.113:5		20	1
98	material.103:1		5	1
99	material.102:1		5	1
100	material.107:1		5	1
101	material.28:1		50	0
102	material.29:1		25	0
103	material.30:1		10	0
104	material.3411:1		100	0
105	material.3412:1		50	0
106	material.3413:1		20	0
