格子编号	物品	抽牌时权重
Id	Item	Weight
1	1|2|3|4|5|6|7|8|9|85	100
2	12|13|23|24|39|50|63|64|97|98	1000
3	24|43|44|58|65|70|63|64|73|81	1000
4	28|29|30|31|32|33|34|35|36|37|38|84	50
5	77|79|82|83|88|93|100|105|109|112	500
6	1|2|3|4|5|6|7|8|12|58	100
7	94|95|96|97|98|99|100|101|102|103|104|42	500
8	17|18|40|41|45|46|66|69|71|89|113	300
9	1|2|3|4|5|6|7|8|24|39	100
10	9|47|57|61|72|78|81|82|109|110	1000
11	39|40|31|35|80|82|92|109|111	500
12	10|15|16|26|27|36|37|38|81|107	300
13	87|88|89|90|91|92|93|94|95|96|97	500
14	1|2|3|4|5|6|7|8|43|108	100
15	11|21|28|37|40|75|79|87|105|111	500
16	26|45|57|66|75|89|96|99|100|106	500
