 	物品	单个格子里的物品的权重	是否系统公告	图标
Id	Award1	Weight	SendMessage	Icon
1	multiple:2	20	0	item/2.png
2	multiple:3	100	0	item/3.png
3	multiple:4	70	0	item/4.png
4	multiple:5	50	1	item/5.png
5	multiple:6	20	1	item/6.png
6	multiple:7	10	1	item/7.png
7	multiple:8	5	1	item/8.png
8	multiple:9	1	1	item/9.png
9	gem.102:1	50	0	
10	gem.103:1	25	0	
11	gem.104:1	10	1	
12	gem.202:1	50	0	
13	gem.203:1	25	0	
14	gem.204:1	10	1	
15	gem.302:1	50	0	
16	gem.303:1	25	0	
17	gem.304:1	10	1	
18	gem.402:1	50	0	
19	gem.403:1	25	0	
20	gem.404:1	10	1	
21	gem.502:1	50	0	
22	gem.503:1	25	0	
23	gem.504:1	10	1	
24	gem.901:1	50	0	
25	gem.902:1	25	0	
26	gem.903:1	10	0	
27	gem.904:1	5	1	
28	card.93:1	5	1	
29	card.94:1	5	1	
30	card.95:1	5	1	
31	card.96:1	5	1	
32	card.97:1	5	1	
33	card.98:1	5	1	
34	card.99:1	5	1	
35	card.100:1	5	1	
36	card.101:1	5	1	
37	card.102:1	5	1	
38	card.103:1	5	1	
39	material.19:10	100	0	
40	material.19:20	50	0	
41	material.19:30	10	0	
42	material.19:50	5	1	
43	material.26:2	100	0	
44	material.26:5	50	0	
45	material.26:10	10	1	
46	material.26:20	5	1	
47	material.21:5	100	0	
48	material.21:10	50	1	
49	material.22:2	50	0	
50	material.22:3	10	0	
51	material.22:5	10	1	
52	material.23:2	25	0	
53	material.23:3	5	0	
54	material.23:5	5	1	
55	material.24:1	10	0	
56	material.24:2	10	0	
57	material.24:3	5	1	
58	material.3306:2	100	0	
59	material.3306:5	50	0	
60	material.3306:10	20	1	
61	material.3307:2	50	0	
62	material.3307:5	20	0	
63	material.3307:10	10	1	
64	material.3308:2	50	0	
65	material.3308:5	20	0	
66	material.3308:8	10	1	
67	material.3309:1	20	0	
68	material.3309:2	10	0	
69	material.3309:3	5	1	
70	material.4008:2	50	0	
71	material.4008:5	20	1	
72	material.37:2	50	0	
73	material.37:4	50	0	
74	material.37:6	10	0	
75	material.37:10	10	1	
76	material.3202:5	50	0	
77	material.3202:10	25	1	
78	material.3203:1	50	0	
79	material.3203:2	10	0	
80	material.3203:5	5	1	
81	material.82:1	100	0	
82	material.82:2	50	0	
83	material.82:3	30	0	
84	material.82:5	10	1	
85	user.food:500	100	0	
86	user.food:1000	50	0	
87	user.food:1500	20	0	
88	user.food:2000	20	0	
89	user.food:5000	5	1	
90	user.gold:500000	100	0	
91	user.gold:1000000	50	0	
92	user.gold:1500000	20	0	
93	user.gold:2000000	20	1	
94	material.108:5	50	0	
95	material.100:5	25	0	
96	material.109:5	50	0	
97	material.101:5	25	0	
98	material.110:5	50	0	
99	material.104:5	25	0	
100	material.105:5	25	0	
101	material.111:5	50	0	
102	material.112:5	50	0	
103	material.106:5	25	0	
104	material.113:5	50	0	
105	material.103:5	10	1	
106	material.102:5	10	1	
107	material.107:5	10	1	
108	material.28:5	50	1	
109	material.29:5	25	0	
110	material.30:5	10	0	
111	material.3412:2	50	0	
112	material.3413:2	20	0	
113	material.3414:2	10	1	
