编号	名称	等级限制	战役编号	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	英雄祭坛说明	点类型	坐标X	坐标Y	宝箱坐标	宝箱坐标	X轴反转(1=图片资源不反转，2=图片资源反转)	开启条件	士气	剧情文件编号
Id	Name	LevelLimit	Battle	Boss	Background	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	FightForce	Gold	Xp	HeroXp	Desc	Type	Xaxis	Yaxis	boxX	boxY	flipX	Open	InitPower	Step
1	徐荣	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
2	李蒙	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
3	李暹	1	1	315002	1					315002					542	204	35	35		box	133	694	227	762	1		204	0
4	攴胡赤儿	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
5	王允	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
6	李傕	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
7	胡轸	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
8	左灵	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
9	华雄	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
10	张济	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130	1300	1070	1		214	10003
11	段煨	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
12	李儒	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
13	樊稠	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
14	郭汜	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
15	董越	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718	875	651	1		221	0
16	董承	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
17	牛辅	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
18	董旻	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
19	董璜	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
20	董卓	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
21	裴元绍	1	2	216013	2			111013					216013		3231	240	165	165		box	100	956	276	860	1		231	0
22	周仓	1	2	217014	2		217014							212014	3670	248	185	185		main	743	1143			1		233	0
23	张白骑	1	2	315015	2	310015								315015	3624	250	190	190		box	582	977	676	920	1		233	0
