编号	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	士气
Id	Boss	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	FightForce	Gold	Xp	HeroXp	InitPower
1	335009		335009								3114	200	25	25	202
2	236009				236009						3128	202	30	30	202
3	335010					335010					3428	204	35	35	204
4	135011			135011							3624	206	45	45	207
5	435012							435012			3108	208	48	48	209
6	135013	135013									3081	210	50	50	212
7	236013			236013							3128	212	50	50	212
8	437013		437013								2975	214	50	50	212
9	135014				135014	210010					4703	216	70	70	214
10	136014			111010					136014		4701	218	90	90	214
11	135015		135015						210011		4642	220	100	100	216
12	436015	436015				111011					4504	222	110	110	216
13	135016			135016	210012						4609	224	120	120	219
14	336016					336016		111012			4658	226	130	130	219
15	235017		310013				235017				4633	228	135	135	221
16	435018				110014	435018					4825	230	140	140	224
17	336018					336018			311014		5067	232	145	145	224
18	335019				335019				410019		5230	234	150	150	226
19	435020		435020							310020	5592	236	155	155	228
20	335021				210021				335021		6093	238	160	160	231
21	236021			111021					236021		6085	240	165	165	231
22	237022		237022							212022	6456	248	185	185	233
23	335023	310023								335023	7051	250	190	190	236
24	136023			136023						511023	6936	252	195	195	236
25	437024		437024	412024	212023						10292	260	215	215	200
26	537025	537025			212025	112019					11232	266	230	230	240
27	238025	113025	238025			413023					12009	266	230	230	200
28	339025		114025				514023	339025			12145	266	230	230	200
29	437025	437025			512025	312026					12831	266	230	230	200
30	136026	111026				511021				136026	12133	270	240	240	243
31	135026		135026	110026	310020						12039	268	235	235	243
32	437026			212026				412024	437026		12436	270	240	240	200
33	235027				310027		235027		410022		12655	272	245	245	245
34	138026	313026		138026			213024				13045	270	240	240	200
35	236027	111027		211023		236027					13039	274	250	250	245
36	337027	337027		212027		512025					14018	274	250	250	200
37	438027	438027		113027		213026					13844	274	250	250	200
38	335028		110028			410024			335028		14678	276	255	255	248
39	436028				111028	511025	436028				14904	278	260	260	248
40	337028	212028			212028				337028		16530	278	260	260	200
41	335029			310029		110026	335029				16221	280	265	265	250
42	136029	111029			111027			136029			16333	282	270	270	250
43	435030	310030	110028						435030		17072	284	275	275	252
44	236030			311030		236030	511029				17811	286	280	280	252
45	335031	335031	110031	110030	510014						20691	288	285	285	255
46	136031			111031				136031	411030	311016	20450	290	290	290	255
47	235032			210032		235032			510031	510018	22571	292	295	295	257
48	336032			211032		311031		336032	211020		23197	294	300	300	257
49	435033				435033		310033		410032	510022	23551	296	305	305	260
50	136033		136033			211033		411032	511024		24880	298	310	310	260
51	235034			310034	210034	235034	510026				27164	300	315	315	262
52	336034	336034	211034					111034		511028	28002	302	320	320	262
53	435035			110035		510035	435035			510030	28390	304	325	325	264
54	336035		336035	411035	511035			211032			30054	306	330	330	264
55	135036	135036					210036		410036	510033	32678	308	335	335	267
56	336036			411036		411036		211034		336036	32872	310	340	340	267
57	535037	110037	410037				535037		210035		33823	312	345	345	269
58	336037	311037			311037		311036	336037			35729	314	350	350	269
59	535038		210038		535038	210038		510037	410020		39134	316	355	355	272
60	336038	311038	311038	311038				336038		311022	41000	318	360	360	272
61	135039	110039		310039	135039		210039	410024			42144	320	365	365	274
62	336039	111039		336039			411039	411039	211026		42338	322	370	370	274
63	435040	110040		110040		410040		410028		435040	48374	324	375	375	276
64	136040		111040	136040			311040		211040	411030	50951	326	380	380	276
65	235041	235041		110041	210041		510041		410032		52372	328	385	385	279
66	136041	136041	111041		511041	411041		211034			52867	330	390	390	279
67	435042		310042	110042	410042			435042	410036		54214	400	395	395	281
68	136042	311042	111042	136042	211042		411038				57158	400	400	400	281
69	135043	110043	135043	310043		210043		210040	210017		62427	500	405	405	284
70	136043	311043	136043	111043		411043		411042		511020	62441	500	410	410	284
71	335044	110044	335044	110044				210044	210044	410023	66695	600	415	413	286
72	436044	111044	111044		311044	211044	211026	436044			66566	600	420	416	286
73	335045	110045		335045		110045		510045	410045	210029	71340	700	425	419	288
74	136045	136045		311045	211045	111045	411045	511032			72925	700	430	422	288
75	335046		110046	110046	210046	335046	210046		510035		77782	800	435	425	291
76	236046		111046	111046	511046	236046	511046	411038			78375	800	440	428	291
77	135047			310047	210047	135047	510047		210047	410041	83605	900	445	431	293
78	436047			511047	436047	211047		511047	411047	211044	82541	900	450	434	293
79	535048	310048	110048	110048	210048	210046		535048	410026		92522	1000	455	437	296
80	136048	136048	111048	111048	211048	411048		211048	511029		94309	1000	460	440	296
81	135049	310049		310049	210049	135049	510049		210049	410032	99845	1100	465	443	298
82	236049	111049	111049	111049	211049	236049	511049	411035			100607	1100	470	446	298
83	335050	110050	110050	335050	410050	210050	210050			210038	107606	1200	475	449	300
84	436050	111050	111050	111050	311050	211050	211041	436050			108339	1200	480	452	300
85	235051	310051	110051	110051	210051	210051		235051	410044		115392	1300	485	455	303
