编号	名称	等级限制	战役编号	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	英雄祭坛说明	点类型	坐标X	坐标Y	宝箱坐标	宝箱坐标	X轴反转(1=图片资源不反转，2=图片资源反转)	开启条件	士气	剧情文件编号
Id	Name	LevelLimit	Battle	Boss	Background	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	FightForce	Gold	Xp	HeroXp	Desc	Type	Xaxis	Yaxis	boxX	boxY	flipX	Open	InitPower	Step
1	李儒	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
2	董卓	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
3	张角	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
4	吕布	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
5	袁术	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
6	袁绍	1	1	315001	1		315001								542	200	25	25		main	516	462			1		202	0
7	公孙渊	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
8	公孙瓒	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
9	蒯越	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
10	刘表	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
11	马超	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
12	马腾	1	1	216001	1				216001						546	202	30	30		main	306	556			1		202	0
13	祝融	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
14	孟获	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
15	周瑜	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
16	孙权	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
17	司马懿	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
18	曹操	1	1	315002	1					315002					542	204	35	35		box	133	694			1		204	0
19	徐荣	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
20	李蒙	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
21	李暹	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
22	攴胡赤儿	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
23	王允	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
24	李傕	1	1	115003	1			115003							599	206	45	45		main	350	820			1		207	0
25	胡轸	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
26	左灵	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
27	华雄	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
28	张济	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
29	段煨	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
30	李儒	1	1	415004	1							415004			991	208	48	48		main	508	742			1		209	0
31	樊稠	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
32	郭汜	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
33	董越	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
34	董承	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
35	牛辅	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
36	董旻	1	1	115005	1	115005									1304	210	50	50		main	668	836			1		212	10001
37	董璜	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
38	董卓	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
39	裴元绍	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
40	邓茂	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
41	程远志	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
42	伏完	1	1	216005	1			216005							1333	212	50	50		main	538	930			1		212	0
43	周仓	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
44	张白骑	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
45	刘石	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
46	孙夏	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
47	张梁	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
48	笮融	1	1	417005	1		417005								1337	214	50	50		main	768	1062			1		212	0
49	高升	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
50	李乐	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
51	彭脱	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
52	赵媛姜	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
53	张宝	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
54	卞喜	1	1	115006	1				115006	210002					1784	216	70	70		main	908	984			1		214	10002
55	何仪	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
56	郭太	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
57	管亥	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
58	张角	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
59	郝萌	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
60	高顺	1	1	116006	1			111002					116006		1777	218	90	90		box	1194	1130			1		214	10003
61	许汜	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
62	魏续	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
63	成廉	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
64	薛兰	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
65	李封	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
66	刘何	1	1	115007	1		115007						210003		1897	220	100	100		main	1402	1018			1		216	0
67	王楷	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
68	王贺	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
69	纶直	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
70	侯成	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
71	骆俊	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
72	宋宪	1	1	416007	1	416007				111003					1885	222	110	110		main	1168	860			1		216	0
73	李封	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
74	魏越	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
75	吕玲绮	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
76	张辽	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
77	严氏	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
78	吕布	1	1	115008	1			115008	210004						2303	224	120	120		main	1360	736			1		219	0
79	舒邵	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
80	苟闻建	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
81	陶丘洪	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
82	韩胤	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
83	俞涉	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
84	苌奴	1	1	316008	1					316008		111004			2315	226	130	130		main	1158	620			1		219	0
85	诸葛玄	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
86	惠衢	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
87	陈纪	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
88	刘珐	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
89	郑浑	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
90	郑泰	1	1	215009	1		310005				215009				2700	228	135	135		box	994	718			1		221	0
91	桥蕤	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
92	张天昊	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
93	李丰	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
94	纪灵	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
95	袁耀	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
96	袁法	1	1	415010	1				110006	415010					2781	230	140	140		main	752	586			1		224	0
97	冯氏	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
98	袁术	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
99	岑壁	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
100	陈琳	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
101	周昂	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
102	冯礼	1	1	316010	1					316010			311006		2857	232	145	145		main	956	466			1		224	0
103	公孙犊	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
104	高平	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
105	沮授	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
106	袁遗	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
107	韩猛	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
108	韩琼	1	1	315011	1				315011				410011		3257	234	150	150		main	1134	364			1		226	0
109	蒋奇	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
110	焦触	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
111	夏昭	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
112	高柔	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
113	辛明	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
114	袁谭	1	1	415012	1		415012							310012	3331	236	155	155		main	1346	474			1		228	0
115	袁熙	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
116	袁尚	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
117	刘氏	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
118	袁绍	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
119	乐何当	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
120	李移子	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
121	刘纬台	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
122	乐白	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
123	郭铄	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
124	张卿	1	1	315013	1				210013				315013		3236	238	160	160		main	1562	342			1		231	0
125	季雍	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
126	范方	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
127	文则	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
128	田豫	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
129	关靖	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
130	邹丹	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
131	单经	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
132	田楷	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
133	严纲	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
134	公孙范	1	2	216013	2			111013					216013		3231	240	165	165		main	100	956			1		231	0
135	公孙越	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
136	公孙续	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
137	候氏	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
138	公孙瓒	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
139	陈应	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
140	鲍隆	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
141	宋忠	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
142	王威	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
143	傅巽	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
144	韩嵩	1	2	117013	2				117013	212013					3245	242	170	170		main	306	861			1		231	0
145	张允	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
146	刘磐	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
147	李珪	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
148	蒯越	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
149	杨龄	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
150	韩玄	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
151	刘度	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
152	刘贤	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
153	赵范	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
154	刘修	1	2	315014	2			310014			315014				3646	244	175	175		main	156	776			1		233	0
155	刘琮	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
156	刘琦	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
157	蔡氏	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
158	刘表	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
159	庞柔	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
160	庞隽	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
161	马援	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
162	宋建	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
163	柏亥	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
164	马肃	1	2	116014	2	116014			311014						3642	246	180	180		main	302	662			1		233	0
165	戴勇	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
166	杨松	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
167	杨柏	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
168	黄奎	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
169	马岱	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
170	刘婕	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
171	梁兴	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
172	毛绥	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
173	马铁	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
174	李堪	1	2	217014	2		217014							212014	3670	248	185	185		box	494	563			1		233	0
175	许临	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
176	马休	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
177	程氏	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
178	马腾	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
179	天山大王	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
180	黄草洞主	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
181	红砂洞主	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
182	碧水洞主	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
183	镇山大王	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
184	蜈蚣洞主	1	2	315015	2	310015								315015	3624	250	190	190		main	682	458			1		236	0
185	清峰大王	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
186	鹭江洞主	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
187	天魔洞主	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
188	飞龙洞主	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
189	蝶仔洞主	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
190	阿力赤	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
191	伽蓝洞主	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
192	车鹿会	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
193	忙笛安	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
194	杨朵	1	2	116015	2			116015						511015	3577	252	195	195		main	866	358			1		236	0
195	杨锋	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
196	沙摩柯	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
197	带来洞主	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
198	孟获	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
199	朱然	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
200	麋芳	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
201	蒋钦	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
202	朱桓	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
203	程普	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
204	韩当	1	2	217015	2						217015		412015		3582	254	200	200		main	1047	437			1		236	0
205	董袭	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
206	徐盛	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
207	贺齐	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
208	张承	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
209	孙皎	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
210	宋谦	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
211	大乔	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	936	488			1		238	0
