编号	奖励	货币类型(cash,gold,soul)	购买价格	类型	权重	折扣	显示颜色
Id	Award1	Currency	Price	Type	Weight	Discount	Color
1	material.21:5	soul	50	1	100	10	1
2	material.21:10	soul	100	1	30	10	1
3	material.26:2	soul	120	1	100	10	1
4	material.26:5	soul	300	1	30	10	1
5	material.82:1	soul	500	1	40	10	sred
6	material.82:2	soul	1000	1	15	10	sred
7	material.82:5	soul	4000	1	4	8	sred
8	material.37:1	soul	35	1	100	7	1
9	material.37:2	soul	70	1	30	7	1
10	material.83:10	soul	350	1	20	7	1
11	material.28:5	soul	140	1	50	7	1
12	material.30:5	soul	200	1	10	5	red
13	material.100:5	soul	500	2	40	10	sred
14	material.101:5	soul	500	2	40	10	sred
15	material.104:5	soul	500	2	40	10	sred
16	material.105:5	soul	500	2	40	10	sred
17	material.106:5	soul	500	2	40	10	sred
18	material.108:5	soul	500	2	40	10	sred
19	material.109:5	soul	500	2	40	10	sred
20	material.110:5	soul	500	2	40	10	sred
21	material.111:5	soul	500	2	40	10	sred
22	material.112:5	soul	500	2	40	10	sred
23	material.113:5	soul	500	2	40	10	sred
24	material.100:10	soul	1000	2	7	10	sred
25	material.101:10	soul	1000	2	7	10	sred
26	material.104:10	soul	1000	2	7	10	sred
27	material.105:10	soul	1000	2	7	10	sred
28	material.106:10	soul	1000	2	7	10	sred
29	material.108:10	soul	1000	2	7	10	sred
30	material.109:10	soul	1000	2	7	10	sred
31	material.110:10	soul	1000	2	7	10	sred
32	material.111:10	soul	1000	2	7	10	sred
33	material.112:10	soul	1000	2	7	10	sred
34	material.113:10	soul	1000	2	7	10	sred
35	material.121:5	soul	100	3	20	10	1
36	material.122:5	soul	100	3	20	10	1
37	material.123:5	soul	100	3	20	10	1
38	material.124:5	soul	100	3	20	10	1
39	material.125:5	soul	100	3	20	10	1
40	material.126:5	soul	100	3	20	10	1
41	material.127:5	soul	100	3	20	10	1
42	material.128:5	soul	100	3	20	10	1
43	material.129:5	soul	100	3	20	10	1
44	material.130:5	soul	100	3	20	10	1
45	material.131:5	soul	100	3	20	10	1
46	material.121:10	soul	200	3	7	10	1
47	material.122:10	soul	200	3	7	10	1
48	material.123:10	soul	200	3	7	10	1
49	material.124:10	soul	200	3	7	10	1
50	material.125:10	soul	200	3	7	10	1
51	material.126:10	soul	200	3	7	10	1
52	material.127:10	soul	200	3	7	10	1
53	material.128:10	soul	200	3	7	10	1
54	material.129:10	soul	200	3	7	10	1
55	material.130:10	soul	200	3	7	10	1
56	material.131:10	soul	200	3	7	10	1
57	material.102:5	soul	2500	4	40	10	sred
58	material.103:5	soul	2500	4	40	10	sred
59	material.107:5	soul	2500	4	40	10	sred
60	material.102:10	soul	5000	4	7	10	sred
61	material.103:10	soul	5000	4	7	10	sred
62	material.107:10	soul	5000	4	7	10	sred
63	gem.902:1	soul	330	5	40	10	sred
64	material.82:5	cash	350	1	3	7	sred
65	material.82:10	cash	700	1	2	7	sred
66	material.37:10	cash	50	1	5	5	red
67	material.83:20	cash	100	1	5	5	red
68	material.30:5	cash	40	1	10	5	red
69	material.30:10	cash	80	1	5	5	red
70	material.100:10	cash	140	2	7	7	sred
71	material.101:10	cash	140	2	7	7	sred
72	material.104:10	cash	140	2	7	7	sred
73	material.105:10	cash	140	2	7	7	sred
74	material.106:10	cash	140	2	7	7	sred
75	material.108:10	cash	140	2	7	7	sred
76	material.109:10	cash	140	2	7	7	sred
77	material.110:10	cash	140	2	7	7	sred
78	material.111:10	cash	140	2	7	7	sred
79	material.112:10	cash	140	2	7	7	sred
80	material.113:10	cash	140	2	7	7	sred
81	material.102:5	cash	350	4	20	7	sred
82	material.103:5	cash	350	4	20	7	sred
83	material.107:5	cash	350	4	20	7	sred
84	material.102:10	cash	700	4	7	7	sred
85	material.103:10	cash	700	4	7	7	sred
86	material.107:10	cash	700	4	7	7	sred
87	gem.903:1	cash	140	5	10	7	sred
88	card.93:1	cash	1100	6	100	7	sred
89	card.94:1	cash	1100	6	100	7	sred
90	card.96:1	cash	1100	6	100	7	sred
91	card.97:1	cash	1100	6	100	7	sred
92	card.95:1	cash	1100	6	100	7	sred
93	card.98:1	cash	1100	6	100	7	sred
94	card.99:1	cash	1100	6	100	7	sred
95	card.100:1	cash	1100	6	100	7	sred
96	card.101:1	cash	1100	6	100	7	sred
97	card.102:1	cash	1100	6	100	7	sred
98	card.103:1	cash	1100	6	100	7	sred
99	card.119:1	cash	5600	6	5	7	sred
100	card.120:1	cash	5600	6	5	7	sred
101	card.121:1	cash	5600	6	5	7	sred
102	gem.102:1	gold	300000	7	1	10	red
103	gem.202:1	gold	300000	7	1	10	red
104	gem.302:1	gold	300000	7	1	10	red
105	gem.402:1	gold	300000	7	1	10	red
106	gem.502:1	gold	300000	7	1	10	red
