编号	奖励1	权重	奖励2	权重	奖励3	权重	奖励4	权重	奖励5	权重	奖励6	权重	奖励7	权重	奖励8	权重	奖励9	权重	奖励10	权重	奖励11	权重	奖励12	权重	奖励13	权重	奖励14	权重	奖励15	权重	奖励16	权重	奖励17	权重	奖励18	权重	奖励19	权重	奖励20	权重	奖励21	权重	奖励22	权重	奖励23	权重	奖励24	权重	奖励25	权重	奖励26	权重	奖励27	权重	奖励28	权重	奖励29	权重	奖励30	权重	奖励31	权重	奖励32	权重	奖励33	权重	奖励34	权重	奖励35	权重	奖励36	权重	奖励37	权重	奖励38	权重	奖励39	权重	奖励40	权重	奖励41	权重	奖励42	权重	获得奖品数量
Id	Award1	Weight1	Award2	Weight2	Award3	Weight3	Award4	Weight4	Award5	Weight5	Award6	Weight6	Award7	Weight7	Award8	Weight8	Award9	Weight9	Award10	Weight10	Award11	Weight11	Award12	Weight12	Award13	Weight13	Award14	Weight14	Award15	Weight15	Award16	Weight16	Award17	Weight17	Award18	Weight18	Award19	Weight19	Award20	Weight20	Award21	Weight21	Award22	Weight22	Award23	Weight23	Award24	Weight24	Award25	Weight25	Award26	Weight26	Award27	Weight27	Award28	Weight28	Award29	Weight29	Award30	Weight30	Award31	Weight31	Award32	Weight32	Award33	Weight33	Award34	Weight34	Award35	Weight35	Award36	Weight36	Award37	Weight37	Award38	Weight38	Award39	Weight39	Award40	Weight40	Award41	Weight41	Award42	Weight42	Num
38	user.cash:2	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
50	material.100:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
51	material.101:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
52	material.102:3	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
53	material.103:3	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
54	material.104:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
55	material.105:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
56	material.106:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
57	material.107:3	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
58	material.108:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
59	material.109:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
60	material.110:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
61	material.111:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
62	material.112:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
63	material.113:8	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3001	user.gold:18000	40	user.gold:19500	30	user.gold:21000	20	user.gold:22500	9	user.gold:30000	1	user.gold:45000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3002	user.gold:60000	40	user.gold:65000	30	user.gold:70000	25	user.gold:75000	9	user.gold:100000	1	user.gold:150000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3003	user.gold:156000	40	user.gold:169000	30	user.gold:182000	25	user.gold:195000	9	user.gold:260000	1	user.gold:390000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3004	user.gold:384000	40	user.gold:416000	30	user.gold:448000	25	user.gold:480000	9	user.gold:640000	1	user.gold:960000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
