建筑物ID	回调函数ID	等级限制	图标资源
id	fn	level	res
2	0	0	townhall/bag.png
2	1	9	townhall/shop.png
2	2	25	townhall/bussiness.png
3	3	0	townhall/info.png
3	4	16	townhall/grouth.png
3	5	35	townhall/exsoul.png
3	6	99	townhall/wash.png
4	7	0	townhall/goldtavern.png
4	8	5	townhall/cashtavern.png
4	9	5	townhall/starshall.png
5	10	0	townhall/guoguan.png
5	11	23	townhall/tower.png
6	12	0	townhall/strength.png
6	13	10	townhall/build.png
6	14	28	townhall/gem.png
7	15	0	townhall/train.png
8	16	0	townhall/tech.png
9	17	0	townhall/prison.png
10	18	0	townhall/arena.png
10	19	0	townhall/arenalist.png
0	-1	0	townhall/active.png
0	-1	0	townhall/sign.png
