等级限制	名称	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	成功奖励	失败惩罚	战斗力	士气
LevelLimit	Name	Boss	Background	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	Award1	Award2	FightForce	InitPower
1	贼兵	242001	1									242001	material.4008:1	user.gold:-1000	567	201
2	贼兵	342002	1								342002		material.4008:1	user.gold:-1000	572	202
3	贼兵	442003	1							442003			material.4008:1	user.gold:-1000	649	203
4	贼兵	542004	1						542004				material.4008:1	user.gold:-1000	1027	204
5	贼兵	142005	1					142005					material.4008:1	user.gold:-1000	1304	205
6	贼兵	242006	1				242006	342006					material.4008:1	user.gold:-1000	2596	206
7	贼兵	342007	1			342007	142007						material.4008:1	user.gold:-1000	2674	207
8	贼兵	442008	1		442008	542008							material.4008:1	user.gold:-1000	2754	208
9	贼兵	542009	1	542009	342009								material.4008:1	user.gold:-1000	2888	209
10	贼兵	142010	1	242010								142010	material.4008:1	user.gold:-1000	3304	210
11	贼兵	242011	1								242011	242011	material.4008:1	user.gold:-1000	3326	211
12	贼兵	342012	1							342012	242012		material.4008:1	user.gold:-1000	3408	212
13	贼兵	442013	1						442013	142013			material.4008:1	user.gold:-1000	3492	213
14	贼兵	542014	1					542014	542014				material.4008:1	user.gold:-1000	3916	214
15	贼兵	142015	1				142015	142015					material.4008:1	user.gold:-1000	4036	215
16	贼兵	242016	1			242016	142016	242016					material.4008:1	user.gold:-1000	6096	216
17	贼兵	342017	1		342017	442017	342017						material.4008:1	user.gold:-1000	6273	217
18	贼兵	442018	1	442018	542018	342018							material.4008:1	user.gold:-1000	7002	218
19	贼兵	542019	1	442019	242019							542019	material.4008:1	user.gold:-1000	7125	219
20	贼兵	142020	1	142020							142020	542020	material.4008:1	user.gold:-1000	7869	220
21	贼兵	242021	1							242021	342021	442021	material.4008:1	user.gold:-1000	7974	221
22	贼兵	342022	1						342022	142022	342022		material.4008:1	user.gold:-1000	8124	222
23	贼兵	442023	1					442023	142023	342023	242023		material.4008:1	user.gold:-1000	11060	223
24	贼兵	542024	1				542024	142024	542024	542024			material.4008:1	user.gold:-1000	12716	224
25	贼兵	142025	1			142025	242025	142025	542003				material.4008:1	user.gold:-1000	12028	225
26	贼兵	242026	1		242026	442026	142026	542006					material.4008:1	user.gold:-1000	13196	226
27	贼兵	342027	1	342027	242027	542027	242009						material.4008:1	user.gold:-1000	13792	227
28	贼兵	442028	1	542028	342028	442012						442028	material.4008:1	user.gold:-1000	15819	228
29	贼兵	542029	1	442029	142015						542029	542029	material.4008:1	user.gold:-1000	16703	229
30	贼兵	142030	1	542018	542003					142030	342030	142030	material.4008:1	user.gold:-1000	18154	230
31	贼兵	242031	1	142006					242031	442031	542031	142021	material.4008:1	user.gold:-1000	20153	231
32	贼兵	342032	1					342032	242032	342032	142024	142009	material.4008:1	user.gold:-1000	22521	232
33	贼兵	442033	1				442033	542033	142033	142027	242012		material.4008:1	user.gold:-1000	24633	233
34	贼兵	542034	1			542034	542034	142034	142030	342015			material.4008:1	user.gold:-1000	26560	234
35	贼兵	142035	1		142035	542035	242035	542033	442018	142003			material.4008:1	user.gold:-1000	29540	235
36	贼兵	242036	1	242036	442036	242036	142036	542021	342006				material.4008:1	user.gold:-1000	33760	236
37	贼兵	342037	1	542037	142037	342037	542024	142009				342037	material.4008:1	user.gold:-1000	35263	237
38	贼兵	442038	1	142038	442038	542027	242012				442038	142038	material.4008:1	user.gold:-1000	38408	238
39	贼兵	542039	1	342039	442030	142015				542039	442039	542039	material.4008:1	user.gold:-1000	40523	239
40	贼兵	142040	1	342033	342018	442003			142040	542040	142040	542040	material.4008:1	user.gold:-1000	47494	240
41	贼兵	242041	1	142021	142006			242041	142041	242041	342041	242036	material.4008:1	user.gold:-1000	50443	241
42	贼兵	342042	1	342009			342042	242042	342042	442042	442039	342024	material.4008:1	user.gold:-1000	53685	242
43	贼兵	442043	1			442043	142043	442043	142043	142042	342027	242012	material.4008:1	user.gold:-1000	57755	243
44	贼兵	542044	1		542044	242044	142044	442044	442044	242030	342015		material.4008:1	user.gold:-1000	61105	244
45	贼兵	142045	1	142045	442045	542045	442045	542045	142033	442018			material.4008:1	user.gold:-1000	65440	245
46	贼兵	242046	1	342046	242046	142046	342046	142036	542021			242046	material.4008:1	user.gold:-1000	70729	246
47	贼兵	342047	1	342047	242047	242047	342039	242024			342047	442047	material.4008:1	user.gold:-1000	74866	247
48	贼兵	442048	1	242048	542048	442042	342027			442048	542048	442048	material.4008:1	user.gold:-1000	79531	248
49	贼兵	542049	1	442049	242045	142030			542049	542049	442049	242049	material.4008:1	user.gold:-1000	84199	249
50	贼兵	142050	1	442048	342033			142050	542050	342050	442050	442050	material.4008:1	user.gold:-1000	89129	250
51	贼兵	242051	1	342036			242051	342051	342051	242051	242051	142051	material.4008:1	user.gold:-1000	94799	251
52	贼兵	342052	1			342052	542052	542052	242052	342052	342052	142039	material.4008:1	user.gold:-1000	98764	252
53	贼兵	442053	1		442053	142053	542053	242053	142053	442053	542042		material.4008:1	user.gold:-1000	105617	253
54	贼兵	542054	1	542054	342054	442054	242054	342054	342054	442045			material.4008:1	user.gold:-1000	108915	254
55	贼兵	142055	1	542055	442055	242055	242055	442055	542048			142055	material.4008:1	user.gold:-1000	117184	255
56	贼兵	242056	1	342056	542056	442056	442056	542051			242056	342056	material.4008:1	user.gold:-1000	124664	256
57	贼兵	342057	1	442057	542057	142057	342054			342057	542057	442057	material.4008:1	user.gold:-1000	128914	257
58	贼兵	442058	1	242058	442058	142057			442058	342058	542058	242058	material.4008:1	user.gold:-1000	133628	258
