购买次数	粮食花费	金矿次数花费	重置勇闯重楼花费	过关斩将重置花费	擂台挑战次数花费	地牢抓捕次数花费	英雄祭坛次数花费	卡牌大师换牌次数花费	命运之轮转动花费	命运之轮重置花费	军团战行动力	一骑当千重置花费	金币购买	军团战复活花费	世界boss秒复活花费	世界boss龙珠购买花费	世界boss金币鼓舞花费	世界boss元宝鼓舞花费
Times	CashFood	CashMine	CashTower	CashKill	CashRank	CashPrison	CashDuplicate	CashCard	CashTurnPointer	CashWheel	CashMove	CashOneRide	CashGold	CashReviveWar	CashWorldBossRevive	CashWorldBossDragonBall	GoldWorldBossInspire	CashWorldBossInspire
1	5	10	50	25	5	5	10	1	5	50	5	50	10	20	10	10	100000	10
2	10	20	150	50	5	10	15	1	10	100	10	100	10	40	15	10	200000	10
3	15	25	250	100	5	15	20	1	15		15	200	10	60	20	10	300000	10
4	20	30			7	20	20	1	20		20		12	80	25	15	400000	10
5	25	35			7	25	25	1	25		40		12	100	30	15	500000	10
6	30	40			7	30	25	1	30		40		12	120	35	15	600000	10
7	35	45			9	35	30	1	35		40		15	140	40	20	700000	10
8	40	50			9	40	40	1	40		40		15	160	45	20	800000	10
9	45				9	45	50	1	45		60		15	180	50	20	900000	10
10	50				11	50	60	1	50		60		20	200	55	25	1000000	10
11	55				11			1	55		60		20	200	60	25		
12	60				11			1	60		60		20	200	65	25		
13	65				13			1	65		80		40	200	70	30		
14	70				13			1	70		80		40	200	75	30		
15	75				13			1	75		80		40	200	80	30		
16	80				15			1	80		80		80	200	85	35		
17	85				15			1	85		100		80	200	90	35		
18	90				15			1	90		100		80	200	95	35		
19	95				17			1	95		100		100	200	100	40		
20	100				17			1	100		100		100	200	105	40		
21					17									200	110	40		
22					19									200	115	45		
23					19									200	120	45		
24					19									200	125	45		
25					21									200	130	50		
26					21									200	135	50		
27					21									200	140	50		
28					23									200	145	55		
29					23									200	150	55		
30					23									200	155	55		
31																60		
32																60		
33																60		
34																65		
35																65		
36																65		
37																70		
38																70		
39																70		
40																		
41																		
42																		
43																		
44																		
45																		
46																		
47																		
48																		
49																		
50																		
51																		
52																		
53																		
54																		
55																		
56																		
57																		
58																		
59																		
60																		
61																		
62																		
63																		
64																		
65																		
66																		
67																		
68																		
69																		
70																		
71																		
72																		
73																		
74																		
75																		
76																		
77																		
78																		
79																		
80																		
81																		
82																		
83																		
84																		
85																		
86																		
87																		
88																		
89																		
90																		
91																		
92																		
93																		
94																		
95																		
96																		
97																		
98																		
99																		
100																		
