章节Id	背景图	图标	名称	名称图标
id	background	icon	name	nameIcon
1	uires/ui_2nd/image/copyscene/copyscene_1.jpg	uires/ui_2nd/image/copyscene/1_1.png	兖州	uires/ui_2nd/image/copyscene/name_1.png
2	uires/ui_2nd/image/copyscene/copyscene_2.jpg	uires/ui_2nd/image/copyscene/2_1.png	冀州	uires/ui_2nd/image/copyscene/name_2.png
3	uires/ui_2nd/image/copyscene/copyscene_3.jpg	uires/ui_2nd/image/copyscene/3_1.png	司州	uires/ui_2nd/image/copyscene/name_3.png
4	uires/ui_2nd/image/copyscene/copyscene_4.jpg	uires/ui_2nd/image/copyscene/4_1.png	青州	uires/ui_2nd/image/copyscene/name_4.png
5	uires/ui_2nd/image/copyscene/copyscene_5.jpg	uires/ui_2nd/image/copyscene/5_1.png	豫州	uires/ui_2nd/image/copyscene/name_5.png
6	uires/ui_2nd/image/copyscene/copyscene_6.jpg	uires/ui_2nd/image/copyscene/6_1.png	幽州	uires/ui_2nd/image/copyscene/name_6.png
7	uires/ui_2nd/image/copyscene/copyscene_7.jpg	uires/ui_2nd/image/copyscene/7_1.png	荆州	uires/ui_2nd/image/copyscene/name_7.png
8	uires/ui_2nd/image/copyscene/copyscene_8.jpg	uires/ui_2nd/image/copyscene/8_1.png	凉州	uires/ui_2nd/image/copyscene/name_8.png
9	uires/ui_2nd/image/copyscene/copyscene_9.jpg	uires/ui_2nd/image/copyscene/9_1.png	南蛮	uires/ui_2nd/image/copyscene/name_9.png
10	uires/ui_2nd/image/copyscene/copyscene_10.jpg	uires/ui_2nd/image/copyscene/10_1.png	扬州	uires/ui_2nd/image/copyscene/name_10.png
11	uires/ui_2nd/image/copyscene/copyscene_11.jpg	uires/ui_2nd/image/copyscene/11_1.png	益州	uires/ui_2nd/image/copyscene/name_11.png
