编号	武将ID	材料ID	精英掉落	商店是否掉落	精英武将是否掉落	神将放送是否掉落	荣誉商店	签到	琳琅店铺	命运之轮	幸运转盘	军团商店
Id	RoleId	MaterialId	Drop	BlackShop	Altar	God	PvpShop	Sign	PawnShop	Wheel	LuckyCircle	LegionShop
1	93	108	1004802	1	1	0	0	0	0	0	1	1
2	94	100	1004801	1	1	1	1	0	0	0	1	0
3	95	109	1003402	1	1	0	0	0	0	0	1	1
4	96	101	1008901	1	1	1	0	0	1	0	1	0
5	97	110	1008902	1	1	0	1	0	0	0	1	0
6	98	104	1003401	1	1	1	0	0	0	0	1	1
7	99	105	1010501	1	1	1	0	0	0	0	1	0
8	100	111	1010503	1	1	0	0	0	1	0	1	0
9	101	112	1010502	1	1	0	1	0	0	0	1	0
10	102	106	1007401	1	1	1	0	0	0	0	1	0
11	103	113	1007402	1	1	0	0	0	1	1	1	0
12	119	103	1020904	1	1	0	0	0	0	0	1	1
13	120	102	1020905	1	1	0	1	0	0	0	1	0
14	121	107		1	0	0	0	0	1	0	1	0
15	69	126		1	0	0	0	0	0	0	1	0
16	83	121		1	0	0	0	0	0	0	1	0
17	84	122		1	0	0	0	0	0	0	1	0
18	85	123		1	0	0	0	0	0	0	1	0
19	86	124		1	0	0	0	0	0	0	1	0
20	87	125		1	0	0	0	0	0	0	1	0
21	88	127		1	0	0	0	0	0	0	1	0
22	89	128		1	0	0	0	0	0	0	1	0
23	90	129		1	0	0	0	0	0	0	1	0
24	91	130		1	0	0	0	0	0	0	1	0
25	92	131		1	0	0	0	0	0	0	1	0
