编号	操作	目标	分数	描述	开启等级
Id	Action	Target	Score	Desc	Level
1	HarvestCastle	2	5	征收金币	1
2	HarvestFarm	2	5	征收粮草	1
3	PVE	1	10	征战关卡	1
4	EnrollRole	1	10	招募武将	6
5	ChallengeHero	1	10	挑战英雄祭坛	10
6	ChallengeHonor	1	10	挑战精英士兵	1
7	ChallengeSoul	1	10	挑战精英武将	1
8	ChallengeRank	1	10	擂台挑战	20
9	OccupyMine	1	10	占领金矿	24
10	CombineSkillBook	1	5	拼合技能书	15
11	TrainRole	1	10	训练武将	17
12	ChallengeTower	1	10	决战重楼	23
13	Business	1	10	镖行天下	29
14	ProtectionEmperor	1	5	保护献帝	25
15	TechExercirs	1	5	军机处历练	45
16	HeroSoul	1	5	武将炼魂	36
