兵种	技能	自身效果	自身效果音效	音效延迟	self_fix_x	self_fix_y	击打效果	打击效果音效	音效延迟	hit_fix_x	hit_fix_y	foot效果	foot效果音效	音效延迟	foot_fix_x	foot_fix_y	敌人脚下	敌人脚下音效	音效延迟	敌foot_fix_x	敌foot_fix_y	技能文字	Buff激活效果	Buff激活X修正	Buff激活Y修正	敌方Buff激活效果	敌方Buff激活X修正	敌方Buff激活Y修正	Buff开启响应延迟
1	0	1_0_self	*5=attack_V%d.mp3	1	70	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
1	1	1_3_self	1_3_self.mp3	2	70	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
1	3	1_5_self	1_5_self.mp3	0	70	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	1_5_hitfoot	NA	0	-50	120	NA	NA	0	0	NA	0	0	0
1	5	1_1_self	1_1_self.mp3	0	70	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
2	0	2_0_self	*5=attack_V%d.mp3	4	70	70	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
2	1	2_1_self	2_1_self.mp3	0	70	50	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
2	3	2_3_self	2_3_self.mp3	0	70	50	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
2	5	2_5_self	2_5_self.mp3	0	70	130	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
3	0	3_0_self	*5=attack_V%d.mp3	3	150	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
3	1	3_1_self	3_1_self.mp3	0	160	90	NA	*3=hit_V%d.mp3	0	0	0	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
3	3	3_3_self	3_0_self.mp3	0	20	50	3_3_hit	3_3_hit.mp3	-3	80	100	NA	NA	0	0	0	3_3_hitfoot	NA	0	10	95	NA	NA	0	0	NA	0	0	0
3	5	3_5_self	3_5_self.mp3	0	20	250	3_5_hit	3_5_hit.mp3	-4	0	205	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
4	0	4_0_self	*5=attack_V%d.mp3	0	80	50	4_0_hit	*3=hit_V%d.mp3	-4	0	50	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
4	1	4_0_self	*5=attack_V%d.mp3	0	80	50	4_1_hit	4_1_hit.mp3	-5	0	200	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
4	3	4_0_self	*5=attack_V%d.mp3	0	80	50	4_3_hit*0:0;2:3;4:5;6:7;8:9;	4_3_hit.mp3	-2	0	250	NA	NA	0	0	0	4_3_hitfoot	NA	0	-10	238	NA	NA	0	0	NA	0	0	0
4	5	4_0_self	*5=attack_V%d.mp3	0	80	50	4_5_hit	*3=hit_V%d.mp3	-1	0	50	4_5_foot	4_5_foot.mp3	0	0	80	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
5	0	5_0_self	*5=attack_V%d.mp3	5	140	80	5_0_hit	5_0_hit.mp3	0	20	60	NA	NA	0	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
5	1	5_5_self	5_0_self.mp3	0	0	80	5_5_hit	5_1_hit.mp3	-4	0	80	5_1_foot	NA	0	0	140	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0
5	3	5_3_self	5_0_self.mp3	0	0	80	5_3_hit	5_3_hit.mp3	0	0	60	NA	NA	0	0	0	NA	NA	0	0	0	5_3_text	NA	0	0	NA	0	0	0
5	5	5_1_self	5_0_self.mp3	0	0	100	5_1_hit	5_5_hit.mp3	0	0	100	NA	NA	0	0	0	NA	NA	0	0	0	5_1_text	NA	0	0	NA	0	0	0
1002001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	force_plus	0	0	NA	0	0	0
1004001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	defende_plus	0	0	NA	0	0	0
1006001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	power_plus	0	0	NA	0	0	0
1008001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	force_plus	0	0	NA	0	0	0
1010001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	defende_plus	0	0	NA	0	0	0
1012001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	power_plus	0	0	NA	0	35	0
1014001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	force_plus	0	0	NA	0	0	19.3
1016001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	defende_plus	0	0	NA	0	0	0
1018001	1	NA	NA	0	20	50	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	power_plus	0	0	NA	0	0	0
1002	1	1002_self	NA	0	0	0	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	NA	0	0	NA	0	0	0
1004	1	1004_self	NA	0	0	0	NA	NA	-3	80	100	NA	NA	0	0	0	NA	NA	0	10	95	NA	NA	0	0	NA	0	0	0
