神将	兵种类型	兵种等级	普通攻击特效作用于对方	普通攻击移动到目标	普通攻击动作延时	普通攻击特效延时	普通攻击音效延时	普通攻击受击开始延时	普通攻击完结延迟	普通攻击动作名称	技能1作用于对方	技能1移动到目标	技能1动作延时	技能1特效延时	技能1音效延时	技能1受击开始延时	技能1攻击后延迟	技能1动作名称	技能3作用于对方	技能3移动延迟	技能3动作延时	技能3特效延时	技能3音效延时	技能3受击开始延时	技能3攻击后延迟	技能3动作名称	技能5作用于对方	技能5移动时长	技能5动作延时	技能5特效延时	技能5音效延时	技能5受击开始延时	技能5攻击后延迟	技能5动作名称
god	soldier	level	opposite	forward	attack_sk0	effect_sk0	sound_sk0	hurt_sk0	postAttackDelay	attack_name	opposite	forward	attack_sk0	effect_sk0	sound_sk0	hurt_sk0	postAttackDelay	skill_name	opposite	forward	attack_sk0	effect_sk0	sound_sk0	hurt_sk0	postAttackDelay	skill3_name	work_on_opposite	forward	attack_sk0	effect_sk0	sound_sk0	hurt_sk0	postAttackDelay	skill5_name
0	1	1	20	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	2	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	3	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	4	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	5	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	6	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	7	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	8	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	9	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	10	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	11	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	12	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	13	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	14	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	1	15	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
0	2	1	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	2	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	3	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	4	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill03	1	1	0	1	0	6	0	skill01	1	1	0	0	0	6	1	attack
0	2	5	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	6	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	7	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	8	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	9	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	10	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	11	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	12	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	13	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	14	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	2	15	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	skill01	1	1	0	1	0	6	0	skill03	1	1	0	0	0	6	1	attack
0	3	1	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	2	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	3	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	4	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	5	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	6	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	7	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	8	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	9	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	10	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	11	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
