战斗id	属性0	属性1	属性2	女武将名字竖条	头像资源位置	全身像资源位置	名字	半身象	牢笼贴图	气泡位置偏移X	气泡位置偏移Y	属性0阶0	属性0升阶0消耗星星	属性0阶1	属性0升阶1消耗星星	属性0阶2	属性0升阶2消耗星星	属性0阶3	属性0升阶3消耗星星	属性0阶4	属性0升阶4消耗星星	属性0阶5	属性0升阶5消耗星星	属性1阶0	属性1升阶0消耗星星	属性1阶1	属性1升阶1消耗星星	属性1阶2	属性1升阶2消耗星星	属性1阶3	属性1升阶3消耗星星	属性1阶4	属性1升阶4消耗星星	属性1阶5	属性1升阶5消耗星星	属性2阶0	属性2升阶0消耗星星	属性2阶1	属性2升阶1消耗星星	属性2阶2	属性2升阶2消耗星星	属性2阶3	属性2升阶3消耗星星	属性2阶4	属性2升阶4消耗星星	属性2阶5	属性2升阶5消耗星星
Id	Attr0	Attr1	Attr2	GirlNameStrip	HeadPic	FullBody	Name	HalfImage	CageTexturePath	bubble_x_off	bubble_y_off	Value00	Star00	Value01	Star01	Value02	Star02	Value03	Star03	Value04	Star04	Value05	Star05	Value10	Star10	Value11	Star11	Value12	Star12	Value13	Star13	Value14	Star14	Value15	Star15	Value20	Star20	Value21	Star21	Value22	Star22	Value23	Star23	Value24	Star24	Value25	Star25
1002001	health	attack	critdamage	uires/ui_2nd/com/panel/beauty/girl_ls.png	uires/ui_2nd/image/hero/luoshen_icon.png	uires/ui_2nd/image/girl/luoshen_big.png	洛神	uires/ui_2nd/image/copyscene/girldhalf/luoshen.png	uires/ui_2nd/image/copyscene/cages/cage_1.png	-22	13	40	0	80	6	120	6	160	6	200	6	240	6	20	0	40	6	60	6	80	6	100	6	120	6	20	0	40	6	60	6	80	6	100	6	120	6
1004001	health	defence	block	uires/ui_2nd/com/panel/beauty/girl_ssx.png	uires/ui_2nd/image/hero/sunshangxiang_icon.png	uires/ui_2nd/image/girl/sunshangxiang_big.png	孙尚香	uires/ui_2nd/image/copyscene/girldhalf/sunshangxiang.png	uires/ui_2nd/image/copyscene/cages/cage_2.png	-8	-9	60	0	120	6	180	6	240	6	300	6	360	6	30	0	60	6	90	6	120	6	150	6	180	6	30	0	60	6	90	6	120	6	150	6	180	6
1006001	health	mdefence	miss	uires/ui_2nd/com/panel/beauty/girl_dq.png	uires/ui_2nd/image/hero/daqiao_icon.png	uires/ui_2nd/image/girl/daqiao_big.png	大乔	uires/ui_2nd/image/copyscene/girldhalf/daqiao.png	uires/ui_2nd/image/copyscene/cages/cage_3.png	-23	22	80	0	160	6	240	6	320	6	400	6	480	6	40	0	80	6	120	6	160	6	200	6	240	6	40	0	80	6	120	6	160	6	200	6	240	6
1008001	health	attack	critdamage	uires/ui_2nd/com/panel/beauty/girl_xq.png	uires/ui_2nd/image/hero/xiaoqiao_icon.png	uires/ui_2nd/image/girl/xiaoqiao_big.png	小乔	uires/ui_2nd/image/copyscene/girldhalf/xiaoqiao.png	uires/ui_2nd/image/copyscene/cages/cage_4.png	47	58	100	0	200	5	300	5	400	5	500	5	600	5	50	0	100	5	150	5	200	5	250	5	300	5	50	0	100	5	150	5	200	5	250	5	300	5
1010001	health	defence	block	uires/ui_2nd/com/panel/beauty/girl_zr.png	uires/ui_2nd/image/hero/zhurongfuren_icon.png	uires/ui_2nd/image/girl/zhurongfuren_big.png	祝融	uires/ui_2nd/image/copyscene/girldhalf/zhurong.png	uires/ui_2nd/image/copyscene/cages/cage_5.png	7	-2	120	0	240	5	360	5	480	5	600	5	720	5	60	0	120	5	180	5	240	5	300	5	360	5	60	0	120	5	180	5	240	5	300	5	360	5
1012001	health	mdefence	miss	uires/ui_2nd/com/panel/beauty/girl_cwj.png	uires/ui_2nd/image/hero/caiwenji_icon.png	uires/ui_2nd/image/girl/caiwenji_big.png	蔡文姬	uires/ui_2nd/image/copyscene/girldhalf/caiwenji.png	uires/ui_2nd/image/copyscene/cages/cage_6.png	-26	24	140	0	280	5	420	5	560	5	700	5	840	5	70	0	140	5	210	5	280	5	350	5	420	5	70	0	140	5	210	5	280	5	350	5	420	5
1014001	health	attack	critdamage	uires/ui_2nd/com/panel/beauty/girl_hyy.png	uires/ui_2nd/image/hero/huangyueying_icon.png	uires/ui_2nd/image/girl/huangyueying_big.png	黄月英	uires/ui_2nd/image/copyscene/girldhalf/huangyueying.png	uires/ui_2nd/image/copyscene/cages/cage_7.png	-84	-5	160	0	320	5	480	5	640	5	800	5	960	5	80	0	160	5	240	5	320	5	400	5	480	5	80	0	160	5	240	5	320	5	400	5	480	5
1016001	health	defence	block	uires/ui_2nd/com/panel/beauty/girl_zj.png	uires/ui_2nd/image/hero/zhenji_icon.png	uires/ui_2nd/image/girl/zhenji_big.png	甄姬	uires/ui_2nd/image/copyscene/girldhalf/zhenji.png	uires/ui_2nd/image/copyscene/cages/cage_8.png	6	-44	180	0	360	5	540	5	720	5	900	5	1080	5	90	0	180	5	270	5	360	5	450	5	540	5	90	0	180	5	270	5	360	5	450	5	540	5
1018001	health	mdefence	miss	uires/ui_2nd/com/panel/beauty/girl_dc.png	uires/ui_2nd/image/hero/diaochan_icon.png	uires/ui_2nd/image/girl/diaochan_big.png	貂蝉	uires/ui_2nd/image/copyscene/girldhalf/diaochan.png	uires/ui_2nd/image/copyscene/cages/cage_9.png	-28	-57	200	0	400	5	600	5	800	5	1000	5	1200	5	100	0	200	5	300	5	400	5	500	5	600	5	100	0	200	5	300	5	400	5	500	5	600	5
