美女id	技能	技能名称	技能美术字	技能图标	作用己方	技能名称	我方人数	技能效果1	技能效果值2	概率	效果持续回合	技能描述	属性1	属性2	属性3	属性4	美女像	美女小头像	技能文字	女武将名字竖条	解救地点
Id	Skill	SkillName	SkillNameIcon	SkillIcon	IsSelf	Effect	Param1	Param2	Param3	Param4	Round	SkillDescription	Attribute1	Attribute2	Attribute3	Attribute4	BeautySculpIcon	BeautySmallIcon	SkillTextDescription	GirlNameStrip	RescuePoint
1002001	1	幻舞艳光	uires/ui_2nd/com/panel/beauty/tx_huanwu.png	uires/ui_2nd/image/girlskill/huanwuyanguang.png	1	addhurt	1	20	10	50	1	50%几率增加1名武将20%攻击（一回合），若失败则增加10%攻击。	attack:50	defence:50	mdefence:50	health:50	uires/ui_2nd/image/girl/luoshen_big.png	uires/ui_2nd/image/hero/luoshen_icon.png	animation/effect/spines/export/skillname/01.png	uires/ui_2nd/com/panel/beauty/girl_ls.png	兖州
1004001	1	凝神拒守	uires/ui_2nd/com/panel/beauty/tx_ningsheng.png	uires/ui_2nd/image/girlskill/ningshenjushou.png	1	adddefence	1	20	10	50	1	50%几率增加1名武将20%防御（一回合），若失败则增加10%防御。	attack:100	defence:100	mdefence:100	health:100	uires/ui_2nd/image/girl/sunshangxiang_big.png	uires/ui_2nd/image/hero/sunshangxiang_icon.png	animation/effect/spines/export/skillname/03.png	uires/ui_2nd/com/panel/beauty/girl_ssx.png	冀州
1006001	1	流风回雪	uires/ui_2nd/com/panel/beauty/tx_liufeng.png	uires/ui_2nd/image/girlskill/liufenghuixue.png	1	addpower	1	200	100	50	0	50%几率增加1名武将200点士气，若失败则增加100点士气。	attack:200	defence:200	mdefence:200	health:200	uires/ui_2nd/image/girl/daqiao_big.png	uires/ui_2nd/image/hero/daqiao_icon.png	animation/effect/spines/export/skillname/02.png	uires/ui_2nd/com/panel/beauty/girl_dq.png	司州
1008001	1	绝代风华	uires/ui_2nd/com/panel/beauty/tx_juedai.png	uires/ui_2nd/image/girlskill/juedaifenghua.png	1	addhurt	2	20	10	50	1	50%几率增加2名武将20%攻击（一回合），若失败则增加10%攻击。	attack:400	defence:400	mdefence:400	health:400	uires/ui_2nd/image/girl/xiaoqiao_big.png	uires/ui_2nd/image/hero/xiaoqiao_icon.png	animation/effect/spines/export/skillname/04.png	uires/ui_2nd/com/panel/beauty/girl_xq.png	青州
1010001	1	铜墙铁壁	uires/ui_2nd/com/panel/beauty/tx_tongqiang.png	uires/ui_2nd/image/girlskill/tongqiangtiebi.png	1	adddefence	2	20	10	50	1	50%几率增加2名武将20%防御（一回合），若失败则增加10%防御。	attack:800	defence:800	mdefence:800	health:800	uires/ui_2nd/image/girl/zhurongfuren_big.png	uires/ui_2nd/image/hero/zhurongfuren_icon.png	animation/effect/spines/export/skillname/06.png	uires/ui_2nd/com/panel/beauty/girl_zr.png	豫州
1012001	1	艳绝天下	uires/ui_2nd/com/panel/beauty/tx_yanjue.png	uires/ui_2nd/image/girlskill/yanjuetianxia.png	1	addpower	2	200	100	50	0	50%几率增加2名武将200点士气，若失败则增加100点士气。	attack:1400	defence:1400	mdefence:1400	health:1400	uires/ui_2nd/image/girl/caiwenji_big.png	uires/ui_2nd/image/hero/caiwenji_icon.png	animation/effect/spines/export/skillname/05.png	uires/ui_2nd/com/panel/beauty/girl_cwj.png	幽州
1014001	1	奇袭无双	uires/ui_2nd/com/panel/beauty/tx_qixi.png	uires/ui_2nd/image/girlskill/qixiwushuang.png	1	addhurt	2	20			1	随机增加2名武将20%攻击（一回合）。	attack:2200	defence:2200	mdefence:2200	health:2200	uires/ui_2nd/image/girl/huangyueying_big.png	uires/ui_2nd/image/hero/huangyueying_icon.png	animation/effect/spines/export/skillname/07.png	uires/ui_2nd/com/panel/beauty/girl_hyy.png	荆州
1016001	1	固若金汤	uires/ui_2nd/com/panel/beauty/tx_guruo.png	uires/ui_2nd/image/girlskill/guruojintang.png	1	adddefence	2	20			1	随机增加2名武将20%防御（一回合）。	attack:3200	defence:3200	mdefence:3200	health:3200	uires/ui_2nd/image/girl/zhenji_big.png	uires/ui_2nd/image/hero/zhenji_icon.png	animation/effect/spines/export/skillname/09.png	uires/ui_2nd/com/panel/beauty/girl_zj.png	凉州
1018001	1	蝶光旋舞	uires/ui_2nd/com/panel/beauty/tx_dieguang.png	uires/ui_2nd/image/girlskill/dieguangxuanwu.png	1	addpower	2	200			0	随机增加2名武将200点士气。	attack:4400	defence:4400	mdefence:4400	health:4400	uires/ui_2nd/image/girl/diaochan_big.png	uires/ui_2nd/image/hero/diaochan_icon.png	animation/effect/spines/export/skillname/08.png	uires/ui_2nd/com/panel/beauty/girl_dc.png	南蛮
