编号	放送武将名称	放送武将	星星需求数量	名字资源路径
Id	Name	GodRid	GodRequiredStar	NameIco
1	吕布	98	150	uires/ui_2nd/com/panel/godrole/lvbu.png
2	诸葛亮	99	250	uires/ui_2nd/com/panel/godrole/zhugeliang.png
3	洛神	102	315	uires/ui_2nd/com/panel/godrole/luoshen.png
4	关羽	94	345	uires/ui_2nd/com/panel/godrole/guanyu.png
5	赵云	96	385	uires/ui_2nd/com/panel/godrole/zhaoyun.png
6	吕布	98	415	uires/ui_2nd/com/panel/godrole/lvbu.png
7	诸葛亮	99	430	uires/ui_2nd/com/panel/godrole/zhugeliang.png
8	洛神	102	455	uires/ui_2nd/com/panel/godrole/luoshen.png
9	关羽	94	475	uires/ui_2nd/com/panel/godrole/guanyu.png
10	赵云	96	505	uires/ui_2nd/com/panel/godrole/zhaoyun.png
11	吕布	98	535	uires/ui_2nd/com/panel/godrole/lvbu.png
12	诸葛亮	99	555	uires/ui_2nd/com/panel/godrole/zhugeliang.png
13	洛神	102	570	uires/ui_2nd/com/panel/godrole/luoshen.png
14	关羽	94	600	uires/ui_2nd/com/panel/godrole/guanyu.png
15	赵云	96	625	uires/ui_2nd/com/panel/godrole/zhaoyun.png
16	吕布	98	655	uires/ui_2nd/com/panel/godrole/lvbu.png
17	诸葛亮	99	685	uires/ui_2nd/com/panel/godrole/zhugeliang.png
18	洛神	102	700	uires/ui_2nd/com/panel/godrole/luoshen.png
19	关羽	94	720	uires/ui_2nd/com/panel/godrole/guanyu.png
20	赵云	96	750	uires/ui_2nd/com/panel/godrole/zhaoyun.png
21	吕布	98	775	uires/ui_2nd/com/panel/godrole/lvbu.png
22	诸葛亮	99	795	uires/ui_2nd/com/panel/godrole/zhugeliang.png
23	洛神	102	810	uires/ui_2nd/com/panel/godrole/luoshen.png
24	关羽	94	830	uires/ui_2nd/com/panel/godrole/guanyu.png
25	赵云	96	865	uires/ui_2nd/com/panel/godrole/zhaoyun.png
26	诸葛亮	99	900	uires/ui_2nd/com/panel/godrole/zhugeliang.png
27	洛神	102	999	uires/ui_2nd/com/panel/godrole/luoshen.png
