名称	变量名	变量值
Name	Key	Value
收获金币和粮食间隔	HarvestInterval	60
英雄技能最大等级	RoleSkillLevelMax	50
洗点资源需求	RoleRefineMaterial	20
传承金币消耗	RoleTransferGold	100
传承元宝消耗	RoleTransferCash	100
金币传承经验获得	RoleTransferGoldXp	80
元宝传承经验获得	RoleTransferCashXp	100
金矿每次最长占领时间(小时)	MineOccupyTime	1
金矿最大产出系数	MineMaxOutput	15
训练馆训练冷却时间	TrainingColdTime	28800
训练馆清除冷却时间元宝花费(小时)	TrainingClearColdTime	1
幸运宝石增加成功概率	LuckyGemSuccess	10
幸运宝石ID	LuckyGemId	37
每日免费粮食	DailyFood	3000
每次付费购买粮食数量	CashFood	1000
英雄祭坛粮食消耗	DuplicateBossFood	200
副本每次粮食消耗	DuplicateFood	100
英雄祭坛每日免费次数	DuplicateFree	12
英雄祭坛每日付费次数	DuplicateCash	10
副本挑战次数增加时间间隔（秒）	DuplicateAddInterval	7200
全局消息的最大数目	GlobalMessageMaxLength	30
擂台消息存储最大数量	RankMessageMaxLength	6
每天臣民产出次数	PersonOutPutTimes	20
每日签到的最大天数	SignDayLimit	30
补签一次每日签到的元宝花费	SignOnceCash	10
连续登陆领取奖励的最大天数	LoginDayLimit	5
武器镶嵌宝石类型	WeaponGemSlot	101:101:901
法器镶嵌宝石类型	MagicGemSlot	201:201:901
防具镶嵌宝石类型	ArmorGemSlot	301:401:901
饰品镶嵌宝石类型	AccessoryGemSlot	501:501:901
装备第一个宝石槽开启所需强化等级	EquipOpenGemStrength1	31
装备第二个宝石槽开启所需强化等级	EquipOpenGemStrength2	34
装备第三个宝石槽开启所需强化等级	EquipOpenGemStrength3	38
初始开放的宝石等级	DefaultOpenGemLevel	8
7级宝石开放距离开服时间（天）	GemLevelOpenDays7	0
8级宝石开放距离开服时间（天）	GemLevelOpenDays8	0
9级宝石开放距离开服时间（天）	GemLevelOpenDays9	0
跑商每日免费次数限制	BusinessDailyLimit	144
擂台产生声望的时间间隔(秒)	RankReputationInterval	600
擂台开启等级	RankOpenLevel	20
擂台排名第一金币奖励	Rank1GoldAward	384000
