点背次数	1级宝石权重	1级宝石掉落概率	2级宝石权重	2级宝石掉落概率	3级宝石权重	3级宝石掉落概率	4级宝石权重	4级宝石掉落概率	5级宝石权重	5级宝石掉落概率	6级宝石权重	6级宝石掉落概率	7级宝石权重	7级宝石掉落概率
UnluckCount	Weight1	Pro1	Weight2	Pro2	Weight3	Pro3	Weight4	Pro4	Weight5	Pro5	Weight6	Pro6	Weight7	Pro7
0	0	0	400		1600		5		1	5.00%	0.5	3.00%	0	2.00%
1	0	0	400		1600		6		2	6.00%	1	4.00%	0	3.00%
2	0	0	400		1600		6		3	7.00%	1	5.00%	0.5	4.00%
3	0	0	400		1600		7		4	8.00%	2	6.00%	1	5.00%
4	0	0	400		1600		8		4	9.00%	2	7.00%	1	6.00%
5	0	0	400		1600		8		4	10.00%	3	8.00%	2	7.00%
6	0	0	400		1600		8		4	11.00%	3	9.00%	2	8.00%
7	0	0	400		1600		8		4	12.00%	3	10.00%	2	9.00%
8	0	0	400		1600		8		4	13.00%	3	11.00%	2	10.00%
9	0	0	400		1600		8		4	14.00%	3	12.00%	2	11.00%
10	0	0	400		1600		8		4	15.00%	3	13.00%	2	12.00%
11	0	0	0	0	0	0	0	0	100	50.00%	0	20.00%	0	15.00%
														
														
														
														
														
														
														
														
									    					
