编号	布阵类型	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8
Id	Type	Boss	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8
1	1	93321	93321	93501		94301	94301	92301	95301	94301	
2	1	93321	93521	93301		94301	94301	92301	95301	94301	
3	1	93321	93321		93301	93501	91301		94301	92301	94301
4	1	93321	93501	93321			95301	93301	94301	95301	92301
5	1	93321	91301	93321	92301		93501		95301	94301	93501
6	1	93321	92301	91301	93321		93301	92301	94301	95301	
7	1	93321	91301		93321	94301	93301	93301		95301	93501
8	1	93321	91301		91301	93321	93301	92301	95301		94301
9	1	93321		93301	92301	91301	93321		95301	94301	93301
10	1	93321		93301	93301	93301	93321	93301		93501	93501
11	1	93321		93301	93301	93321	93501	93501		93501	93501
12	1	93321	91301		92301	93301	93321		95301	94301	94301
13	1	93321	91301	91301	92301		94301	93321		94301	95301
14	1	93321	92301	93301		95301	94501	93321		93501	93501
15	1	93521	91301		91301	93521	92301		93501	95301	94301
16	1	93521	91301	93301		92301	93521		94301	95301	95301
17	1	93521	93521			95301	92301	95301	93501	93301	94501
18	1	93521	93521	93301		94301	93301	92301	95301	94301	
19	1	93521		93521	92301	91301	93501	94501	95301	93501	
20	1	93521		93301	93521	92301	93301	95301		94301	94301
21	1	93521	93501	91301	92301	93521	93301		95301	93301	
22	1	93521	92301	93301	93301	95301	93521	94301	95301		
23	1	93521	93301	91301		95301	93501	93521	92301		94301
