物品	团购商品	权重	原价	阶段1人数	阶段1返还	阶段2人数	阶段2返还	阶段3人数	阶段3返还
Id	Award1	Weight	Cash	Target1	Return1	Target2	Return2	Target3	Return3
1	material.82:1	0	150	10	15	50	30	100	60
2	material.82:2	0	300	9	30	40	60	80	120
3	material.82:5	0	750	7	75	30	150	60	300
4	material.82:10	0	1500	5	150	20	300	40	600
5	material.82:20	0	3000	3	300	10	600	20	1200
6	material.19:10	0	60	10	6	50	12	100	24
7	material.19:25	0	150	9	15	40	30	80	60
8	material.19:50	0	300	7	30	30	60	60	120
9	material.19:100	0	600	5	60	20	120	40	240
10	material.19:200	0	1200	3	120	10	240	20	480
11	material.26:5	0	60	10	6	50	12	100	24
12	material.26:10	0	120	9	12	40	24	80	48
13	material.26:25	0	300	7	30	30	60	60	120
14	material.26:50	0	600	5	60	20	120	40	240
15	material.26:100	0	1200	3	120	10	240	20	480
16	material.22:5	0	40	10	4	50	8	100	16
17	material.22:10	0	80	9	8	40	16	80	32
18	material.22:25	0	200	7	20	30	40	60	80
19	material.22:50	0	400	5	40	20	80	40	160
20	material.22:10	0	800	3	80	10	160	20	320
21	material.3411:10	0	60	10	6	50	12	100	24
22	material.3411:25	0	150	9	15	40	30	80	60
23	material.3411:50	0	300	7	30	30	60	60	120
24	material.3411:100	0	600	5	60	20	120	40	240
25	material.3411:200	0	1200	3	120	10	240	20	480
26	gem.901:3	0	66	10	6	50	13	100	26
27	gem.901:5	0	110	9	11	40	22	80	44
28	gem.901:10	0	220	7	22	30	44	60	88
29	gem.901:20	0	440	5	44	20	88	40	176
30	gem.901:50	0	1100	3	110	10	220	20	440
31	material.3203:3	0	300	10	30	50	60	100	120
32	material.3203:5	0	500	9	50	40	100	80	200
33	material.3203:10	0	1000	7	100	30	200	60	400
34	material.3203:20	0	2000	5	200	20	400	40	800
35	material.3203:50	0	5000	3	500	10	1000	20	2000
36	material.82:1	0	150	2	15	8	30	15	60
37	material.82:2	0	300	2	30	6	60	12	120
38	material.82:3	0	450	2	45	5	90	10	180
39	material.19:5	30	30	2	3	8	6	15	12
40	material.19:10	40	60	2	6	8	12	15	24
41	material.19:15	30	90	2	9	8	18	15	36
42	material.19:20	20	120	2	12	6	24	12	48
43	material.19:50	10	300	2	30	5	60	10	120
44	material.26:5	30	60	2	6	8	12	15	24
45	material.26:10	40	120	2	12	8	24	15	48
46	material.26:15	30	180	2	18	6	36	12	72
47	material.26:20	20	240	2	24	5	48	10	96
48	material.22:5	30	40	2	4	8	8	15	16
49	material.22:10	40	80	2	8	8	16	15	32
50	material.22:15	30	120	2	12	8	24	15	48
51	material.22:20	20	160	2	16	6	32	12	64
52	material.22:50	10	400	2	40	5	80	10	160
53	material.3411:5	30	30	2	3	8	6	15	12
54	material.3411:10	40	60	2	6	8	12	15	24
55	material.3411:15	30	90	2	9	8	18	15	36
56	material.3411:20	20	120	2	12	6	24	12	48
57	material.3411:50	10	300	2	30	5	60	10	120
58	gem.901:1	10	22	2	2	8	4	15	8
59	gem.901:2	20	44	2	4	8	8	15	17
60	gem.901:3	10	66	2	6	8	13	15	26
61	gem.901:5	5	110	2	11	6	22	12	44
62	gem.901:10	3	220	2	22	5	44	10	88
63	material.3203:1	30	100	2	10	8	20	15	40
64	material.3203:2	40	200	2	20	6	40	12	80
65	material.3203:3	30	300	2	30	5	60	10	120
66	material.82:1	100	100	2	10	8	20	15	40
67	material.82:2	100	200	2	20	6	40	12	80
68	material.82:3	100	300	2	30	5	60	10	120
69	material.82:4	100	400	2	40	4	80	8	160
70	material.82:5	100	500	2	50	3	100	5	200
