编号	功能图标	开启描述
Id		
1	uires/ui_2nd/com/panel/playerguide/big_gold.png	“主城征收”开启
2	uires/ui_2nd/com/panel/playerguide/big_food.png	“征粮”开启
3	uires/ui_2nd/com/panel/mainscene/zhandou.png	“出征”开启
4	uires/ui_2nd/image/townhall/info.png	“武将信息”开启
5	uires/ui_2nd/image/townhall/strength.png	“强化”开启
6	uires/ui_2nd/com/panel/mainscene/task.png	“任务”开启
7	uires/ui_2nd/image/townhall/goldtavern.png	“招贤馆”开启
8	uires/ui_2nd/com/panel/mainscene/buzhen.png	“布阵”开启
9	uires/ui_2nd/image/townhall/bag.png	“仓库”开启
10	uires/ui_2nd/image/townhall/hero_home.png	“英雄祭坛”开启
11	uires/ui_2nd/image/townhall/shop.png	“商城”开启
12	uires/ui_2nd/image/townhall/build.png	“锻造”开启
13	uires/ui_2nd/com/panel/mainscene/chat.png	“成就”开启
14	uires/ui_2nd/image/townhall/arena.png	“擂台”开启
15	uires/ui_2nd/image/townhall/info.png	“残卷抢夺”开启
16	uires/ui_2nd/image/townhall/guoguan.png	“过关斩将”开启
17	uires/ui_2nd/image/townhall/goldmine.png	“金矿”开启
18	uires/ui_2nd/image/townhall/grouth.png	“武将培养”开启
19	uires/ui_2nd/image/townhall/active.png	“活跃度”开启
20	uires/ui_2nd/image/townhall/sweep.png	“扫荡”开启
21	uires/ui_2nd/image/townhall/train.png	“训练馆”开启
22	uires/ui_2nd/image/townhall/prison.png	“地牢”开启
23	uires/ui_2nd/image/townhall/bussiness.png	“西域商社”开启
24	uires/ui_2nd/image/townhall/gem.png	“宝石镶嵌”开启
25	uires/ui_2nd/image/townhall/transfer.png	“武将转职”开启
26	uires/ui_2nd/image/townhall/exsoul.png	“武将炼魂”开启
27	uires/ui_2nd/image/townhall/tower.png	“千重楼”开启
28	uires/ui_2nd/image/townhall/wash.png	“武将洗髓”开启
29	uires/ui_2nd/image/townhall/tech.png	“军机处”开启
30	uires/ui_2nd/image/hero/weiyan_icon.png	
31	uires/ui_2nd/image/townhall/liaotian.png	“聊天”开启
32	uires/ui_2nd/image/townhall/canjuan.png	“残卷抢夺”开启
33	uires/ui_2nd/image/townhall/temple.png	“神殿招贤”开启
34	uires/ui_2nd/com/panel/mainscene/success.png	“成就”开启
35	uires/ui_2nd/image/townhall/legion.png	“军团”开启
36	uires/ui_2nd/image/townhall/awaken.png	“觉醒”开启
