马具等级	升级所需材料数量	升级所需材料数量	马鞍素材	马鞭素材	品质
Level	SeatCount	WhipCount	SeatUrl	WhipUrl	Quantity
1	2	2	horse/saddle_1.png	horse/horsewhip_1.png	blue
2	4	4	horse/saddle_1.png	horse/horsewhip_1.png	blue
3	6	6	horse/saddle_1.png	horse/horsewhip_1.png	blue
4	8	8	horse/saddle_1.png	horse/horsewhip_1.png	blue
5	10	10	horse/saddle_1.png	horse/horsewhip_1.png	blue
6	14	14	horse/saddle_1.png	horse/horsewhip_1.png	blue
7	18	18	horse/saddle_1.png	horse/horsewhip_1.png	blue
8	22	22	horse/saddle_2.png	horse/horsewhip_2.png	purple
9	26	26	horse/saddle_2.png	horse/horsewhip_3.png	purple
10	30	30	horse/saddle_2.png	horse/horsewhip_3.png	purple
11	35	35	horse/saddle_2.png	horse/horsewhip_2.png	purple
12	40	40	horse/saddle_3.png	horse/horsewhip_3.png	purple
13	45	45	horse/saddle_3.png	horse/horsewhip_4.png	purple
14	50	50	horse/saddle_3.png	horse/horsewhip_3.png	purple
15	55	55	horse/saddle_3.png	horse/horsewhip_4.png	orange
16	60	60	horse/saddle_3.png	horse/horsewhip_4.png	orange
17	65	65	horse/saddle_3.png	horse/horsewhip_4.png	orange
18	70	70	horse/saddle_3.png	horse/horsewhip_4.png	orange
19	80	80	horse/saddle_4.png	horse/horsewhip_5.png	orange
20	90	90	horse/saddle_4.png	horse/horsewhip_5.png	orange
