编号	名字	品质	马匹素材	兑换所需马币	出售可得马币	基础攻击	基础物理防御	基础魔法防御	基础血量	攻击成长系数	物理防御成长系数	魔法防御成长系数	血量成长系数	道具套马的概率	最大金币消耗时的套马概率	金币套马的概率1	金币套马的概率2	金币套马的概率3	金币套马的概率4	金币套马的概率5	金币套马的概率6	金币套马的概率7	金币套马的概率8	金币套马的概率9	金币套马的概率10	马匹描述
Id	Name	Quantity	Url	ExchangeHorseCurrency	SellHorseCurrency	Attack	Defence	MagicDefence	Health	AttackFactor	DefenceFactor	MagicDefenceFactor	HealthFactor	MaterialWeight	GoldWeightFinal	GoldWeight1	GoldWeight2	GoldWeight3	GoldWeight4	GoldWeight5	GoldWeight6	GoldWeight7	GoldWeight8	GoldWeight9	GoldWeight10	HorseDescribe
1	赤兔	orange	horse/chi_tu.png	2000	600	2000	1000	1000	1500	1151	1079	1079	1090	9	8	5	5	5	6	6	6	6	7	7	7	鬓发赤红，马首如兔，疾走似烈焰腾空，先随吕布，后属关羽，乃三国第一名驹。
2	的卢	orange	horse/di_lu.png	2000	600	2000	1000	1000	1500	1152	1075	1075	1075	9	8	5	5	5	6	6	6	6	7	7	7	初始被认做妨主之骑。后在檀溪处一跃三丈，救刘备于危难中，遂名动天下。
3	绝影	orange	horse/jue_ying.png	2000	600	2000	1000	1000	1500	1148	1090	1090	1100	9	8	5	5	5	6	6	6	6	7	7	7	奔速奇快，宛城之战中身负三箭，仍负操疾走，直至流矢中眼而倒。曹操亦因其而全活。
4	爪黄飞电	orange	horse/fei_dian.png	2000	600	2000	1000	1000	1500	1153	1075	1075	1075	9	8	5	5	5	6	6	6	6	7	7	7	曹操坐骑，通体雪白，唯独四蹄明黄，身材高大，俊朗异常操唯独在凯旋时才骑乘此马。
5	照夜玉狮子	orange	horse/yu_shi_zi.png	2000	600	2000	1000	1000	1500	1150	1081	1082	1090	9	8	5	5	5	6	6	6	6	7	7	7	赵云坐骑，通体雪白，属龙种，长坂坡战时云落入陷阱，此马一跃而出，救主于危难中。
6	乌云踏雪	orange	horse/ta_xue.png	2000	600	2000	1000	1000	1500	1150	1081	1082	1095	9	8	5	5	5	6	6	6	6	7	7	7	张飞之马，黑毛白蹄。本为关外名驹，秉性刚烈，随张飞征战天下，未尝远离。
7	灰影	orange	horse/hui_ying.png	2000	600	2000	1000	1000	1500	1150	1075	1075	1085	9	8	5	5	5	6	6	6	6	7	7	7	大宛名马，脾气沉稳，奔行时速度奇快，只能隐约看见身影，故名灰影。
8	乌孙	orange	horse/wu_sun.png	2000	600	2000	1000	1000	1500	1153	1070	1070	1075	9	8	5	5	5	6	6	6	6	7	7	7	大宛名马，脾气沉稳，通体乌黑，无有杂色，，为司马懿坐骑，脾气秉性为司马懿所喜。
9	里飞沙	orange	horse/sha_li_fei.png	2000	600	2000	1000	1000	1500	1152	1075	1075	1085	9	8	5	5	5	6	6	6	6	7	7	7	大宛名马，身形高大，喜斗好战。马超曾骑乘此马杀得曹操割须弃袍狼狈逃命。
