等级限制	关卡1难度系数	关卡2难度系数	关卡3难度系数	关卡4难度系数	关卡5难度系数	关卡6难度系数	关卡7难度系数	关卡8难度系数	关卡9难度系数	关卡10难度系数	VIP系数
Level	Difficulty1	Difficulty2	Difficulty3	Difficulty4	Difficulty5	Difficulty6	Difficulty7	Difficulty8	Difficulty9	Difficulty10	VipPara
10	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
20	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
30	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
35	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
40	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
45	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
50	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
55	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
60	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
65	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
70	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
75	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
80	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
85	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
90	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
95	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
100	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
105	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
110	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
115	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
120	0.91	0.92	0.93	0.94	0.95	0.96	0.97	1.1	1.1	1.1	0.001
