名称	变量名	变量值
Name	Key	Value
军团取名上限	NameMax	7
军团公告字数上限	NoticeMax	20
军团徽章数量	IconNum	12
创建军团花费元宝	CashCreate	200
申请队列人数上限	ApplicantListLimit	20
单页搜索军团数	CountPerPage	3
初始每日捐献金币次数	InitialGoldContributeTime	1
单次捐献金币数额	GoldContributeNum	100000
单次捐献金币获得贡献	GoldContributeHonor	300
退出军团后限制加军团时间限制（秒）	JoinTimeLimit	86400
成员离开军团扣除军团经验	QuitLegionExpPenalty	100
副军团长人数上限（必须配2，军团战结束要生成国家官员）	ViceLimit	2
报名军团战所需军团等级	BattleLevelLimit	2
初始体力	BattleInitPower	300
复活领取体力等待时间	ReviveWaitTime	90
初始行动力	BattleInitAct	5
行动力恢复间隔（秒）	ActRestoring	300
一次购买行动力点数	BuyMoveNum	5
军团战BOSS重生时间（秒）	RebornTime	30
主城BOSS击杀获得攻击增益百分比	BossAttBuff	50
主城攻击增益百分比	MainCityAttBuff	80
附城攻击增益百分比	ViceCityAttBuff	50
每日军团祈福次数	PrayTime	3
祈福消耗军团贡献	HonorPray	100
军团战PVP基础积分	BaseScore	150
军团战PVP系数1	RadioOne	6
军团战PVP连斩系数1	KillRadioOne	10
军团战PVP连斩系数2	KillRadioTwo	2
军团战PVP伤血扣体力基础值	EnergyBaseCost	50
军团积分兑换贡献百分比系数	ScoreToHonorPercent	2
免费复活次数	FreeReviveTimes	2
同时加入军团最大申请个数	ApplicationMax	3
