BOSS类型（1=皇城，2=主城,3=附城）	开服天数(两个类型天数保持一致)	名称	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	士气	产出积分
Type	Days	Name	Boss	Background	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	FightForce	InitPower	Score
1	1	魔王·董卓	344020	1	343020		343020	443020		443020	543020	344020	543020	19475	200	200
1	2	魔王·董卓	344025	1	343025		343025	443025		443025	543025	344025	543025	26810	200	200
1	4	魔王·董卓	344030	1	343030		343030	443030		443030	543030	344030	543030	37117	200	200
1	8	魔王·董卓	344035	1	343035		343035	443035		443035	543035	344035	543035	48309	200	200
1	12	魔王·董卓	344040	1	343040		343040	443040		443040	543040	344040	543040	69310	210	200
1	19	魔王·董卓	344045	1	343045		343045	443045		443045	543045	344045	543045	82999	220	200
1	28	魔王·董卓	344050	1	343050		343050	443050		443050	543050	344050	543050	101276	230	200
1	41	魔王·董卓	344055	1	343055		343055	443055		443055	543055	344055	543055	127026	240	200
1	59	魔王·董卓	344060	1	343060		343060	443060		443060	543060	344060	543060	155867	250	200
1	82	魔王·董卓	344065	1	343065		343065	443065		443065	543065	344065	543065	189304	260	200
1	110	魔王·董卓	344070	1	343070		343070	443070		443070	543070	344070	543070	240442	270	200
1	143	魔王·董卓	344075	1	343075		343075	443075		443075	543075	344075	543075	295213	280	200
1	181	魔王·董卓	344080	1	343080		343080	443080		443080	543080	344080	543080	368112	290	200
1	224	魔王·董卓	344085	1	343085		343085	443085		443085	543085	344085	543085	457757	300	200
1	272	魔王·董卓	344090	1	343090		343090	443090		443090	543090	344090	543090	579030	310	200
1	325	魔王·董卓	344095	1	343095		343095	443095		443095	543095	344095	543095	732319	320	200
1	384	魔王·董卓	344100	1	343100		343100	443100		443100	543100	344100	543100	936311	330	200
2	1	叛军首领	345020	1	343020		343020	443020		443020	543020	345020	543020	19475	200	150
2	2	叛军首领	345025	1	343025		343025	443025		443025	543025	345025	543025	26810	200	150
2	4	叛军首领	345030	1	343030		343030	443030		443030	543030	345030	543030	37117	200	150
2	8	叛军首领	345035	1	343035		343035	443035		443035	543035	345035	543035	48309	200	150
2	12	叛军首领	345040	1	343040		343040	443040		443040	543040	345040	543040	69310	210	150
2	19	叛军首领	345045	1	343045		343045	443045		443045	543045	345045	543045	82999	220	150
2	28	叛军首领	345050	1	343050		343050	443050		443050	543050	345050	543050	101276	230	150
2	41	叛军首领	345055	1	343055		343055	443055		443055	543055	345055	543055	127026	240	150
2	59	叛军首领	345060	1	343060		343060	443060		443060	543060	345060	543060	155867	250	150
2	82	叛军首领	345065	1	343065		343065	443065		443065	543065	345065	543065	189304	260	150
2	110	叛军首领	345070	1	343070		343070	443070		443070	543070	345070	543070	240442	270	150
2	143	叛军首领	345075	1	343075		343075	443075		443075	543075	345075	543075	295213	280	150
2	181	叛军首领	345080	1	343080		343080	443080		443080	543080	345080	543080	368112	290	150
2	224	叛军首领	345085	1	343085		343085	443085		443085	543085	345085	543085	457757	300	150
2	272	叛军首领	345090	1	343090		343090	443090		443090	543090	345090	543090	579030	310	150
2	325	叛军首领	345095	1	343095		343095	443095		443095	543095	345095	543095	732319	320	150
2	384	叛军首领	345100	1	343100		343100	443100		443100	543100	345100	543100	936311	330	150
3	1	叛军队长	346020	1	343020		343020	443020		443020	543020	345020	543020	19475	200	170
3	2	叛军队长	346025	1	343025		343025	443025		443025	543025	345025	543025	26810	200	170
3	4	叛军队长	346030	1	343030		343030	443030		443030	543030	345030	543030	37117	200	170
3	8	叛军队长	346035	1	343035		343035	443035		443035	543035	345035	543035	48309	200	170
3	12	叛军队长	346040	1	343040		343040	443040		443040	543040	345040	543040	69310	210	170
3	19	叛军队长	346045	1	343045		343045	443045		443045	543045	345045	543045	82999	220	170
3	28	叛军队长	346050	1	343050		343050	443050		443050	543050	345050	543050	101276	230	170
3	41	叛军队长	346055	1	343055		343055	443055		443055	543055	345055	543055	127026	240	170
3	59	叛军队长	346060	1	343060		343060	443060		443060	543060	345060	543060	155867	250	170
3	82	叛军队长	346065	1	343065		343065	443065		443065	543065	345065	543065	189304	260	170
3	110	叛军队长	346070	1	343070		343070	443070		443070	543070	345070	543070	240442	270	170
3	143	叛军队长	346075	1	343075		343075	443075		443075	543075	345075	543075	295213	280	170
3	181	叛军队长	346080	1	343080		343080	443080		443080	543080	345080	543080	368112	290	170
3	224	叛军队长	346085	1	343085		343085	443085		443085	543085	345085	543085	457757	300	170
3	272	叛军队长	346090	1	343090		343090	443090		443090	543090	345090	543090	579030	310	170
3	325	叛军队长	346095	1	343095		343095	443095		443095	543095	345095	543095	732319	320	170
3	384	叛军队长	346100	1	343100		343100	443100		443100	543100	345100	543100	936311	330	170
