等级	累计升级经验	出战武将数量	主城征收上限	主城产出效率(perHour)	磨坊生产上限	磨坊产出效率(perHour)	训练馆产出经验	金矿产出系数	臣民每次产出(废弃)	地牢产出(废弃)	装备评分(废弃)	武将位置数量	君主经验	声望
Level	Xp	RoleNum	GoldMax	GoldPerHour	FoodMax	FoodPerHour	TrainingXp	MineOutputFactor	PersonOutPut	PrisonOutPut	EquipScore	RoleSeatLimit	DuplicateXp	DuplicateFame
1	30	1	180000	6000	6000	192	4000	4	480	12000	1	4	28	20
2	70	1	184500	6150	6000	192	4000	4	494	12360	1	4	34	20
3	120	1	189000	6300	6000	192	4000	4	509	12730	1	4	45	20
4	180	1	193500	6450	6000	192	4000	4	524	13110	1	4	48	20
5	300	2	198000	6600	6000	192	4000	4	540	13505	1	5	50	20
6	440	2	202500	6750	6000	192	4000	4	556	13910	1	5	80	20
7	600	2	207000	6900	6000	192	4000	4	573	14325	1	5	105	20
8	750	2	211500	7050	6000	192	4000	4	590	14755	1	5	120	20
9	950	2	216000	7200	6000	192	4000	4	608	15200	1	5	130	20
10	1200	2	220500	7350	6000	192	4000	4	626	15655	1	5	137	20
11	1600	2	225000	7500	6000	192	4000	4	645	16125	2	5	150	20
12	2000	2	229500	7650	6000	192	4000	4	664	16610	2	5	162	20
13	2500	2	234000	7800	6000	192	4000	4	684	17105	2	5	180	20
14	3200	2	238500	7950	6000	192	4000	4	704	17620	2	5	192	20
15	4000	2	243000	8100	6000	192	4000	4	726	18150	2	5	213	20
16	5080	3	247500	8250	6000	192	4000	4	747	18695	2	6	232	20
17	6460	3	252000	8400	6000	192	4000	4	770	19255	2	6	240	20
18	8140	3	256500	8550	6000	192	4000	4	793	19830	2	6	245	20
19	10200	3	261000	8700	6000	192	4000	4	817	20425	2	6	250	20
20	12500	3	270000	9000	6000	192	5000	8	841	21040	2	6	255	20
21	15200	3	279000	9300	6000	192	5500	8	866	21670	3	6	265	25
22	20600	3	288000	9600	6000	192	6100	8	892	22320	3	6	275	25
