关键字	简体	越南
key	cn	vn
PalyerGuide1	貂蝉小姐乃是金枝玉叶，你好大的胆子！	Điêu Thuyền tiểu thư là kim chi ngọc diệp, tiểu tử nhà ngươi quả thật to gan !
PalyerGuide2	我呸！投弹车！给我灭了这群嚣张的小渣渣！	Ta khinh ! Xe bắn đá đâu ! Mau tiêu diệt hết bọn này cho ta !
PalyerGuide3	哇哈哈哈哈，大军前进，给我屠城！	Đại quân tiến lên, tàn sát toàn thành cho ta !
PalyerGuide4	老大快看！天空云里…有条巨龙！	Lão đại mau xem kìa ! Trên trời ngay đám mây… có 1 con cự long !
PalyerGuide5	上苍助我！我果然是天之骄子！	Trời xanh giúp ta ! Ta quả thật là con của ông trời !
PalyerGuide6	我咧个靠！活着的，带上貂蝉给我撤退！	Mau bắt theo Điêu Thuyền và rút quân hết cho ta !
PalyerGuide7	恩公尊姓大名？一定要帮我们救回貂蝉小姐！	Tôn tính đại danh của ân công là ? Nhất định phải giúp chúng tôi cứu được Điêu Thuyền về !
PalyerGuide8	姑娘别套近乎，神仙救人也是收费的。	Cô nương đừng thấy sang bắt quàng làm họ, ngay cả thần tiên cứu người cũng phải thu phí đấy !
PalyerGuide9	开仓放粮才能招兵买马，历史应该都一样吧…	Mở kho phân phát lương thực mới có thể chiêu binh mãi mã !
PalyerGuide10	兵马虽少，但菜刀够锋利，碰碰运气吧。	Binh mã tuy ít nhưng tinh nhuệ, thử liều một phen đi.
PalyerGuide11	我乃徐荣，发起狠来，连自己都害怕！	Ta là Từ Vinh, đã từng đánh bại Lý Mân !
PalyerGuide12	我学历不高，你可不要骗我…	Ngươi không dọa được ta đâu !
PalyerGuide13	小子！我家主公很欣赏你。	Tiểu tử ! Chủ công nhà ta rất yêu thích ngươi đấy.
PalyerGuide14	回去告诉吕布，他胡子太茂盛，不是我的菜。	Quay về nhắn với Lữ Bố ta sẽ đến tìm hắn !
PalyerGuide15	臭小子，一群菜刀队也想救貂蝉？	Tiểu tử thúi, với một đám tiểu tốt như vậy mà muốn cứu Điêu Thuyền hả ?
PalyerGuide16	你们这些跑龙套的台词还真单调…	Có vấn đề gì sao ?
PalyerGuide17	关卡进行中，总会有些意外的惊喜呢！	Chinh chiến quan ải sẽ có nhiều bất ngờ đặc biệt !
PalyerGuide18	回报来的太突然…好感动！	Cuối cùng cũng được đền đáp !
PalyerGuide19	这么高富帅的装备，恩公穿上试试吧！	Trang bị hảo hạng, ân công người mặc vào thử xem !
PalyerGuide20	貂蝉来信，劝你不要追了，她爱上吕布了！	Điêu Thuyền truyền thư, khuyên ngươi đừng đuổi nữa !
PalyerGuide21	喂喂喂，这明显不是貂蝉亲笔写的好吧！	Đây không phải bút tích của Điêu Thuyền !
PalyerGuide22	小老弟，你当我西凉没人了？	Tên nhãi kia, ngươi tưởng Tây Lương của ta hết người rồi sao ?
PalyerGuide23	嘿嘿嘿嘿，期待你终结我的无敌。	Ta đang đợi ngươi đến đây !
PalyerGuide24	恩公，你的裤子都跑开线了，还好吧？	Ân công, người vẫn ổn chứ ?
PalyerGuide25	呜呜呜…等我磨好菜刀，一定不会放过他！	Nhất định sẽ không tha cho hắn đâu !
PalyerGuide26	我穿越前是名优秀的城管，你怕不怕！？	Ngươi đã thấy sợ chưa ! ?
PalyerGuide27	听说你们会飞踹，我也想试试。	Ta cũng muốn thử thử xem !
PalyerGuide28	恩公，是时候给你招募一位将领了！	Ân công, đã đến lúc chiêu mộ tướng lĩnh rồi !
PalyerGuide29	呜呜呜…招个厉害的，回来一起报仇！	Hãy chiêu 1 tướng thật lợi hại, quay về cùng nhau báo thù !
PalyerGuide30	臭小子！这次绝不放过你！	Lần này quyết không tha cho ngươi !
PalyerGuide31	传说中的图纸？恩公，我们发财啦！	Bản đồ trong truyền thuyết ? Ân công , chúng ta phát tài to rồi !
PalyerGuide32	先收着，估计以后用得着…	Cứ giữ đó đi, không chừng sau này sẽ cần dùng đến đấy…
PalyerGuide33	恩公若是花些小钱，是可以招募到一些新武将的。	Ân công nếu dùng một ít tiền, sẽ chiêu mộ được một số Võ Tướng mới đấy.
PalyerGuide34	万一招不到，岂不亏大了…	Nếu lỡ như không chiêu được, há không phải lỗ nặng rồi sao…
E_STR_LOGIN_OUT_OF_DATE	登陆过期，请主公重新登陆	Đăng nhập quá hạn, hãy thử đăng nhập lại xem
E_STR_ACIVE	活跃度+%d	Độ hoạt động +%d
E_STR_LVL_5_OPEN	5级开放.	Cấp 5 mở
E_STR_LVL_13_OPEN	13级开放.	Cấp 13 mở
E_STR_LVL_19_OPEN	19级开放.	Cấp 19 mở
E_STR_LVL_21_OPEN	21级开放.	Cấp 21 mở
E_STR_LVL_38_OPEN	38级开放.	Cấp 38 mở
E_STR_TIME_DAYDS_AGO	%d天前	%d ngày trước
E_STR_TIME_HOURS_AGO	%d小时前	%d giờ trước
E_STR_TIME_MINS_AGO	%d分钟前	%d phút trước
E_STR_TIME_JUST_NOW	刚刚	Vừa mới
E_STR_YOU_CHALLENGE	你挑战了	Ngươi đã khiêu chiến rồi 
E_STR_CHALLENGE_YOU	挑战了你，	 khiêu chiến ngươi, 
E_STR_YOU_WIN	你战胜了	ngươi chiến thắng rồi 
E_STR_YOU_DEFEATED	你战败了	ngươi chiến bại rồi 
E_STR_UP_TO_RANK	升至第%d名	Thăng đến hạng %d 
E_STR_DOWN_TO_RANK	降至第%d名	Giáng đến hạng %d
E_STR_RANKING_UNCHANGED	排名不变	Xếp hạng không đổi
E_STR_DEFAULT_NAME_STR	玩家：%s	Người chơi: %s
E_STR_DEFAULT_RANK_STR	排名：%d	Hạng: %d
E_STR_NO_DATE	没数据	Không có số liệu
E_STR_COUNTDOWN	倒计时:	Còn:
E_STR_GOLD	金币	Vàng 
E_STR_HONOR	军功	Quân Công 
E_STR_SOUL	将魂	Tướng Hồn
E_STR_CONFIRM_MAKE_SOUL	化魂后该卡牌消失，并转化为%d个将魂，确定化魂吗？	Sau khi hóa hồn thì thẻ này sẽ biến mất, và chuyển thành %d Tướng Hồn, đồng ý hóa hồn ?
E_STR_NO_EQUIPMENT	暂无装备	Tạm hết trang bị
E_STR_MATERIAL_NOT_ENOUGH_AND_BUY	所需材料不足,是否前去购买？	Tài nguyên cần thiết không đủ, đồng ý mua ?
E_STR_MATERIAL_NOT_ENOUGH	所需材料不足！	Tài nguyên cần thiết không đủ !
E_STR_LUCK_GEM_NOT_ENOUGH_AND_BUY	所需幸运宝石不足,是否前去购买？	Hạnh vận Ngọc cần thiết không đủ, đồng ý mua ?
E_STR_GOLD_NOT_ENOUGH	主公!金币不够啊!	Chủ Công ! Vàng không đủ ! 
E_STR_EQUIP_NOT_EXCEED_LIMIT	主公装备等级不能超过君主等级啊	Cấp trang bị không thể vượt quá Cấp Quân Chủ
E_STR_SUCCESS_RATE	成功率%d%%	Tỉ lệ thành công %d%%
E_STR_REACHED_LEVEL_TO_SETIN_GEM	强化%d级开启	Cường hóa cấp %d mở
E_STR_ATTR_ATTACK_NAME	武力	Võ Lực 
E_STR_ATTR_MAGIC_NAME	谋略	Mưu Lược 
E_STR_ATTR_DEFENSE_NAME	武防	Võ Phòng 
E_STR_ATTR_MAGIC_DEFENSE_NAME	谋防	Mưu Phòng 
E_STR_ATTR_SOLDIER_NAME	士兵	Binh Lực 
E_STR_ATTR_CRITICAL_NAME	暴击	Bạo Kích
E_STR_ATTR_FORTITUDE_NAME	刚毅	Cương Nghị
E_STR_ATTR_BLOCK_NAME	格挡	Đỡ 
E_STR_ATTR_GEM_START	开启	Mở
E_STR_ATTR_GEM_UPGRADE	升级	Tăng cấp 
E_STR_GEM_MAX_LIMIT_INFO	当前宝石为最高级	Ngọc hiện tại đạt cấp cao nhất 
E_STR_WEAR_FROM	装备与%s	%s
E_STR_SELECTED_CARDS_NUM	已选武将卡牌数:%d	Số thẻ Võ Tướng đã chọn: %d
E_STR_NO_ROLE_CARD_SELETED	还没有选择武将卡牌！	Vẫn chưa chọn thẻ Võ Tướng !
E_STR_EXCHANGE_SOUL_SUCCESS	魂级提升	Tăng cấp hồn
E_STR_EXCHANGE_SOUL_FAILED	炼魂失败	Luyện hồn thất bại
E_STR_ALREADY_MAX_LEVEL	已到满级	Đã đầy cấp
E_STR_UPGRADE_LEVEL	升级	Tăng cấp 
E_STR_UNEQUIP	卸下	Tháo
E_STR_SELECT_CARD_FULL	最多选择4张武将卡牌	Tối đa chọn 4 thẻ Võ Tướng 
E_STR_REACH_MAX_SOUL_LEVEL	当前已最高级炼魂，敬请期待	Hiện tại đã luyện hồn cấp cao nhất, hãy chờ đợi
E_STR_NO_CARD_TO_SOUL	背包里已经没有可用的卡牌，请前往招贤馆进行招募或兑换	Trong túi đã hết thẻ, hãy đến Tửu Quán chiêu mộ hoặc đổi
E_STR_ROLE_ALREADY_REGISTERED	该武将已激活，请选择其他卡牌	Võ Tướng này đã kích hoạt, hãy chọn thẻ khác 
E_STR_ROLE_SIEZ_LIMIT	武将位已满，请优先进入“武将”界面解雇武将！	Võ Tướng đã đầy, hãy vào “Võ Tướng” sa thải bớt ! 
E_STR_ATTR_MORALE_NAME	士气	Sĩ Khí
E_STR_LEAVE_AT_LEAST_ONE_ROLE	至少保留一名武将上阵！	Giữ lại ít nhất 1 Võ Tướng xuất trận !
E_STR_ONE	一手	Lượt 1
E_STR_TWO	二手	Lượt 2
E_STR_THREE	三手	Lượt 3
E_STR_FOUR	四手	Lượt 4
E_STR_FIVE	五手	Lượt 5
E_STR_SIX	六手	Lượt 6
E_STR_SEVEN	七手	Lượt 7
E_STR_EIGHT	八手	Lượt 8
E_STR_NINE	九手	Lượt 9
E_STR_DEFENDER	守关将领	Thủ Quan Tướng Lĩnh
E_STR_ELITE_INSTANCE	精英副本	Phụ Bản Tinh Anh 
E_STR_SWEEP_NUMBER	第%d轮扫荡	Càn quét vòng %d
E_STR_SWEEP_OVER	扫荡结束	Càn quét kết thúc
E_STR_ATTACK	攻击	Công kích
E_STR_USER_EXP	君主经验	Exp Quân Chủ 
E_STR_ROLE_EXP	武将经验	Exp Võ Tướng 
E_STR_FOOD_ENOUGH	没有足够的粮草	Không đủ Lúa 
E_STR_BUY	购买	Mua
E_STR_HONOR_ENOUGH	主公!军功不够啊!	Chủ Công ! Quân Công không đủ !
E_STR_CASH_ENOUGH	主公!元宝不够啊!	Chủ Công ! KNB không đủ !
E_STR_UNABLE_TO_TRANSFER_POWER	该武将经验值为0，无法传功	Võ Tướng này Exp là 0, không thể truyền thừa
E_STR_CAN_NOT_BE_DISMISSED	该武将已上阵，无法解雇。是否前往布阵移除该武将？	Võ Tướng này đang xuất trận, không thể sa thải. Đến bố trận bỏ Võ Tướng này ?
E_STR_CONFIRM_DISMISSAL	主公，您确认要解雇当前武将吗？	Chủ Công, chắc chắn muốn sa thải Võ Tướng này chứ ?
E_STR_CAN_NOT_BUY	货币不够，不能购买！	Không đủ tiền, không thể mua !
E_STR_EQUIP_SKILL_SUCCESS	装备技能成功	Trang bị kỹ năng thành công
E_STR_EQUIP_SKILL_FAILURE	装备技能失败	Trang bị kỹ năng thất bại
E_STR_UPGRADE_SUCCESSFUL	升级成功	Tăng cấp thành công
E_STR_UPGRADE_FAILS	技能书不够，是否前往购买？	Sách kỹ năng không đủ, đồng ý đi mua ?
E_STR_REACHED_MAX_LEVEL	满级	Đầy cấp
E_STR_TRANSFOR_SOLDIER_FAILED	条件不满足，无法进阶。	Điều kiện không đủ, không thể tiến cấp.
E_STR_ADDITION_SUCCESSS_RATE	每张增加成功率%d%%	Mỗi tấm tăng tỉ lệ thành công %d%%
E_STR_SHANG_ZHEN_ROLE	上阵人数%d/%d,还可以上阵%d人	Võ Tướng xuất trận %d/%d còn có thể xuất trận %d người 
E_STR_SKILL_LIMIT	每日技能书合成次数%d	Số lần ghép sách kỹ năng mỗi ngày %d
E_STR_SKILL_TIMES_OVER	今日使用次数已用完，请明天再来	Đã dùng hết số lần hôm nay, ngày mai quay lại nhé !
E_STR_ACIVE_SKILL_SUCCEED	合成成功	Ghép thành công 
E_STR_SHAO_XIA	你的%s	%s của ngươi 
E_STR_CHUAN_GONG_SUCCEED	传功成功	Truyền công thành công
E_STR_EXCHANGE_ONLY_ORANGE	血将和橙将才可炼魂	Huyết tướng và Kim Tướng mới được luyện hồn 
E_STR_TRANSFER	进阶	Tiến cấp 
E_STR_SKILL_BOOK_ROBED	你的%s被抢了%d个	%s của ngươi đã bị cướp %d cái 
E_STR_FRAGMENT_LEVEL_LIMIT	残卷抢夺%d级后开启	Cướp Tàn Quyển sau cấp %d mở 
E_STR_SHANG_ZHEN_ROLE_EX	上阵人数%d/%d,%d级还可上阵%d人	Võ Tướng xuất trận %d/%d, cấp %d còn có thể xuất trận %d người 
E_STR_GOLDMINE_WITHDRAWAL	我军从金矿撤出，%d金币收入囊中.	Quân ta rút lui từ Ngân Khoáng, được %d Vàng
E_STR_OCCUPATION_TIMES_RUN_OUT	你今天占领次数已经用完.	Bạn đã dùng hết số lần chiếm hôm nay 
E_STR_HAS_OCCUPIED_GOLDMINE	你已经占领了一个金矿	Bạn đã chiếm được 1 Ngân Khoáng 
E_STR_GOOD_ROLE_LEAVE_PROMT	橙色和红色品质武将可完成成就或者用于炼魂确认要清场送客？	Võ Tướng phẩm chất cam và đỏ có thể dùng hoàn thành Nhiệm Vụ hoặc luyện hồn, đuổi đi ?
E_STR_SOLDIER_CONDITION	条件不足，无法进阶	Điều kiện không đủ, không thể tiến cấp.
E_STR_ITEMNOTCOUNT	物品数量不足，请购买！	Số lượng vật phẩm không đủ, hãy mua !
E_STR_TRAINLIMET	培养已达上限，请进阶	Bồi dưỡng đã đạt giới hạn, hãy tiến cấp 
E_STR_ARENA_CASH_FIGHT_UNENOUGH	需要花费%d元宝,请购买.	Cần dùng %d KNB, hãy mua.
E_STR_ARENA_CASH_FIGHT	本次挑战将花费%d元宝，是否继续挑战？（剩余额外挑战：%d次）	Khiêu chiến lần này dùng %d KNB, tiếp tục ? (Khiêu chiến còn lại: %d lần)
E_STR_PLUNDER_YOUR_GOLDMINE	掠夺了你的金矿，慌乱中你只拿走了%d金币！	 đã cướp Ngân Khoáng của ngươi, trong lúc hoảng loạn chỉ mang theo %d Vàng !
E_STR_SNATCHED_GOLD	的金矿，你抢走了%d金币！	, cướp đi %d Vàng !
E_STR_YOU_PLUNDERED	你掠夺了	Ngươi đã cướp Ngân Khoáng của 
E_STR_KEEP_MINE_SUCCESS	胆敢掠夺你的金矿，被你打败！金矿里增加%d金币！	 cả gan dám cướp Ngân Khoáng của ngươi, bị ngươi đánh bại! Trong Ngân Khoáng tăng %d Vàng !
E_STR_GRAB_MINE_FAILED	的金矿，但失败了，输了%d金币！	, cướp thất bại rồi, mất %d Vàng ! 
E_STR_YOU_WANT_TO_PLUNDER	你想掠夺	Ngươi cướp Ngân Khoáng của 
E_STR_SOMEONE_CHALLENGE_YOU	在擂台挑战了你	Khiêu chiến ngươi tại Lôi Đài 
E_STR_YOU_WIN_RANKING_UNCHANGED	你战胜了！排名不变	Ngươi chiến thắng rồi ! Xếp hạng không đổi 
E_STR_YOU_WIN_RANK_UP	你战胜了！升至第%d名	Ngươi chiến thắng rồi ! Thăng đến hạng %d
E_STR_YOU_DEFEATED_RANKING_UNCHANGED	你战败了！排名不变	Ngươi chiến bại rồi ! Xếp hạng không đổi 
E_STR_YOU_DEFEATED_RANK_DOWN	你战败了！降至第%d名	Ngươi chiến bại rồi ! Giáng đến hạng %d
