编号	名称	类别	显示颜色	出售价格	是否可购买	图标	描述	是否可使用	是否可出售	是否在背包显示	使用类型	使用效果	合成数量	能否捐献(0=不能,1=普通捐献,2=捐献到军团仓库)	捐献贡献
Id	Name	Category	Color	Sell	Buyable	Url	Desc	Useable	Sellable	Showable	UseType	UseEffect	MergeNum	Donate	LegionHonor
19	技能书	other	purple	0	1	item/item19.png	武将升级技能所需物品，可通过技能残卷合成获得	0	0	1		0	0	0	0
20	洗髓丹	other	purple	0	1	item/item20.png	提高武将基础属性，『勇闯重楼』中获得	0	0	1		0	0	0	0
21	一级培养丹	other	purple	0	0	item/item21.png	提高武将成长值所需的物品	1	0	1	pill	22	4	0	0
22	二级培养丹	other	purple	0	0	item/item22.png	提高武将成长值所需的物品，可用一级培养丹合成	1	0	1	pill	23	4	0	0
23	三级培养丹	other	purple	0	0	item/item23.png	提高武将成长值所需的物品，可用二级培养丹合成	1	0	1	pill	24	4	0	0
24	四级培养丹	other	purple	0	0	item/item24.png	提高武将成长值所需的物品，可用三级培养丹合成	1	0	1	pill	25	4	0	0
25	五级培养丹	other	purple	0	0	item/item25.png	提高武将成长值所需的物品，可用四级培养丹合成	0	0	1	pill	0	0	0	0
26	兵符	other	purple	0	1	item/item26.png	兵种转职所需物品，可在精英士兵、千重楼等获得	0	1	1		0	0	1	120
27	六级培养丹	other	purple	0	0	item/item31.png	提高武将成长值所需的物品，5个五级培养丹合成	0	0	1		0	0	0	0
28	青铜人偶	consume	blue	0	0	item/xp0.png	有轻度暴力倾向练功人偶，使用后增加武将经验	1	0	1	xp	1	0	0	0
29	白银人偶	consume	purple	0	0	item/xp1.png	有中度暴力倾向的练功人偶，使用后增加大量武将经验	1	0	1	xp	1.5	0	0	0
30	黄金人偶	consume	orange	0	0	item/xp2.png	有严重暴力倾向的练功人偶，使用后增加巨额武将经验	1	0	1	xp	2	0	0	0
37	幸运宝石	other	orange	0	1	item/item37.png	提高装备打造成功率10%的物品	0	0	1		0	0	0	0
38	小喇叭	other	purple	10	1	item/item38.png	使用后可获得2元宝	1	0	1	box	0	0	0	0
39	大喇叭	other	orange	0	1	item/item39.png	用于世界公告喊话的道具，每次消耗1个	0	0	1		0	0	0	0
40	技能残卷一	other	green	100	0	item/item40.png	合成技能书所需残卷中的一种，可通过抢夺获得	0	1	0		0	0	0	0
41	技能残卷二	other	green	100	0	item/item40.png	合成技能书所需残卷中的一种，可通过抢夺获得	0	1	0		0	0	0	0
42	技能残卷三	other	green	100	0	item/item40.png	合成技能书所需残卷中的一种，可通过抢夺获得	0	1	0		0	0	0	0
43	技能残卷四	other	green	100	1	item/item40.png	合成技能书所需残卷中的一种，可通过抢夺获得	0	1	0		0	0	0	0
49	历练牌	other	orange	0	1	item/item42.png	可刷新『军机处』内历练事项	0	0	1		0	0	0	0
50	关羽招募令	other	red	0	1	item/vip_roletoken1.png	使用后可获得8个关羽碎片	1	0	1	box	0	0	0	0
51	赵云招募令	other	red	0	1	item/vip_roletoken2.png	使用后可获得8个赵云碎片	1	0	1	box	0	0	0	0
52	华佗招募令	other	red	0	1	item/vip_roletoken3.png	使用后可获得3个华佗碎片	1	0	1	box	0	0	0	0
53	左慈招募令	other	red	0	1	item/vip_roletoken4.png	使用后可获得3个左慈碎片	1	0	1	box	0	0	0	0
54	吕布招募令	other	red	0	1	item/wheel_roletoken5.png	使用后可获得8个吕布碎片	1	0	1	box	0	0	0	0
55	诸葛亮招募令	other	red	0	1	item/wheel_roletoken6.png	使用后可获得8个诸葛亮碎片	1	0	1	box	0	0	0	0
56	洛神招募令	other	red	0	1	item/vip_roletoken7.png	使用后可获得8个洛神碎片	1	0	1	box	0	0	0	0
57	童渊招募令	other	red	0	1	item/vip_roletoken8.png	使用后可获得3个童渊碎片	1	0	1	box	0	0	0	0
58	典韦招募令	other	red	0	1	item/dianwei_big.png	使用后可获得8个典韦碎片	1	0	1	box	0	0	0	0
59	马超招募令	other	red	0	1	item/machao_big.png	使用后可获得8个马超碎片	1	0	1	box	0	0	0	0
60	张飞招募令	other	red	0	1	item/zhangfei_big.png	使用后可获得8个张飞碎片	1	0	1	box	0	0	0	0
