怪物编号	怪物名称	等级	兵种	兵种等级	技能	技能等级	战斗力	攻击	血量	物理防御	法术防御	闪避	暴击	命中	破招	格挡	刚毅	素材	是否实体化	实体化素材
Id	Name	Level	Soldier	SoldierLevel	Skill	SkillLevel	FightForce	Attack	Health	Defence	MagicDefence	Miss	Critdamage	Hit	Unblock	Block	Fortitude	URL	God	GodUrl
110001	敌军刀兵	1	1	1	1	1	522	401	400	313	264	0	0	0	0	0	0	hero/dao_big.png	0	
111001	敌军刀兵	1	1	1	3	1	524	403	402	315	265	0	0	0	0	0	0	hero/dao_big.png	0	
112001	敌军刀兵	1	1	1	1	1	526	405	404	316	266	0	0	0	0	0	0	hero/dao_big.png	0	
113001	敌军刀兵	1	1	1	3	1	528	407	406	318	267	0	0	0	0	0	0	hero/dao_big.png	0	
114001	敌军刀兵	1	1	1	5	1	530	409	408	319	269	0	0	0	0	0	0	hero/dao_big.png	0	
110002	敌军刀兵	2	1	1	1	1	520	401	400	313	164	0	0	0	0	0	0	hero/dao_big.png	0	
111002	敌军刀兵	2	1	1	3	1	523	403	402	315	165	0	0	0	0	0	0	hero/dao_big.png	0	
112002	敌军刀兵	2	1	1	1	1	525	405	404	316	166	0	0	0	0	0	0	hero/dao_big.png	0	
113002	敌军刀兵	2	1	1	3	1	527	407	406	318	167	0	0	0	0	0	0	hero/dao_big.png	0	
114002	敌军刀兵	2	1	1	5	1	529	409	408	319	168	0	0	0	0	0	0	hero/dao_big.png	0	
110003	敌军刀兵	3	1	1	1	1	594	413	520	324	173	0	0	0	0	0	0	hero/dao_big.png	0	
111003	敌军刀兵	3	1	1	3	1	596	415	522	326	174	0	0	0	0	0	0	hero/dao_big.png	0	
112003	敌军刀兵	3	1	1	1	1	599	417	525	328	175	0	0	0	0	0	0	hero/dao_big.png	0	
113003	敌军刀兵	3	1	1	3	1	601	419	527	329	176	0	0	0	0	0	0	hero/dao_big.png	0	
114003	敌军刀兵	3	1	1	5	1	603	421	530	331	177	0	0	0	0	0	0	hero/dao_big.png	0	
110004	敌军刀兵	4	1	1	1	1	962	425	640	336	182	0	0	0	0	0	0	hero/dao_big.png	0	
111004	敌军刀兵	4	1	1	3	1	965	427	643	337	183	0	0	0	0	0	0	hero/dao_big.png	0	
112004	敌军刀兵	4	1	1	1	1	968	429	646	339	184	0	0	0	0	0	0	hero/dao_big.png	0	
113004	敌军刀兵	4	1	1	3	1	970	431	649	341	185	0	0	0	0	0	0	hero/dao_big.png	0	
114004	敌军刀兵	4	1	1	5	1	974	434	652	342	186	0	0	0	0	0	0	hero/dao_big.png	0	
110005	敌军刀兵	5	1	1	1	1	1297	538	834	438	266	0	0	0	0	0	0	hero/dao_big.png	0	
111005	敌军刀兵	5	1	1	3	1	1301	540	838	440	267	0	0	0	0	0	0	hero/dao_big.png	0	
112005	敌军刀兵	5	1	1	1	1	1304	543	841	442	269	0	0	0	0	0	0	hero/dao_big.png	0	
113005	敌军刀兵	5	1	1	3	1	1307	545	845	444	270	0	0	0	0	0	0	hero/dao_big.png	0	
114005	敌军刀兵	5	1	1	5	1	1311	548	849	446	271	0	0	0	0	0	0	hero/dao_big.png	0	
110006	敌军刀兵	6	1	1	1	1	1241	440	822	373	213	0	0	0	0	0	0	hero/dao_big.png	0	
111006	敌军刀兵	6	1	1	3	1	1244	442	826	375	214	0	0	0	0	0	0	hero/dao_big.png	0	
112006	敌军刀兵	6	1	1	1	1	1247	444	830	377	215	0	0	0	0	0	0	hero/dao_big.png	0	
113006	敌军刀兵	6	1	1	3	1	1250	446	834	379	216	0	0	0	0	0	0	hero/dao_big.png	0	
114006	敌军刀兵	6	1	1	5	1	1254	448	838	381	217	0	0	0	0	0	0	hero/dao_big.png	0	
110007	敌军刀兵	7	1	1	1	1	1278	454	868	386	224	0	0	0	0	0	0	hero/dao_big.png	0	
111007	敌军刀兵	7	1	1	3	1	1281	456	873	388	225	0	0	0	0	0	0	hero/dao_big.png	0	
112007	敌军刀兵	7	1	1	1	1	1285	458	877	390	226	0	0	0	0	0	0	hero/dao_big.png	0	
113007	敌军刀兵	7	1	1	3	1	1288	461	881	392	227	0	0	0	0	0	0	hero/dao_big.png	0	
114007	敌军刀兵	7	1	1	5	1	1292	463	886	394	228	0	0	0	0	0	0	hero/dao_big.png	0	
110008	敌军刀兵	8	1	1	1	1	1315	468	915	399	234	0	0	0	0	0	0	hero/dao_big.png	0	
111008	敌军刀兵	8	1	1	3	1	1319	471	919	401	235	0	0	0	0	0	0	hero/dao_big.png	0	
112008	敌军刀兵	8	1	1	1	1	1323	473	924	403	236	0	0	0	0	0	0	hero/dao_big.png	0	
113008	敌军刀兵	8	1	1	3	1	1326	475	928	405	237	0	0	0	0	0	0	hero/dao_big.png	0	
114008	敌军刀兵	8	1	1	5	1	1330	478	933	407	239	0	0	0	0	0	0	hero/dao_big.png	0	
110009	敌军刀兵	9	1	1	1	1	1353	483	961	412	244	0	0	0	0	0	0	hero/dao_big.png	0	
111009	敌军刀兵	9	1	1	3	1	1356	485	966	414	246	0	0	0	0	0	0	hero/dao_big.png	0	
112009	敌军刀兵	9	1	1	1	1	1361	488	971	416	247	0	0	0	0	0	0	hero/dao_big.png	0	
