简体	越南
cn	vn
招募武将	Chiêu mộ Võ Tướng
招贤馆累计招募1次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 1 lần
招贤馆累计招募6次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 6 lần
招贤馆累计招募10次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 10 lần
青铜成就	Nhiệm Vụ Thanh Đồng
强化装备	Cường hóa trang bị
将5件装备强化到8级	Lấy 5 trang bị cường hóa đến cấp 8
将6件装备强化到14级	Lấy 6 trang bị cường hóa đến cấp 14
将9件装备强化到21级	Lấy 9 trang bị cường hóa đến cấp 21
野外征战	Dã chiến
出征！累计战胜10个关卡	Xuất trận ! Tích lũy chiến thắng 10 quan ải
出征！累计战胜20个关卡	Xuất trận ! Tích lũy chiến thắng 20 quan ải
出征！累计战胜30个关卡	Xuất trận ! Tích lũy chiến thắng 30 quan ải
招贤馆累计招募20次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 20 lần
招贤馆累计招募40次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 40 lần
招贤馆累计招募60次武将	Tửu Quán tích lũy chiêu mộ Võ Tướng 60 lần
白银成就	Nhiệm Vụ Bạch Ngân
出征！累计战胜180个关卡	Xuất trận ! Tích lũy chiến thắng 180 quan ải
出征！累计战胜220个关卡	Xuất trận ! Tích lũy chiến thắng 220 quan ải
出征！累计战胜230个关卡	Xuất trận ! Tích lũy chiến thắng 230 quan ải
打造装备	Luyện trang bị
打造9件四阶装备	Luyện 9 trang bị cấp 4
打造6件五阶装备	Luyện 6 trang bị cấp 5
打造15件五阶装备	Luyện 15 trang bị cấp 5
擂台等级	Cấp Lôi Đài
擂台等级达到3级	Cấp Lôi Đài đạt cấp 3
擂台等级达到4级	Cấp Lôi Đài đạt cấp 4
擂台等级达到5级	Cấp Lôi Đài đạt cấp 5
黄金成就	Nhiệm Vụ Hoàng Kim
出征！累计击破250个关卡	Xuất trận ! Tích lũy chiến thắng 250 quan ải
出征！累计击破300个关卡	Xuất trận ! Tích lũy chiến thắng 300 quan ải
出征！累计击破320个关卡	Xuất trận ! Tích lũy chiến thắng 320 quan ải
武将转职	Võ Tướng tiến cấp
6名武将转职到二阶	6 Võ Tướng tiến cấp đến cấp 2
7名武将转职到二阶	7 Võ Tướng tiến cấp đến cấp 2
4名武将转职到三阶	4 Võ Tướng tiến cấp đến cấp 3
三星满贯	Tam tinh mãn quán
出征！累计战胜114个地狱难度关卡	Xuất trận ! Tích lũy chiến thắng 114 quan ải Địa Ngục
出征！累计战胜125个地狱难度关卡	Xuất trận ! Tích lũy chiến thắng 125 quan ải Địa Ngục
出征！累计战胜140个地狱难度关卡	Xuất trận ! Tích lũy chiến thắng 140 quan ải Địa Ngục
钻石成就	Nhiệm Vụ Kim Cương
决战重楼	Quyết chiến Trọng lâu
战胜千重楼45层	Chiến thắng Thiên Trọng Lâu tầng 45
战胜千重楼50层	Chiến thắng Thiên Trọng Lâu tầng 50
战胜千重楼55层	Chiến thắng Thiên Trọng Lâu tầng 55
宝石镶嵌	Khảm Ngọc
为装备镶嵌10颗三级宝石	Khảm 10 viên Ngọc cấp 3 cho trang bị
为装备镶嵌5颗四级宝石	Khảm 5 viên Ngọc cấp 4 cho trang bị
为装备镶嵌2颗五级宝石	Khảm 2 viên Ngọc cấp 5 cho trang bị
出征！累计战胜450个关卡	Xuất trận ! Tích lũy chiến thắng 450 quan ải
出征！累计战胜550个关卡	Xuất trận ! Tích lũy chiến thắng 550 quan ải
出征！累计战胜630个关卡	Xuất trận ! Tích lũy chiến thắng 630 quan ải
至尊成就	Nhiệm Vụ Chí Tôn
抢夺残卷	Cướp Tàn Quyển
成功抢夺残卷100次	Cướp thành công Tàn Quyển 100 lần
成功抢夺残卷160次	Cướp thành công Tàn Quyển 160 lần
成功抢夺残卷220次	Cướp thành công Tàn Quyển 220 lần
占矿为王	Chiếm Quáng Vị Vương
占领金矿90次	Chiếm Ngân Khoáng 90 lần
占领金矿180次	Chiếm Ngân Khoáng 180 lần
占领金矿270次	Chiếm Ngân Khoáng 270 lần
崭露头角	Tiệm Lộ Đầu Giác
声誉卓著	Thanh Dự Trác Trứ
威风八面	Uy Phong Bất Diện
雄韬伟略	Hùng Thao Vĩ Lược
盖世奇才	Cái Thế Kì Tài
卓尔不群	Trác Nhĩ Bất Quần
扬名立万	Dương Danh Lập Vạn
名传天下	Danh Truyền Thiên Hạ
天纵之才	Thiên Tung Chi Tài
名震天下	Danh Chấn Thiên Hạ
傲视群雄	Ngạo Thị Quần Hùng
喜迎羊年	Hỉ Nghênh Dương Niên
羊年行大运	Dương niên đại vận
童渊轻松得	Đổng Uyên khinh tùng
充值回馈	Nạp Hồi Quỹ
积分转转轮	Vòng Quay Điểm
多倍送豪礼	Tặng Quà Hấp Dẫn
开心充值	Nạp Vui Vẻ
大奖送不停	Tặng Thần Tướng
全民福利	Phúc Lợi Toàn Dân
1人消费全服领奖	1 người tiêu, tất cả nhận thưởng
福利多多领不停	Phúc lợi rất nhiều
七天乐	7 Ngày Vui
充值乐翻天 	Nạp Thẻ Vui Vẻ
可获得神将左慈	Nhận Thần Tướng Tả Từ
幸运翻牌	Hạnh Vận Phiên Bài
你是我的小卡牌	Rút bài liên tục
怎么抽你都不嫌多	Nhận quà liền tay
每日签到	Điểm Danh Hằng Ngày
每天进行签到	Điểm danh hằng ngày
可获得丰厚奖励	Nhận thưởng phong phú
充值豪礼	Nạp Hào Lễ
神秘豪礼大放送	Hào lễ đại phát
顶级武将轻松得	Đỉnh cấp Võ Tướng
充值嘉年华	Lễ Hội Nạp
充值领好礼	Nạp đầu mỗi ngày
持续乐不停	Nhận thưởng đầy túi
行军粮仓	Kho Lương
行军打仗	Hành quân đánh trận
粮草发放	Cấp phát lương thảo
感恩回馈	Cảm Ân Hồi Quỹ
累计消费越多	Tích lũy tiêu phí
获得奖励越丰富	Phần thưởng to lớn
挑战重楼	Khiêu Chiến Trọng Lâu
验证自身实力	Kiểm chứng thực lực
获得高级宝石	Nhân Ngọc cao cấp
保护献帝	Bảo vệ Hiến Đế
誓死救主护驾	Thề chết hộ giá
获得丰厚奖励	Nhận thưởng vua ban
西域通商	Tây Vực Thông Thương
行动力上限越高	Đi buôn khắp nơi
产出宝石越多	Nhận được nhiều Ngọc
幸运轮盘	Hạnh Vận Luân Bàn
无限好礼	Hảo lễ vô hạn
活动时间11—12号	Tg sự kiện 11-12
卡牌大师	Thẻ bài đại sư
一骑当千	Nhất Kỵ Đương Thiên
排兵布阵来闯关	Bày binh bố trận
获得神将碎片	Nhận Mảnh Phong Thần
命运之轮	Vận Mệnh Chi Luân
转动命运轮盘	Hạnh vận luân bàn
获得士气宝石	Nhận Ngọc Sĩ Khí
琳琅店铺	Tiệm Tiền Cổ
完成每日订单	Hoàn thành nhiệm vụ
获得粮草和古币	Nhận tiền cổ, lúa
世界boss	BOSS
挑战世界boss	Khiêu chiến BOSS
尽心尽责守卫矿场	Tận tâm thủ vệ Bãi Khoáng
除暴安良惊喜连连	Trừ bạo an dân bất ngờ liên tục
