编号	奖励1	奖励2	奖励翻倍所需VIP等级	TIPS显示类型（0=不显示，1=普通物品，2=宝箱类）	宝箱类TIPS显示调用道具	是否显示特效
Id	Award1	Award2	VipLevel	Displayable	Tips	Eff
1	material.26:5		0	1		0
2	user.cash:100		1	1		0
3	card.102:1		0	1	material.9901:1	1
4	material.19:10		2	1		0
5	gem.103:1		0	1		0
6	material.22:5		0	1		0
7	card.94:1		3	1		1
8	material.82:1		4	1		0
9	user.cash:120		0	1		0
10	material.26:10		0	1		0
11	material.19:15		0	1		0
12	gem.103:2		5	1		0
13	material.22:10		0	1		0
14	card.96:1		6	1		1
15	material.82:2		0	1		0
16	user.cash:150		0	1		0
17	material.26:20		7	1		0
18	material.19:20		0	1	material.9902:1	0
19	gem.104:1		0	1		0
20	material.23:5		8	1		0
21	card.99:1		9	1		1
22	material.82:3		0	1		0
23	user.cash:180		0	1		0
24	material.26:30		0	1		0
25	material.19:30		0	1		0
26	gem.105:1		10	1		0
27	material.23:10		0	1		0
28	card.98:1		11	1	material.9903:1	1
29	material.82:4		12	1		0
30	user.cash:200		0	1		0
