编号	布阵类型	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8
Id	Type	Boss	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8
1	1	91111	93301	92301		91111		93501	94301	95301	93501
2	1	91111	91301	92301	93301	91111	92301		95301	92301	
3	1	91111	92301	92501	91301		91111	92301		93501	93301
4	1	91111		91301	93501		91111	93501	95301	93301	93501
5	1	91311	91311	91301		95301	94301		95101	94301	93301
6	1	91311	91311	91301		94501	95301		95301	94301	92301
7	1	91311	91301	91311	92501		93501	93501		93501	93501
8	1	91311		91311	93301	91301	92301		95301	92301	93301
9	1	91311	91301	93101	91311		94501	95301	95101		95301
10	1	91311	91301	92301	91311	92301		93301		95301	93301
11	1	91311	91501		93301	91311	92301	92301	95301	94301	
12	1	91311	93301	92301		91311	92301		95301	92301	91301
13	1	91311		92501	93301	91301	91311		92301	95301	92301
14	1	91311	91301	92301		92301	91311	93101		95301	94501
15	1	91511	91511	91301		95501		93301	94301	92301	94301
16	1	91511		91511	93501	91301	94501	93501	95101	95301	
17	1	91511			91511	91301	91301	92301	92301	93301	95301
18	1	91511	91301		94501	91511	92301		95301	93301	94301
19	1	91511		91301	93501	93301	91511		94301	95301	94501
20	2	93111	91501	91301	91301	93111	92301		94501		95301
21	2	93111	91301	93301		92301	93111		94301	95301	95501
22	2	93311	93311	93501		94501	94301	92301	95301	94301	
23	2	93311	93311		93301	93501	91301		94501	92301	94301
24	2	93311	91301	93311			95101	93301	94301	95301	92301
25	2	93311	95501	93311	92301	95501	95301			93301	95101
26	2	93311	92301	91301	93311		93301	92301	94301		92301
27	2	93311	91301		93311	95501	93301	93301		94301	93301
28	2	93311	91301		91301	93311	93301	92301	95501		95301
29	2	93311		93301	92301	93311	93301		95101	94301	93301
30	2	93311		93301	93301	93301	93311	93301	93301	93301	
31	2	93311	91301		92301	95301	93311		93301	94501	93301
32	2	93311		91301	92301		92301	93311	95501	94301	95301
33	2	93311	92301	93301		95501	94501	93311		93501	93501
34	2	93511	93511			95301	92301	95301	93501	93301	94501
35	2	93511	93511	93301		95501	93301	92301	95301	94301	
36	2	93511		93511	92301	91301	93501	94501	95301	93501	
37	2	93511		93301	93511	92301	93301	95301		94301	94501
38	2	93511	91301	91301	92301	93511	93301		95301	93301	
39	2	93511	92301	93301	94301	93511	93501	94301	95301		
40	2	93511	93301	91301		95301	93511	93501	92301		93301
41	3	92111	92111	91301		95101	92301	93301	94101		92301
42	3	92111	95501	92111	93301	92301	94101	92301		92301	
43	3	92111	92501		92111	93501		95301	93501	92301	95101
44	3	92111	91301		92101	92111	92301		94101	92301	94101
45	3	92111		92501	93301	92301	92111	93301		93301	94301
46	3	92111	93301	91301		94101		92111	95301	92301	94501
47	3	92311	92311	91301		94501	91301	92301	95301		92301
48	3	92311	92311	91301	93301	95101	93301			94301	92301
49	3	92311	95501	92311	92301	95301	93301		94301		92301
50	3	92311		92311	91301	95301	94501	92301	92301	93301	
51	3	92311	93301	91301	92311	94501		92301	95301	92301	
52	3	92311	92301	92301	92311		92301	94501	92301		95301
53	3	92311	93101	91301		92311	93501	92301	95301	93501	
54	3	92311	92301	91501		92311	93301		94301	94301	91301
55	3	92311	92101	92501	92301	92301	92311			92301	92301
56	3	92311	91301		92301	95501	92311		92301	95301	94301
57	3	92311		91301		92301	93301	92311	92301	94301	94301
58	3	92311	91301	93301		95501	92301	92311	94101		95301
59	3	92511	92511	91301		95501	94101	92301	95301	94301	
60	3	92511	91301	92511	92301		93501	94301	94301	93501	
61	3	92511		91301	92511	91301	94501	93301	95301		93301
62	4	95111		93501	95111	93501	93501	95301		94301	94301
63	4	95111	91301	91301		95111	93301		95301	94301	92301
64	4	95111		93301	93301	92301	95111	94101	92301		94301
65	4	95311	95311			94501	93301	91301	94101	93301	92301
66	4	95311	91301	92501		95311	93301	95501	95101		94301
67	4	95311		93501	93301	91301	95311		94301	95101	94301
68	4	95311	93301	93301		92301	95101	95311	94301		93501
69	4	95511	95511	93301		95301	93301	92301	94301	94301	
70	4	95511	92301	91301	95511	93301	93301		95301		94501
71	4	95511	93301		92301	95511	91301	95101	94301	93301	
72	5	94311	95501		94311	95501	93301	94301	94301		94301
73	5	94311	95501	93301		94311		92301	94501	95301	94301
74	5	94311	93301	91301		94311	94101		95301	94301	92301
75	5	94311		91301	91301	93301	94311		92301	95301	94301
76	5	94311	91301	93301		95301	94311	92301		94301	94101
77	5	94311	93301			92301	91301	94311	95301	94301	94301
78	5	94311	91301	92301		95501	93301	94311		94301	94301
79	5	94511	91301	93301	94511		93301		94101	94301	95301
80	5	94511	93301			94511	91301	95301	94301	94501	92301
81	5	94511	91301	93301	92301	94501	94511	94301	94301		
82	5	94511	92301	91301			92301	94511	94301	93301	93501
83	6	91121	93301	92301		91121		93501	94301	95301	93501
84	6	91121	91301	92301	93301	91121	92301		95301	92301	
85	6	91121	92301	92501	91301		91121	92301		93501	93301
86	6	91121		91301	93501		91121	93501	95301	93301	93501
87	6	91321	91321	91301		95301	94301		95101	94301	93301
88	6	91321	91321	91301		94501	95301		95301	94301	92301
89	6	91321	91301	91321	92501		93501	93501		93501	93501
90	6	91321		91321	93301	91301	92301		95301	92301	93301
91	6	91321	91301	93101	91321		94501	95301	95101		95301
92	6	91321	91301	92301	91321	92301		93301		95301	93301
93	6	91321	91501		93301	91321	92301	92301	95301	94301	
94	6	91321	93301	92301		91321	92301		95301	92301	91301
95	6	91321		92501	93301	91301	91321		92301	95301	92301
96	6	91321	91301	92301		92301	91321	93101		95301	94501
97	6	91521	91521	91301		95501		93301	94301	92301	94301
98	6	91521		91521	93501	91301	94501	93501	95101	95301	
99	6	91521			91521	91301	91301	92301	92301	93301	95301
100	6	91521	91301		94501	91521	92301		95301	93301	94301
101	6	91521		91301	93501	93301	91521		94301	95301	94501
102	7	94321	95501		94321	95501	93301	94301	94301		94301
103	7	94321	95501	93301		94321		92301	94501	95301	94301
104	7	94321	93301	91301		94321	94101		95301	94301	92301
105	7	94321		91301	91301	93301	94321		92301	95301	94301
106	7	94321	91301	93301		95301	94321	92301		94301	94101
107	7	94321	93301			92301	91301	94321	95301	94301	94301
108	7	94321	91301	92301		95501	93301	94321		94301	94301
109	7	94521	91301	93301	94521		93301		94101	94301	95301
110	7	94521	93301			94521	91301	95301	94301	94501	92301
111	7	94521	91301	93301	92301	94501	94521	94301	94301		
112	7	94521	92301	91301			92301	94521	94301	93301	93501
113	8	92121	92121	91301		95101	92301	93301	94101		92301
114	8	92121	95501	92121	93301	92301	94101	92301		92301	
115	8	92121	92501		92121	93501		95301	93501	92301	95101
116	8	92121	91301		92101	92121	92301		94101	92301	94101
