等级	标题	内容	小提示	新手引导步数	武将素材
Level	Title	Content	Tips	Step	Url
1	开放内容	出征开启;出城杀敌	出城与敌军战斗时会消耗一定的粮食！		hero/diaochan.png
2	开放内容	武将信息开启;穿戴装备	每个武将可穿戴3件装备哦！		hero/hongyan.png
3	开放内容	5级开启铁匠铺;装备可进行强化	强化的装备威力无穷。		hero/luoshen.png
5	开放内容	铁匠铺开启;装备可进行强化	强化的装备威力无穷。		hero/xiaoqiao.png
6	开放内容	招贤馆、布阵开启;招募武将、武将上阵	积攒足够的将魂，可以兑换极品武将！		hero/zhenji.png
10	开放内容	打造开启;装备可进行打造	打造时放入“幸运宝石”可提升成功几率。	113	hero/hongyan.png
11	开放内容	12级开启成就;完成成就领取元宝	累积完成成就可领取丰厚奖励哦！		hero/luoshen.png
12	开放内容	成就开启;完成成就领取元宝	累积完成成就可领取丰厚奖励哦！	114	hero/daqiao.png
13	开放内容	14级开启消息功能;可查看新消息	单个武将可同时享用所有训练位，给力吧！		hero/xiaoqiao.png
14	开放内容	消息开启;查看新消息	单个武将可同时享用所有训练位，给力吧！		hero/zhenji.png
15	开放内容	残卷抢夺开启;抢夺残卷合成技能书	抢夺残卷越多合成技能书就越多哦！	117	hero/daqiao.png
16	开放内容	17级训练馆开启;武将可训练升级	单个武将可同时享用所有训练位，给力吧！	134	hero/huangyueying.png
17	开放内容	训练馆开启;武将可训练升级	单个武将可同时享用所有训练位，给力吧！	122	hero/diaochan.png
18	开放内容	扫荡开启;副本扫荡	扫荡可获得大量的军功。		hero/hongyan.png
19	开放内容	20级开启擂台挑战;争夺擂台霸主	擂台排名越高，领取的奖励越多哦！		hero/xiaoqiao.png
20	开放内容	擂台开启;擂台挑战	擂台排名越高，领取的奖励越多哦！	115	hero/daqiao.png
21	开放内容	军团开启;加入军团参与活动	创建军团开始您雄霸天下之旅吧	124	hero/huangyueying.png
22	开放内容	活跃度开启;领取活跃宝箱	达到对应的活跃值都有宝箱等着你开启哦！		hero/zhenji.png
23	开放内容	千重楼开启;挑战千重楼	千重楼可以获得大量进阶兵符和技能书。	128	hero/sunshangxiang.png
24	开放内容	金矿开启;占领金矿获得金币	占领或掠夺其他玩家的金矿可获得大量金币！	119	hero/luoshen.png
25	开放内容	武将培养开启;武将可进行培养	成长值大幅度影响武将的基础属性。	120	hero/diaochan.png
26	开放内容	武将进阶开启;武将觉醒开启	华丽的转身伴随着实力的提升。	126	hero/hongyan.png
27	开放内容	世界BOSS开启;获取神将碎片，技能书	收集神将碎片觉醒武将提升大量战斗力		hero/xiaoqiao.png
28	开放内容	29级开启西域通商;镖局前进	镖局前进可获得大量的宝石哦！		hero/luoshen.png
29	开放内容	西域通商;镖局前进	镖局前进可获得大量的宝石哦！		hero/xiaoqiao.png
30	开放内容	31级开启镶嵌;装备可镶嵌宝石	只有镶嵌宝石的装备才是真正的装备！		hero/zhenji.png
