编号	等级限制	品质	权重	需求材料1	需求材料2	奖励1	奖励2	名称	装备图纸产出关卡ID	开启提示
Id	LevelLimit	Quantity	Weight	Award1	Award2	Award3	Award4	Name	DropId	Hint
1	30	blue	1	user.gold:-20000	pawngoods.1:-4	user.food:200	user.coin:16	江湖刀客	3001	司州英雄祭坛尚未解锁
2	30	purple	1	user.gold:-35000	pawngoods.2:-5	user.food:400	user.coin:24	马贼	3001	司州英雄祭坛尚未解锁
3	30	orange	1	user.gold:-50000	pawngoods.3:-6	user.food:600	user.coin:32	流寇	3001	司州英雄祭坛尚未解锁
4	38	blue	1	user.gold:-20000	pawngoods.1:-4	user.food:200	user.coin:16	黄巾军	4001	青州英雄祭坛尚未解锁
5	38	blue	1	user.gold:-20000	pawngoods.2:-4	user.food:200	user.coin:16	半路恶霸	4001	青州英雄祭坛尚未解锁
6	38	purple	1	user.gold:-35000	pawngoods.3:-5	user.food:400	user.coin:24	黑山军	4001	青州英雄祭坛尚未解锁
7	38	purple	1	user.gold:-35000	pawngoods.4:-5	user.food:400	user.coin:24	流寇	4001	青州英雄祭坛尚未解锁
8	38	orange	1	user.gold:-50000	pawngoods.5:-6	user.food:600	user.coin:32	西凉骑兵	4001	青州英雄祭坛尚未解锁
9	38	orange	1	user.gold:-50000	pawngoods.6:-6	user.food:600	user.coin:32	流浪刀客	4001	青州英雄祭坛尚未解锁
10	40	blue	1	user.gold:-20000	pawngoods.1:-4	user.food:200	user.coin:16	马贼	5001	豫州英雄祭坛尚未解锁
11	40	blue	1	user.gold:-20000	pawngoods.2:-4	user.food:200	user.coin:16	山贼	5001	豫州英雄祭坛尚未解锁
12	40	blue	1	user.gold:-20000	pawngoods.3:-4	user.food:200	user.coin:16	黑山军	5001	豫州英雄祭坛尚未解锁
13	40	purple	1	user.gold:-35000	pawngoods.2:-5	user.food:400	user.coin:24	半路恶霸	5001	豫州英雄祭坛尚未解锁
14	40	purple	1	user.gold:-35000	pawngoods.4:-5	user.food:400	user.coin:24	江湖刀客	5001	豫州英雄祭坛尚未解锁
15	40	purple	1	user.gold:-35000	pawngoods.6:-5	user.food:400	user.coin:24	流浪刀客	5001	豫州英雄祭坛尚未解锁
16	40	orange	1	user.gold:-50000	pawngoods.4:-6	user.food:600	user.coin:32	流寇	5001	豫州英雄祭坛尚未解锁
17	40	orange	1	user.gold:-50000	pawngoods.5:-6	user.food:600	user.coin:32	林中大盗	5001	豫州英雄祭坛尚未解锁
18	40	orange	1	user.gold:-50000	pawngoods.6:-6	user.food:600	user.coin:32	劫匪	5001	豫州英雄祭坛尚未解锁
19	50	blue	1	user.gold:-20000	pawngoods.1:-4	user.food:200	user.coin:16	黄巾军	6001	幽州英雄祭坛尚未解锁
20	50	blue	1	user.gold:-20000	pawngoods.2:-4	user.food:200	user.coin:16	半路恶霸	6001	幽州英雄祭坛尚未解锁
21	50	blue	1	user.gold:-20000	pawngoods.3:-4	user.food:200	user.coin:16	混世痞子	6001	幽州英雄祭坛尚未解锁
22	50	blue	1	user.gold:-20000	pawngoods.4:-4	user.food:200	user.coin:16	江湖刀客	6001	幽州英雄祭坛尚未解锁
23	50	purple	1	user.gold:-35000	pawngoods.3:-5	user.food:400	user.coin:24	黑山军	6001	幽州英雄祭坛尚未解锁
24	50	purple	1	user.gold:-35000	pawngoods.4:-5	user.food:400	user.coin:24	流寇	6001	幽州英雄祭坛尚未解锁
25	50	purple	1	user.gold:-35000	pawngoods.5:-5	user.food:400	user.coin:24	林中大盗	6001	幽州英雄祭坛尚未解锁
26	50	purple	1	user.gold:-35000	pawngoods.6:-5	user.food:400	user.coin:24	劫匪	6001	幽州英雄祭坛尚未解锁
27	50	orange	1	user.gold:-50000	pawngoods.1:-6	user.food:600	user.coin:32	黄巾军	6001	幽州英雄祭坛尚未解锁
28	50	orange	1	user.gold:-50000	pawngoods.3:-6	user.food:600	user.coin:32	混世痞子	6001	幽州英雄祭坛尚未解锁
29	50	orange	1	user.gold:-50000	pawngoods.5:-6	user.food:600	user.coin:32	西凉骑兵	6001	幽州英雄祭坛尚未解锁
30	50	orange	1	user.gold:-50000	pawngoods.6:-6	user.food:600	user.coin:32	流浪刀客	6001	幽州英雄祭坛尚未解锁
31	55	blue	1	user.gold:-20000	pawngoods.1:-4	user.food:200	user.coin:16	马贼	6002	幽州英雄祭坛尚未解锁
32	55	blue	1	user.gold:-20000	pawngoods.2:-4	user.food:200	user.coin:16	山贼	6002	幽州英雄祭坛尚未解锁
33	55	blue	1	user.gold:-20000	pawngoods.3:-4	user.food:200	user.coin:16	黑山军	6002	幽州英雄祭坛尚未解锁
34	55	blue	1	user.gold:-20000	pawngoods.4:-4	user.food:200	user.coin:16	流寇	6002	幽州英雄祭坛尚未解锁
35	55	blue	1	user.gold:-20000	pawngoods.5:-4	user.food:200	user.coin:16	林中大盗	6002	幽州英雄祭坛尚未解锁
36	55	blue	1	user.gold:-20000	pawngoods.6:-4	user.food:200	user.coin:16	劫匪	6002	幽州英雄祭坛尚未解锁
37	55	purple	1	user.gold:-35000	pawngoods.1:-5	user.food:400	user.coin:24	黄巾军	6002	幽州英雄祭坛尚未解锁
38	55	purple	1	user.gold:-35000	pawngoods.2:-5	user.food:400	user.coin:24	半路恶霸	6002	幽州英雄祭坛尚未解锁
39	55	purple	1	user.gold:-35000	pawngoods.3:-5	user.food:400	user.coin:24	混世痞子	6002	幽州英雄祭坛尚未解锁
40	55	purple	1	user.gold:-35000	pawngoods.4:-5	user.food:400	user.coin:24	江湖刀客	6002	幽州英雄祭坛尚未解锁
41	55	purple	1	user.gold:-35000	pawngoods.5:-5	user.food:400	user.coin:24	西凉骑兵	6002	幽州英雄祭坛尚未解锁
42	55	purple	1	user.gold:-35000	pawngoods.6:-5	user.food:400	user.coin:24	流浪刀客	6002	幽州英雄祭坛尚未解锁
43	55	orange	1	user.gold:-50000	pawngoods.1:-6	user.food:600	user.coin:32	马贼	6002	幽州英雄祭坛尚未解锁
