擂台等级	军功单位时间产量	下一级经验
Level	HonorByTime	Xp
1	100	200
2	120	600
3	150	1200
4	170	2000
5	200	3100
6	220	4400
7	250	6000
8	270	8000
9	300	10600
10	320	13600
11	350	17300
12	370	22000
13	400	27800
14	420	34700
15	450	42600
16	470	51700
17	500	61800
18	520	73000
19	550	85200
20	580	98600
21	600	113000
22	630	128000
23	660	145000
24	690	162000
25	710	181000
26	740	201000
27	770	222000
28	800	244000
29	830	267000
30	860	291000
31	880	316000
32	900	343000
33	930	370000
34	950	399000
35	980	428000
36	1010	459000
37	1030	490000
38	1060	523000
39	1090	557000
40	1110	592000
41	1140	628000
42	1170	665000
43	1200	703000
44	1230	742000
45	1260	783000
46	1290	824000
47	1320	867000
48	1350	910000
49	1380	955000
50	1410	1000000
