编号	名字	品质	兵种	初始血量(废弃)	血量成长(废弃)	战斗力	初始攻击	攻击成长	初始防御	防御成长	初始法术防御	法术防御成长	初始格挡等级	初始刚毅等级	初始命中等级	初始破招等级	初始暴击等级	初始闪避等级	武将成长	武将素材	阵营(魏1、蜀2、吴3、群4)	分期(1、2、3)	获取方式（1招贤馆、2副本、3活动、4兑换）	拆解将魂数量	兑换需要将魂	炼魂经验	是否开启实体化	实体化素材id
Id	Name	Quantity	Soldier	Health	HealthGrouth	FightForce	Attack	AttackGrouth	Defence	DefenceGrouth	MagicDefence	MagicDefenceGrouth	Block	Fortitude	Hit	Unblock	Critdamage	Miss	Grouth	Url	Camp	Period	ReceiveMode	RoleToSoul	RoleRecallSoul	CardSoulExp	God	GodUrl
1	王双	blue	1	500	0	950	152	38	140	35	108	27	40	40	0	0	0	0	20	hero/huaxiong_big.png	1	1	1	5	0	33	0	
2	乐进	blue	1	500	0	950	168	42	128	32	104	26	40	40	0	0	0	0	20	hero/lingtong_big.png	1	1	1	5	0	33	0	
3	李典	blue	1	500	0	950	168	42	140	35	92	23	40	40	0	0	0	0	20	hero/luxun_big.png	1	1	1	5	0	33	0	
4	臧霸	blue	1	500	0	950	148	37	152	38	100	25	40	40	0	0	0	0	20	hero/dianwei_big.png	3	1	1	5	0	33	0	
5	纪灵	blue	1	500	0	950	172	43	148	37	80	20	40	40	0	0	0	0	20	hero/xiahouyuan_big.png	4	1	1	5	0	33	0	
6	夏侯霸	blue	1	500	0	950	164	41	132	33	104	26	40	40	0	0	0	0	20	hero/xiahouyuan_big.png	1	1	1	5	0	33	0	
7	严颜	blue	1	500	0	950	172	43	128	32	100	25	40	40	0	0	0	0	20	hero/yanliang_big.png	1	1	1	5	0	33	0	
8	关兴	blue	1	500	0	950	160	40	152	38	88	22	40	40	0	0	0	0	20	hero/lingtong_big.png	1	1	1	5	0	33	0	
114	韩当	blue	1	500	0	950	148	37	128	32	124	31	40	40	0	0	0	0	20	hero/dengai_big.png	3	1	1	5	0	33	0	
9	程普	blue	2	500	0	950	188	47	72	18	140	35	0	0	40	0	40	0	20	hero/qiang_big.png	1	1	1	5	0	33	0	
10	吕翔	blue	2	500	0	950	176	44	80	20	144	36	0	0	40	0	40	0	20	hero/qiang_big.png	2	1	1	5	0	33	0	
11	潘凤	blue	2	500	0	950	176	44	84	21	140	35	0	0	40	0	40	0	20	hero/jiangwei_big.png	4	1	1	5	0	33	0	
12	张绣	blue	2	500	0	950	180	45	76	19	144	36	0	0	40	0	40	0	20	hero/lingtong_big.png	4	1	1	5	0	33	0	
