等级	累计升级经验	刀兵血量	枪兵血量	骑兵血量	谋士血量	红颜血量	武将传承消耗金币
Level	Xp	Soldier1	Soldier2	Soldier3	Soldier4	Soldier5	RoleInheritCost
1	60	500	500	500	500	500	10000
2	140	550	550	550	530	540	10000
3	240	600	600	600	560	580	20000
4	360	650	650	650	590	620	20000
5	600	700	700	700	620	660	30000
6	880	750	750	750	650	700	30000
7	1200	800	800	800	680	740	40000
8	1500	850	850	850	710	780	40000
9	1900	900	900	900	740	820	50000
10	2400	950	950	950	770	860	50000
11	3200	1000	1000	1000	800	900	60000
12	4000	1050	1050	1050	830	940	60000
13	5000	1100	1100	1100	860	980	70000
14	6400	1150	1150	1150	890	1020	70000
15	6000	1200	1200	1200	920	1060	80000
16	7620	1250	1250	1250	950	1100	80000
17	9690	1300	1300	1300	980	1140	90000
18	12210	1350	1350	1350	1010	1180	90000
19	15300	1400	1400	1400	1040	1220	100000
20	18750	1450	1450	1450	1070	1260	100000
21	22800	1550	1550	1550	1130	1340	110000
22	30900	1650	1650	1650	1190	1420	110000
23	40350	1750	1750	1750	1250	1500	120000
24	51000	1850	1850	1850	1310	1580	120000
25	63000	1950	1950	1950	1370	1660	130000
26	76500	2050	2050	2050	1430	1740	130000
27	91500	2150	2150	2150	1490	1820	140000
28	108150	2250	2250	2250	1550	1900	140000
29	126300	2350	2350	2350	1610	1980	150000
30	146250	2450	2450	2450	1670	2060	150000
31	168750	2550	2550	2550	1730	2140	160000
32	194100	2650	2650	2650	1790	2220	160000
33	222150	2750	2750	2750	1850	2300	170000
34	253350	2850	2850	2850	1910	2380	170000
35	287550	2950	2950	2950	1970	2460	180000
36	324750	3050	3050	3050	2030	2540	180000
37	365400	3150	3150	3150	2090	2620	190000
38	409200	3250	3250	3250	2150	2700	190000
39	456450	3350	3350	3350	2210	2780	200000
40	507300	3450	3450	3450	2270	2860	200000
41	564600	3550	3550	3550	2330	2940	210000
42	628500	3650	3650	3650	2390	3020	210000
43	699300	3750	3750	3750	2450	3100	220000
44	777150	3850	3850	3850	2510	3180	220000
45	862200	3950	3950	3950	2570	3260	230000
46	954600	4050	4050	4050	2630	3340	230000
47	1054650	4150	4150	4150	2690	3420	240000
48	1162350	4250	4250	4250	2750	3500	240000
49	1277850	4350	4350	4350	2810	3580	250000
50	1401600	4450	4450	4450	2870	3660	250000
51	1540500	4550	4550	4550	2930	3740	260000
52	1695150	4650	4650	4650	2990	3820	260000
53	1865700	4750	4750	4750	3050	3900	270000
54	2052600	4850	4850	4850	3110	3980	270000
55	2256150	4950	4950	4950	3170	4060	280000
56	2476800	5050	5050	5050	3230	4140	280000
57	2714550	5150	5150	5150	3290	4220	290000
58	2970000	5250	5250	5250	3350	4300	290000
59	3243150	5350	5350	5350	3410	4380	300000
60	3534750	5450	5450	5450	3470	4460	300000
61	3846000	5550	5550	5550	3530	4540	310000
62	4177500	5650	5650	5650	3590	4620	310000
63	4529550	5750	5750	5750	3650	4700	320000
64	4902450	5850	5850	5850	3710	4780	320000
65	5296350	5950	5950	5950	3770	4860	330000
66	5711550	6050	6050	6050	3830	4940	330000
67	6148500	6150	6150	6150	3890	5020	340000
68	6607350	6250	6250	6250	3950	5100	340000
69	7088250	6350	6350	6350	4010	5180	350000
70	7591650	6450	6450	6450	4070	5260	350000
71	8119500	6550	6550	6550	4130	5340	360000
72	8672250	6650	6650	6650	4190	5420	360000
73	9249900	6750	6750	6750	4250	5500	370000
74	9852900	6850	6850	6850	4310	5580	370000
75	10481400	6950	6950	6950	4370	5660	380000
76	11135700	7050	7050	7050	4430	5740	380000
77	11815950	7150	7150	7150	4490	5820	390000
78	12522450	7250	7250	7250	4550	5900	390000
79	13255350	7350	7350	7350	4610	5980	400000
80	14014800	7450	7450	7450	4670	6060	400000
