编号	有缘马ID	有缘马匹加成	马鞭缘分等级	马鞭额外加成属性数值	马鞍缘分等级	马鞍额外加成属性数值
Rid	Horse1	Attribute1	Horse2	Attribute2	Horse3	Attribute3
1	1	attack:200	10	defence:200	10	mdefence:200
2	2	attack:200	10	defence:200	10	mdefence:200
3	3	attack:200	10	defence:200	10	mdefence:200
4	4	attack:200	10	defence:200	10	mdefence:200
5	5	attack:200	10	defence:200	10	mdefence:200
6	6	attack:200	10	defence:200	10	mdefence:200
7	7	attack:200	10	defence:200	10	mdefence:200
8	8	attack:200	10	defence:200	10	mdefence:200
114	9	attack:200	10	defence:200	10	mdefence:200
9	10	attack:200	10	defence:200	10	mdefence:200
10	11	attack:200	10	defence:200	10	mdefence:200
11	12	attack:200	10	defence:200	10	mdefence:200
12	13	attack:200	10	defence:200	10	mdefence:200
13	14	attack:200	10	defence:200	10	mdefence:200
14	15	attack:200	10	defence:200	10	mdefence:200
15	16	attack:200	10	defence:200	10	mdefence:200
115	17	attack:200	10	defence:200	10	mdefence:200
116	18	attack:200	10	defence:200	10	mdefence:200
16	19	attack:200	10	defence:200	10	mdefence:200
17	20	attack:200	10	defence:200	10	mdefence:200
18	21	attack:200	10	defence:200	10	mdefence:200
19	22	attack:200	10	defence:200	10	mdefence:200
20	23	attack:200	10	defence:200	10	mdefence:200
21	24	attack:200	10	defence:200	10	mdefence:200
22	25	attack:200	10	defence:200	10	mdefence:200
23	26	attack:200	10	defence:200	10	mdefence:200
24	27	attack:200	10	defence:200	10	mdefence:200
25	28	attack:200	10	defence:200	10	mdefence:200
26	29	attack:200	10	defence:200	10	mdefence:200
27	30	attack:200	10	defence:200	10	mdefence:200
28	31	attack:200	10	defence:200	10	mdefence:200
29	32	attack:200	10	defence:200	10	mdefence:200
30	33	attack:200	10	defence:200	10	mdefence:200
32	34	attack:200	10	defence:200	10	mdefence:200
33	35	attack:200	10	defence:200	10	mdefence:200
117	36	attack:200	10	defence:200	10	mdefence:200
34	37	attack:200	10	defence:200	10	mdefence:200
35	38	attack:200	10	defence:200	10	mdefence:200
36	39	attack:200	10	defence:200	10	mdefence:200
37	40	attack:200	10	defence:200	10	mdefence:200
38	41	attack:200	10	defence:200	10	mdefence:200
39	42	attack:200	10	defence:200	10	mdefence:200
40	18	attack:200	10	defence:200	10	mdefence:200
42	19	attack:200	10	defence:200	10	mdefence:200
118	20	attack:200	10	defence:200	10	mdefence:200
43	21	attack:200	10	defence:200	10	mdefence:200
44	22	attack:200	10	defence:200	10	mdefence:200
