编号	名称	引导员资源全路径	全屏界面资源路径
Id	name	res	adres
1	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/1.jpg
2	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/2.jpg
3	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/3.jpg
4	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/4.jpg
5	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/5.jpg
6	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/6.jpg
7	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/7.jpg
8	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/8.jpg
9	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/9.jpg
10	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/10.jpg
11	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/11.jpg
12	小婵	uires/ui_2nd/com/panel/playerguide/diaochan.png	uires/ui_2nd/image/ad/12.jpg
