商品ID	商品	权重	数量	价格
Id	Award1	Weight	Count	Price
1	material.82:1	50	3	10
2	gem.903:1	50	3	19
3	card.93:1	10	1	160
4	card.94:1	10	1	160
5	card.95:1	10	1	160
6	card.96:1	10	1	160
7	card.97:1	10	1	160
8	card.98:1	10	1	160
9	card.99:1	10	1	160
10	card.100:1	10	1	160
11	card.101:1	10	1	160
12	card.102:1	10	1	160
13	card.103:1	10	1	160
14	material.103:8	10	3	80
15	material.102:8	10	3	80
16	material.107:8	10	3	80
17	material.26:20	10	3	24
18	material.19:50	10	3	30
19	material.3203:2	10	3	20
