活动编号	编号	等级限制	奖励	权重	货币类型(cash,gold,honor)	购买价格	原价
Key	Id	LevelLimit	Award1	Weight	Currency	Price	PriceText
pawn	1	1	material.19:10	1	cash	50	60
pawn	2	1	material.19:15	1	cash	75	90
pawn	3	1	material.19:20	1	cash	100	120
pawn	4	1	material.26:10	1	cash	90	120
pawn	5	1	material.26:20	1	cash	180	240
pawn	6	1	material.26:50	1	cash	450	600
pawn	7	1	material.21:20	1	cash	34	40
pawn	8	1	material.22:10	1	cash	68	80
pawn	9	1	material.22:20	1	cash	136	160
pawn	10	1	material.23:10	1	cash	272	320
pawn	11	1	material.23:20	1	cash	544	640
pawn	12	1	material.23:40	1	cash	1088	1280
pawn	13	1	material.23:80	1	cash	2176	2560
pawn	14	1	user.soul:1000	1	cash	160	213
pawn	15	1	user.soul:2000	1	cash	320	426
pawn	101	1	user.cash:400	1	cash	300	400
pawn	102	1	user.cash:400	1	cash	300	400
pawn	103	1	user.cash:400	1	cash	300	400
pawn	104	1	user.cash:400	1	cash	300	400
pawn	105	1	user.cash:400	1	cash	300	400
pawn	201	1	user.cash:450	1	cash	350	450
pawn	202	1	user.cash:450	1	cash	350	450
pawn	203	1	user.cash:450	1	cash	350	450
pawn	204	1	user.cash:450	1	cash	350	450
pawn	205	1	user.cash:450	1	cash	350	450
pawn	301	1	user.soul:8000	1	cash	850	1700
pawn	302	1	card.98:1	1	cash	850	1700
pawn	303	1	card.99:1	1	cash	850	1700
pawn	304	1	user.soul:8000	1	cash	900	1700
pawn	305	1	user.soul:8000	1	cash	900	1700
pawn	1101	1	user.cash:400	1	cash	300	400
pawn	1102	1	user.cash:400	1	cash	300	400
pawn	1103	1	user.cash:400	1	cash	300	400
pawn	1104	1	user.cash:400	1	cash	300	400
pawn	1105	1	user.cash:400	1	cash	300	400
pawn	1201	1	user.cash:400	1	cash	300	400
pawn	1202	1	user.cash:450	1	cash	350	450
pawn	1203	1	user.cash:450	1	cash	350	450
pawn	1204	1	user.cash:450	1	cash	350	450
pawn	1205	1	user.cash:450	1	cash	350	450
pawn	1301	1	user.cash:450	1	cash	350	450
pawn	1302	1	card.98:1	1	cash	850	1700
pawn	1303	1	card.99:1	1	cash	850	1700
pawn	1304	1	user.soul:8000	1	cash	850	1700
pawn	1305	1	user.soul:8000	1	cash	850	1700
pawn	2101	1	user.cash:400	1	cash	300	400
pawn	2102	1	user.cash:400	1	cash	300	400
