兵种	技能	升级需要英雄等级	升级需要的资源	技能素材	技能名称	升级2资源	升级3资源	升级4资源	升级5资源	升级6资源	升级7资源	升级8资源	升级9资源	升级10资源	升级11资源	升级12资源	升级13资源	升级14资源	升级15资源	升级16资源	升级17资源	升级18资源	升级19资源	升级20资源	升级21资源	升级22资源	升级23资源	升级24资源	升级25资源	升级26资源	升级27资源	升级28资源	升级29资源	升级30资源	升级31资源	升级32资源	升级33资源	升级34资源	升级35资源	升级36资源	升级37资源	升级38资源	升级39资源	升级40资源	升级41资源	升级42资源	升级43资源	升级44资源	升级45资源	升级46资源	升级47资源	升级48资源	升级49资源	升级50资源	技能动作
Soldier	Skill	RoleLevel	Material	SkillUrl	SkillName	MaterialNum2	MaterialNum3	MaterialNum4	MaterialNum5	MaterialNum6	MaterialNum7	MaterialNum8	MaterialNum9	MaterialNum10	MaterialNum11	MaterialNum12	MaterialNum13	MaterialNum14	MaterialNum15	MaterialNum16	MaterialNum17	MaterialNum18	MaterialNum19	MaterialNum20	MaterialNum21	MaterialNum22	MaterialNum23	MaterialNum24	MaterialNum25	MaterialNum26	MaterialNum27	MaterialNum28	MaterialNum29	MaterialNum30	MaterialNum31	MaterialNum32	MaterialNum33	MaterialNum34	MaterialNum35	MaterialNum36	MaterialNum37	MaterialNum38	MaterialNum39	MaterialNum40	MaterialNum41	MaterialNum42	MaterialNum43	MaterialNum44	MaterialNum45	MaterialNum46	MaterialNum47	MaterialNum48	MaterialNum49	MaterialNum50	SkillAction
1	1	1	19	skill/skill3.png	天怒碎龙斩	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill3
1	2	15	19	skill/skill4.png	以守为攻	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
1	3	25	19	skill/skill5.png	逆转锋芒	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill3
1	4	35	19	skill/skill2.png	固若金汤	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
1	5	45	19	skill/skill1.png	烈焰斩	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
2	1	1	19	skill/skill6.png	银火流星杀	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill1
2	2	15	19	skill/skill7.png	双刃尖锋	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
2	3	25	19	skill/skill8.png	横扫千军	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill3
2	4	35	19	skill/skill9.png	追命之魂	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
2	5	45	19	skill/skill10.png	八绝神龙	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
3	1	1	19	skill/skill11.png	疾风斩	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
3	2	15	19	skill/skill12.png	势如破竹	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
3	3	25	19	skill/skill13.png	狂野践踏	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
3	4	35	19	skill/skill14.png	快马加鞭	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
3	5	45	19	skill/skill15.png	葬日神弓	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill5
4	1	1	19	skill/skill16.png	天雷暴	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
4	2	15	19	skill/skill19.png	锦囊妙计	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
4	3	25	19	skill/skill18.png	半步定江山	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
4	4	35	19	skill/skill17.png	运筹帷幄	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
4	5	45	19	skill/skill20.png	乐不思蜀	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	attack
5	1	1	19	skill/skill25.png	美人计	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill1
5	2	15	19	skill/skill24.png	玉洁冰清	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
5	3	25	19	skill/skill23.png	天女散花	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill1
5	4	35	19	skill/skill22.png	绝代佳人	1	2	3	3	3	5	5	5	5	5	8	8	8	8	8	11	11	11	11	11	14	14	14	14	14	17	17	17	17	17	20	20	20	20	20	23	23	23	23	23	26	26	26	26	26	29	29	29	29	
5	5	45	19	skill/skill21.png	莺歌燕舞	1	3	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30	35	35	35	35	35	40	40	40	40	40	45	45	45	45	45	50	50	50	50	skill1
0	1001	1	19	skill/skill1001.png	猛将无双																																																		
0	1002	1	19	skill/skill1002.png	笑慑三军																																																		
0	1003	1	19	skill/skill1003.png	彼岸芳华																																																		
0	1004	1	19	skill/skill1004.png	武圣追魂																																																		
0	1005	1	19	skill/skill1005.png	白龙逆鳞																																																		
0	1006	1	19	skill/skill1006.png	遁甲幻天																																																		
0	1007	1	19	skill/skill1007.png	妙手回春																																																		
0	1008	1	19	skill/skill1008.png	百鸟朝凤																																																		
