兵种(刀，枪，骑，谋士，红颜)	技能	类型(1:主动，2：被动)	技能等级	技能战斗力系数	技能效果	技能效果参数	技能目标	效果描述	效果持续回合	技能伤害系数	升级Tips	战斗力附加值
Soldier	Skill	Type	Level	FightForceFactor	Effect	Param	IsSelf	Desc	Round	Damage	Tips	ExtraFightForce
1	1	1	1	120	strongatk	0	0	对敌方单体造成120%的伤害，且本方剩余武将越少伤害越高		120	下一级：对目标造成的伤害提高至124%	20
1	1	1	2	124	strongatk	0	0	对敌方单体造成124%的伤害，且本方剩余武将越少伤害越高		124	下一级：对目标造成的伤害提高至128%	40
1	1	1	3	128	strongatk	0	0	对敌方单体造成128%的伤害，且本方剩余武将越少伤害越高		128	下一级：对目标造成的伤害提高至132%	60
1	1	1	4	132	strongatk	0	0	对敌方单体造成132%的伤害，且本方剩余武将越少伤害越高		132	下一级：对目标造成的伤害提高至136%	80
1	1	1	5	136	strongatk	0	0	对敌方单体造成136%的伤害，且本方剩余武将越少伤害越高		136	下一级：对目标造成的伤害提高至140%	100
1	1	1	6	140	strongatk	0	0	对敌方单体造成140%的伤害，且本方剩余武将越少伤害越高		140	下一级：对目标造成的伤害提高至144%	120
1	1	1	7	144	strongatk	0	0	对敌方单体造成144%的伤害，且本方剩余武将越少伤害越高		144	下一级：对目标造成的伤害提高至148%	140
1	1	1	8	148	strongatk	0	0	对敌方单体造成148%的伤害，且本方剩余武将越少伤害越高		148	下一级：对目标造成的伤害提高至152%	160
1	1	1	9	152	strongatk	0	0	对敌方单体造成152%的伤害，且本方剩余武将越少伤害越高		152	下一级：对目标造成的伤害提高至156%	180
1	1	1	10	156	strongatk	0	0	对敌方单体造成156%的伤害，且本方剩余武将越少伤害越高		156	下一级：对目标造成的伤害提高至160%	200
1	1	1	11	160	strongatk	0	0	对敌方单体造成160%的伤害，且本方剩余武将越少伤害越高		160	下一级：对目标造成的伤害提高至164%	220
1	1	1	12	164	strongatk	0	0	对敌方单体造成164%的伤害，且本方剩余武将越少伤害越高		164	下一级：对目标造成的伤害提高至168%	240
