等级	升级累计总经验	攻击	防御	魔防
Level	Xp	Attack	Defence	Mdefence
0	500	0	0	0
1	1500	20	20	20
2	3100	40	40	40
3	5400	60	60	60
4	8000	80	80	80
5	10900	100	100	100
6	14100	140	140	140
7	17600	180	180	180
8	21400	220	220	220
9	25450	260	260	260
10	30500	300	300	300
11	35850	360	360	360
12	41500	420	420	420
13	47450	480	480	480
14	53700	540	540	540
15	60250	600	600	600
16	67100	680	680	680
17	74250	760	760	760
18	81700	840	840	840
19	89450	920	920	920
20	97500	1000	1000	1000
21	105850	1100	1100	1100
22	114500	1200	1200	1200
23	123450	1300	1300	1300
24	132700	1400	1400	1400
25	142250	1500	1500	1500
26	152100	1620	1620	1620
27	162250	1740	1740	1740
28	172700	1860	1860	1860
29	183450	1980	1980	1980
30	194500	2100	2100	2100
31	205850	2240	2240	2240
32	217500	2380	2380	2380
33	229450	2520	2520	2520
34	241700	2660	2660	2660
35	254250	2800	2800	2800
36	267100	2960	2960	2960
37	280250	3120	3120	3120
38	293700	3280	3280	3280
39	307450	3440	3440	3440
40	321500	3600	3600	3600
41	335850	3780	3780	3780
42	350500	3960	3960	3960
43	365450	4140	4140	4140
44	380700	4320	4320	4320
45	396250	4500	4500	4500
46	412100	4700	4700	4700
47	428250	4900	4900	4900
48	444700	5100	5100	5100
49	461450	5300	5300	5300
50	478500	5500	5500	5500
51	495850	5720	5720	5720
52	513500	5940	5940	5940
53	531450	6160	6160	6160
54	549700	6380	6380	6380
55	568250	6600	6600	6600
56	587100	6840	6840	6840
57	606250	7080	7080	7080
58	625700	7320	7320	7320
59	645450	7560	7560	7560
60	665500	7800	7800	7800
61	685850	8060	8060	8060
62	706500	8320	8320	8320
63	727450	8580	8580	8580
64	748700	8840	8840	8840
65	770250	9100	9100	9100
66	792100	9380	9380	9380
67	814250	9660	9660	9660
68	836700	9940	9940	9940
69	859450	10220	10220	10220
70	882500	10500	10500	10500
71	905850	10800	10800	10800
72	929500	11100	11100	11100
73	953450	11400	11400	11400
74	977700	11700	11700	11700
75	1002250	12000	12000	12000
76	1027100	12320	12320	12320
77	1052250	12640	12640	12640
78	1077700	12960	12960	12960
79	1103450	13280	13280	13280
80	1129500	13600	13600	13600
81	1155850	13940	13940	13940
82	1182500	14280	14280	14280
83	1209450	14620	14620	14620
84	1236700	14960	14960	14960
85	1264250	15300	15300	15300
86	1292100	15660	15660	15660
87	1320250	16020	16020	16020
88	1348700	16380	16380	16380
89	1377450	16740	16740	16740
90	1406500	17100	17100	17100
91	1435850	17480	17480	17480
92	1465500	17860	17860	17860
93	1495450	18240	18240	18240
94	1525700	18620	18620	18620
95	1556250	19000	19000	19000
96	1587100	19400	19400	19400
97	1618250	19800	19800	19800
98	1649700	20200	20200	20200
99	1681450	20600	20600	20600
