强化等级	玩家等级需求	强化武器银两花费	强化铠甲银两花费	强化饰品银两花费
Strength	Level	WeaponCost	ArmorCost	AccessoryCost
1	1	15	10	15
2	2	15	10	15
3	3	15	10	15
4	4	16	11	16
5	5	16	11	16
6	6	16	11	16
7	7	16	11	16
8	8	16	11	16
9	9	28	19	28
10	10	28	19	28
11	11	28	19	28
12	12	37	25	37
13	13	37	25	37
14	14	51	34	51
15	15	64	43	64
16	16	130	87	130
17	17	199	133	199
18	18	268	179	268
19	19	340	227	340
20	20	579	386	579
21	21	900	600	900
22	22	1350	900	1350
23	23	2025	1350	2025
24	24	3037	2025	3037
25	25	4556	3037	4556
26	26	6834	4556	6834
27	27	9568	6378	9568
28	28	12438	8292	12438
29	29	15548	10365	15548
30	30	18657	12438	18657
31	31	22389	14926	22389
32	32	26867	17911	26867
33	33	32240	21493	32240
34	34	38688	25792	38688
35	35	42588	28392	42588
36	36	46578	31052	46578
37	37	50658	33772	50658
38	38	54828	36552	54828
39	39	59088	39392	59088
40	40	63438	42292	63438
41	41	67878	45252	67878
42	42	72408	48272	72408
43	43	77028	51352	77028
44	44	81738	54492	81738
45	45	86538	57692	86538
46	46	91428	60952	91428
47	47	96408	64272	96408
48	48	101478	67652	101478
49	49	106638	71092	106638
50	50	123138	82092	123138
51	51	142263	94842	142263
52	52	161763	107842	161763
53	53	181638	121092	181638
54	54	201888	134592	201888
55	55	222513	148342	222513
56	56	243513	162342	243513
57	57	264888	176592	264888
58	58	286638	191092	286638
59	59	308763	205842	308763
60	60	335763	223842	335763
61	61	358638	239092	358638
62	62	381888	254592	381888
63	63	400788	267192	400788
64	64	419988	279992	419988
65	65	439488	292992	439488
66	66	459288	306192	459288
67	67	479388	319592	479388
68	68	499788	333192	499788
69	69	520488	346992	520488
70	70	557238	371492	557238
71	71	594513	396342	594513
72	72	632313	421542	632313
73	73	670638	447092	670638
74	74	709488	472992	709488
75	75	748863	499242	748863
76	76	788763	525842	788763
77	77	829188	552792	829188
78	78	870138	580092	870138
79	79	911613	607742	911613
80	80	953613	635742	953613
81	81	996138	664092	996138
82	82	1039188	692792	1039188
83	83	1082763	721842	1082763
84	84	1126863	751242	1126863
85	85	1171488	780992	1171488
86	86	1216638	811092	1216638
87	87	1262313	841542	1262313
88	88	1308513	872342	1308513
89	89	1355238	903492	1355238
90	90	1368738	912492	1368738
91	91	1428798	952532	1428798
92	92	1489518	993012	1489518
93	93	1550898	1033932	1550898
94	94	1612938	1075292	1612938
95	95	1675638	1117092	1675638
96	96	1738998	1159332	1738998
97	97	1803018	1202012	1803018
98	98	1867698	1245132	1867698
99	99	1933038	1288692	1933038
100	100	1999038	1332692	1999038
101	101	2065698	1377132	2065698
102	102	2133018	1422012	2133018
103	103	2200998	1467332	2200998
104	104	2269638	1513092	2269638
105	105	2338938	1559292	2338938
106	106	2408898	1605932	2408898
107	107	2479518	1653012	2479518
108	108	2550798	1700532	2550798
109	109	2622738	1748492	2622738
110	110	2695338	1796892	2695338
111	111	2768598	1845732	2768598
112	112	2842518	1895012	2842518
113	113	2917098	1944732	2917098
114	114	2992338	1994892	2992338
115	115	3068238	2045492	3068238
116	116	3144798	2096532	3144798
117	117	3222018	2148012	3222018
118	118	3299898	2199932	3299898
119	119	3378438	2252292	3378438
120	120	3457638	2305092	3457638
