等级	期望装备打造等级	期望宝石等级	期望蓝将成长	期望紫将成长	期望橙将成长	期望转职等级	期望炼魂等级	期望战斗力	期望普通历练属性	期望特殊历练属性	期望技能等级	期望血A将成长	期望血S将成长
Level	HopeEquipForgeLevel	HopeGemLevel	HopeBlueGrowth	HopePurpleGrowth	HopeOrangeGrowth	HopeSoldierLevel	HopeSoulLevel	HopeFightForce	HopeNormalPropety	HopeSpecialPropety	HopeSkillLevel	HopeARedGrowth	HopeSRedGrowth
1	2	0	20	40	60	1	0	1427	0	0	1	80	100
2	2	0	20	40	60	1	0	1499	0	0	1	80	100
3	2	0	20	40	60	1	0	1573	0	0	1	80	100
4	2	0	20	40	60	1	0	1646	0	0	1	80	100
5	2	0	20	40	60	1	0	1719	0	0	1	80	100
6	2	0	20	40	60	1	0	1773	0	0	1	80	100
7	2	0	20	40	60	1	0	1826	0	0	1	80	100
8	3	0	20	40	60	1	0	1880	0	0	1	80	100
9	3	0	20	40	60	1	0	1934	0	0	1	80	100
10	3	0	20	40	60	1	0	3102	0	0	1	80	100
11	3	0	20	40	60	1	0	3157	0	0	1	80	100
12	3	0	20	40	60	1	0	3212	0	0	1	80	100
13	3	0	20	40	60	1	0	3329	0	0	1	80	100
14	3	0	20	40	60	1	0	3384	0	0	1	80	100
15	3	0	20	40	60	1	0	3440	0	0	1	80	100
16	3	0	20	40	60	1	0	3495	0	0	1	80	100
17	3	0	20	40	60	1	0	3550	0	0	1	80	100
18	3	0	20	40	60	1	0	3624	0	0	2	80	100
19	4	0	20	40	60	1	0	3679	0	0	2	80	100
20	4	0	20	40	60	1	0	3887	0	0	3	80	100
21	4	0	20	40	60	1	0	3976	0	0	3	80	100
22	5	0	20	40	60	1	0	4086	0	0	4	80	100
23	5	0	20	40	60	1	0	4876	0	0	4	80	100
24	5	0	20	40	60	1	0	4995	0	0	5	80	100
25	5	0	40	60	80	2	0	7007	0	0	5	100	120
26	5	0	40	60	80	2	0	7147	0	0	6	100	120
27	5	0	90	110	130	2	0	7428	0	0	6	150	170
28	5	0	90	110	130	2	0	8258	0	0	7	150	170
29	5	0	90	110	130	2	0	8371	0	0	7	150	170
30	5	0	90	110	130	2	0	8853	0	0	8	150	170
31	6	3	90	110	130	2	0	10107	0	0	8	150	170
32	6	3	90	110	130	2	0	10276	0	0	9	150	170
