编号	属性	品级	刷新权重	军功消耗	成功后增加数值
Id	Property	Grade	AppearWeight	Honor	Add
1	attack	1	200	800	2
2	defence	1	100	800	2
3	mdefence	1	100	800	2
4	health	1	100	800	4
5	fortitude	1	0	800	0
6	hit	1	0	800	0
7	unblock	1	0	800	0
8	block	1	0	800	0
9	critdamage	1	0	800	0
10	miss	1	0	800	0
11	attack	2	98	1400	4
12	defence	2	49	1400	4
13	mdefence	2	49	1400	4
14	health	2	49	1400	8
15	fortitude	2	49	1400	2
16	hit	2	98	1400	2
17	unblock	2	98	1400	2
18	block	2	49	1400	2
19	critdamage	2	15	1400	2
20	miss	2	49	1400	2
21	attack	3	20	2600	8
22	defence	3	10	2600	8
23	mdefence	3	10	2600	8
24	health	3	10	2600	16
25	fortitude	3	10	2600	4
26	hit	3	20	2600	4
27	unblock	3	20	2600	4
28	block	3	10	2600	4
29	critdamage	3	15	2600	4
30	miss	3	10	2600	4
31	attack	4	2	5000	16
32	defence	4	1	5000	16
33	mdefence	4	1	5000	16
34	health	4	1	5000	32
35	fortitude	4	1	5000	8
36	hit	4	2	5000	8
37	unblock	4	2	5000	8
38	block	4	1	5000	8
39	critdamage	4	1	5000	8
40	miss	4	1	5000	8
