颜色组ID	武将ID	组间金币初始权重	组间金币最高权重	组间元宝权重	组的金币价值	组内权重	兑换刷新权重
Quality	Id	WeightInit	WeightMax	WeightCash	Value	Weight	ExchangeWeight
sred	93	0	0	20	999999	200	2
sred	94	0	0	20	999999	100	2
sred	95	0	0	20	999999	50	2
sred	96	0	0	20	999999	100	2
sred	97	0	0	20	999999	150	2
sred	98	0	0	20	999999	150	1
sred	99	0	0	20	999999	50	1
sred	100	0	0	20	999999	150	2
sred	101	0	0	20	999999	150	2
sred	102	0	0	20	999999	50	1
sred	103	0	0	20	999999	100	2
sred	119	0	0	20	999999	0	1
sred	120	0	0	20	999999	0	1
sred	121	0	0	20	999999	0	1
ared	83	10	10	976	1000	10	100
ared	84	10	10	976	1000	10	100
ared	86	10	10	976	1000	10	100
ared	85	10	10	976	1000	10	100
ared	87	10	10	976	1000	10	100
ared	88	10	10	976	1000	10	100
ared	89	10	10	976	1000	10	100
ared	90	10	10	976	1000	10	100
ared	91	10	10	976	1000	10	100
ared	92	10	10	976	1000	10	100
orange	63	90	90	16	100	10	0
orange	64	90	90	16	100	10	0
orange	65	90	90	16	100	10	0
orange	66	90	90	16	100	10	0
orange	67	90	90	16	100	10	0
orange	68	90	90	16	100	10	0
orange	69	90	90	16	100	10	0
orange	70	90	90	16	100	10	0
orange	71	90	90	16	100	10	0
orange	104	90	90	16	100	10	0
orange	72	90	90	16	100	10	0
orange	73	90	90	16	100	10	0
orange	74	90	90	16	100	10	0
orange	75	90	90	16	100	10	0
orange	105	90	90	16	100	10	0
orange	76	90	90	16	100	10	0
orange	77	90	90	16	100	10	0
orange	78	90	90	16	100	10	0
orange	79	90	90	16	100	10	0
orange	106	90	90	16	100	10	0
orange	80	90	90	16	100	5	0
orange	81	90	90	16	100	5	0
orange	82	90	90	16	100	5	0
orange	107	90	90	16	100	5	0
orange	108	90	90	16	100	5	0
purple	43	700	700	0	999999	10	0
purple	44	700	700	0	999999	10	0
purple	45	700	700	0	999999	10	0
purple	46	700	700	0	999999	10	0
purple	47	700	700	0	999999	10	0
purple	48	700	700	0	999999	10	0
purple	49	700	700	0	999999	10	0
purple	50	700	700	0	999999	10	0
purple	51	700	700	0	999999	10	0
purple	52	700	700	0	999999	10	0
purple	53	700	700	0	999999	10	0
purple	54	700	700	0	999999	10	0
purple	55	700	700	0	999999	10	0
purple	56	700	700	0	999999	10	0
purple	57	700	700	0	999999	10	0
purple	58	700	700	0	999999	10	0
purple	59	700	700	0	999999	10	0
purple	60	700	700	0	999999	10	0
purple	110	700	700	0	999999	10	0
purple	61	700	700	0	999999	10	0
purple	62	700	700	0	999999	10	0
purple	111	700	700	0	999999	10	0
purple	112	700	700	0	999999	10	0
purple	113	700	700	0	999999	10	0
purple	31	700	700	0	999999	10	0
blue	1	200	200	0	999999	10	0
blue	2	200	200	0	999999	10	0
blue	3	200	200	0	999999	10	0
blue	4	200	200	0	999999	10	0
blue	5	200	200	0	999999	10	0
blue	6	200	200	0	999999	10	0
blue	7	200	200	0	999999	10	0
blue	8	200	200	0	999999	10	0
blue	114	200	200	0	999999	10	0
blue	9	200	200	0	999999	10	0
blue	10	200	200	0	999999	10	0
blue	11	200	200	0	999999	10	0
blue	12	200	200	0	999999	10	0
blue	13	200	200	0	999999	10	0
blue	14	200	200	0	999999	10	0
blue	15	200	200	0	999999	10	0
blue	115	200	200	0	999999	10	0
blue	116	200	200	0	999999	10	0
blue	16	200	200	0	999999	10	0
blue	17	200	200	0	999999	10	0
blue	18	200	200	0	999999	10	0
blue	19	200	200	0	999999	10	0
blue	20	200	200	0	999999	10	0
blue	21	200	200	0	999999	10	0
blue	22	200	200	0	999999	10	0
blue	23	200	200	0	999999	10	0
blue	24	200	200	0	999999	10	0
blue	25	200	200	0	999999	10	0
blue	26	200	200	0	999999	10	0
blue	27	200	200	0	999999	10	0
blue	28	200	200	0	999999	10	0
blue	29	200	200	0	999999	10	0
blue	30	200	200	0	999999	10	0
blue	32	200	200	0	999999	10	0
blue	33	200	200	0	999999	10	0
blue	117	200	200	0	999999	10	0
blue	34	200	200	0	999999	10	0
blue	35	200	200	0	999999	10	0
blue	36	200	200	0	999999	10	0
blue	37	200	200	0	999999	10	0
blue	38	200	200	0	999999	10	0
blue	39	200	200	0	999999	10	0
blue	40	200	200	0	999999	10	0
blue	42	200	200	0	999999	10	0
blue	118	200	200	0	999999	10	0
