关卡编号	战斗幕布	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	奖励1	战斗力	士气
Id	Background	Boss	Pos0	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6	Pos7	Pos8	Award1	FightForce	InitPower
1	1	141011								141011	141011	user.soul:4	3450	203
2	1	241012							241012	141012		user.soul:4	3538	206
3	1	341013						341013	141013			user.soul:4	3628	209
4	1	441014					441014	541014				user.soul:4	4058	212
5	1	541015				541015	141015					material.19:4	4214	215
6	1	141016			141016	441016	241010					user.soul:4	5972	218
7	1	241017		241017	541017	141013						user.soul:4	6202	221
8	1	341018	341018	241018	441016							user.soul:4	7017	224
9	1	441019	141019	541019							441019	user.soul:4	7473	227
10	1	541020	241020							541020	241020	material.26:3	8289	230
11	2	141021							141021	241021	441021	user.soul:6	8403	233
12	2	241022						241022	541022	441022		user.soul:6	8571	236
13	2	341023					341023	441023	541023			user.soul:6	8757	239
14	2	441024				441024	441024	141024				user.soul:6	9879	242
15	2	541025			541025	241025	241025	541010				material.19:4	13522	245
16	2	141026		141026	541026	441026	341013					user.soul:6	14183	248
17	2	241027	241027	141027	541027	341016						user.soul:6	14981	251
18	2	341028	141028	441028	141019						341028	user.soul:6	17197	254
19	2	441029	341029	541022						441029	141029	user.soul:6	18178	257
20	2	541030	341025	341010					541030	541030	241030	material.26:3	21601	260
21	3	141031	441013					141031	441031	341031	541028	user.soul:8	23564	263
22	3	241032					241032	441032	441032	341031	341016	user.soul:8	26357	266
23	3	341033				341033	541033	241033	441033	241019		user.soul:8	28519	269
24	3	441034			441034	341034	341034	441034	241022			user.soul:8	29845	272
25	3	541035		541035	341035	141035	141035	141025	441010			material.19:4	33978	275
26	3	141036	141036	241036	441036	141036	141028	141013				user.soul:8	37948	278
27	3	241037	541037	241037	141037	341031	541016				241037	user.soul:8	39885	281
28	3	341038	141038	141038	541034	541019				341038	241038	user.soul:8	43442	284
29	4	441039	441039	541037	341022				441039	341039	141039	user.soul:8	46040	287
30	4	541040	141040	141025	141010			541040	541040	341040	441040	material.26:3	56320	290
31	4	141041	341028	141013			141041	241041	541041	441041	441043	user.soul:10	59224	293
32	4	241042	541016			241042	241042	441042	241042	541042	241031	user.soul:10	61780	296
33	4	341043			341043	141043	541043	441043	141043	441034	241019	user.soul:10	64638	299
34	4	441044		441044	441044	241044	341044	541044	541037	441022		user.soul:10	68327	302
35	4	541045	541045	541045	141045	341045	141045	241040	341025			material.19:4	74985	305
36	4	141046	441046	341046	341046	141046	541043	241028			141046	user.soul:10	80142	308
37	4	241047	341047	541047	441047	141046	441031			241047	541047	user.soul:10	85303	311
38	4	341048	141048	541048	441048	141034			341048	141048	141048	user.soul:10	89499	314
39	4	441049	541049	241049	441037			441049	441049	341049	141049	user.soul:10	94063	317
40	4	541050	541050	541040			541050	441050	341050	441050	441050	material.26:3	99576	320
41	4	141051	441043			141051	541051	441051	541051	441051	541051	user.soul:12	104722	323
42	4	241052			241052	141052	141052	541052	241052	541052	441046	user.soul:12	109354	326
43	4	341053		341053	241053	141053	241053	341053	441053	141049		user.soul:12	116368	329
44	4	441054	441054	241054	141054	541054	141054	541054	141052			user.soul:12	120451	332
45	4	541055	141055	141055	441055	441055	341055	141055			541055	material.19:5	130942	335
46	4	141056	341056	541056	441056	541056	241056			141056	141056	user.soul:12	138516	338
47	5	241057	541057	441057	341057	341057			241057	241057	141057	user.soul:12	141890	341
48	5	341058	241058	441058	341058			341058	541058	541058	541058	user.soul:12	144956	344
49	5	441059	541059	541059			441059	141059	441059	441059	141059	user.soul:12	152600	347
50	5	541060	441060			541060	541060	341060	341060	341060	241060	material.26:4	163142	350
51	5	141061			141061	541061	441061	441061	141061	541061	141061	user.soul:14	169050	353
