等级	充值元宝	每天购买粮草次数	训练位品质上限	神秘商店刷新次数上限	打造装备成功率	每天金矿免费占领次数	每天金矿元宝占领次数	每天擂台免费挑战次数	每天擂台元宝挑战次数	每天重楼免费重置次数	每天重楼元宝重置次数	每天技能书合成次数	商社行动力上限	扫荡次数上限	过关斩将免费次数	过关斩将元宝次数	一骑当千免费次数	一骑当千元宝次数	VIP购买金币额外增加次数	跳过PVE战斗	福利购买福利	购买元宝价格	福利名称	福利描述	vip特权描述
Level	Cash	BuyFood	TrainSeatQuality	BlackShopRefresh	MakeEquipAdd	OccupyMineFree	OccupyMineCash	RankDailyFree	RankDailyCash	TowerLimitFree	TowerLimitCash	Skillsynthesis	BusinessLimit	BattleTimes	KillFree	KillCash	OneRideFree	OneRideCash	AddBuyGold	JumpBattlePVE	Award1	CashPrice	BenefitsName	BenefitsIntroduction	Description
0	0	3	1	20	0	3	0	10	0	1	0	2	120	10	1	0	1	0	0	1	0	0	无	无	无
1	100	5	1	25	0	3	0	10	0	1	1	2	135	10	1	1	1	0	0	1	user.food:2000	18	粮草2000	征战推图必备资源（每日限购买一次）	每日购买粮草5次*神秘商店每日刷新25次*跑商每日135行动力*每日技能书合成2次*过关斩将额外重置1次*千重楼额外重置1次*V1特购粮食2000
2	500	6	1	30	0	3	1	10	0	1	1	2	135	99	1	1	1	1	1	1	material.19:10	28	技能书10本	技能升级必备物品（每日限购买一次）	每日购买粮草6次*神秘商店每日刷新30次*跑商每日135行动力*开启扫荡上限99*每日金矿额外占领1次*每日技能书合成2次*金币额外购买1次*过关斩将额外重置1次*一骑当千额外重置1次*千重楼额外重置1次*可购买V1的折扣商品*V2特购技能书10本
3	1000	7	2	35	0	3	1	10	2	1	1	2	150	99	1	1	1	1	2	1	material.22:10	38	2级培养丹10个	用于武将培养（每日限购买一次）	每日购买粮草7次*神秘商店每日刷新35次*跑商每日150行动力*开启扫荡上限99*每日金矿额外占领1次*每日技能书合成2次*金币额外购买2次*训练位可提升为银品质*擂台额外挑战2次*过关斩将额外重置1次*一骑当千额外重置1次*千重楼额外重置1次*可购买V1-2的折扣商品*V3特购2级培养丹10个
4	3000	8	2	40	0	3	1	10	3	1	1	2	150	99	1	2	1	1	3	1	gem.902:2	58	2级士气石2个	镶嵌在装备上可让武将提前释放技能（每日限购买一次）	每日购买粮草8次*神秘商店每日刷新40次*跑商每日150行动力*开启扫荡上限99*每日金矿额外占领1次*每日技能书合成2次*金币额外购买3次*训练位可提升为银品质*擂台额外挑战3次*过关斩将额外重置2次*一骑当千额外重置1次*千重楼额外重置1次*可购买V1-3的折扣商品*V4特购2级士气石2个
5	5000	9	2	50	0	3	2	10	4	1	1	3	165	99	1	2	1	2	4	1	material.3414:1	78	4级宝石袋1个	能开出4级谋略/武力/武防/谋防/统帅石（每日限购买一次）	每日购买粮草9次*神秘商店每日刷新50次*跑商每日165行动力*开启扫荡上限99*每日金矿额外占领2次*每日技能书合成3次*金币额外购买4次*训练位可提升为银品质*擂台额外挑战4次*过关斩将额外重置2次*一骑当千额外重置2次*千重楼额外重置1次*可购买V1-4的折扣商品*V5特购四级宝石袋1个
6	10000	10	3	60	0	3	2	10	5	1	2	3	165	99	1	2	1	2	5	1	material.82:2	98	神将碎片2个	武将实体化“觉醒”的必备材料（每日限购买一次）	每日购买粮草10次*神秘商店每日刷新60次*跑商每日165行动力*开启扫荡上限99*每日金矿额外占领2次*每日技能书合成3次*金币额外购买5次*训练位可提升为金品质*擂台额外挑战5次*过关斩将额外重置2次*一骑当千额外重置2次*千重楼额外重置2次*可购买V1-5的折扣商品*V6特购神将碎片2个
7	25000	11	3	80	0	3	2	10	8	1	2	3	180	99	1	3	1	2	7	1	user.soul:1000	98	将魂1000	用于招贤馆兑换武将（每日限购买一次）	每日购买粮草11次*神秘商店每日刷新80次*跑商每日180行动力*开启扫荡上限99*每日金矿额外占领2次*每日技能书合成3次*金币额外购买7次*训练位可提升为金品质*擂台额外挑战8次*过关斩将额外重置3次*一骑当千额外重置2次*千重楼额外重置2次*可购买V1-6的折扣商品*V7特购将魂1000
8	50000	12	3	100	0	3	3	10	10	1	2	3	180	99	1	3	1	3	9	1	material.3415:1	198	5级宝石袋1个	能开出5级谋略/武力/武防/谋防/统帅石（每日限购买一次）	每日购买粮草12次*神秘商店每日刷新100次*跑商每日180行动力*开启扫荡上限99*每日金矿额外占领3次*每日技能书合成3次*金币额外购买9次*训练位可提升为金品质*擂台额外挑战10次*过关斩将额外重置3次*一骑当千额外重置3次*千重楼额外重置2次*可购买V1-7的折扣商品*V8特购5级宝石袋1个
9	100000	14	3	120	0	3	3	10	12	1	3	3	195	99	1	3	1	3	11	1	material.82:10	498	神将碎片10个	武将实体化“觉醒”的必备材料（每日限购买一次）	每日购买粮草14次*神秘商店每日刷新120次*跑商每日195行动力*开启扫荡上限99*每日金矿额外占领3次*每日技能书合成3次*金币额外购买11次*训练位可提升为金品质*擂台额外挑战12次*过关斩将额外重置3次*一骑当千额外重置3次*千重楼额外重置3次*可购买V1-8的折扣商品*V9特购神将碎片10个
10	250000	16	3	140	0	3	4	10	14	1	3	3	195	99	1	3	1	3	13	1	material.102:20	1000	华佗碎片20个	集齐80个可召唤三国第一变性医学大师华佗（每日限购买一次）	每日购买粮草16次*神秘商店每日刷新140次*跑商每日195行动力*开启扫荡上限99*每日金矿额外占领4次*每日技能书合成3次*金币额外购买13次*训练位可提升为金品质*擂台额外挑战14次*过关斩将额外重置3次*一骑当千额外重置3次*千重楼额外重置3次*可购买V1-9的折扣商品*V10特购华佗碎片20个
11	500000	18	3	160	0	3	5	10	17	1	3	3	210	99	1	3	1	3	15	1	material.107:20	1000	童渊碎片20个	集齐80个可召唤童渊（每日限购买一次）	每日购买粮草18次*神秘商店每日刷新160次*跑商每日210行动力*开启扫荡上限99*每日金矿额外占领5次*每日技能书合成3次*金币额外购买15次*训练位可提升为金品质*擂台额外挑战17次*过关斩将额外重置3次*一骑当千额外重置3次*千重楼额外重置3次*可购买V1-10的折扣商品*V11特购童渊碎片20个
12	1000000	20	3	200	0	3	6	10	30	1	3	3	210	99	1	3	1	3	17	1	material.103:20	1000	左慈碎片20个	集齐80个可召唤霍格沃茨魔法学校校长左慈（每日限购买一次）	每日购买粮草20次*神秘商店每日刷新200次*跑商每日210行动力*开启扫荡上限99*每日金矿额外占领6次*每日技能书合成3次*金币额外购买17次*训练位可提升为金品质*擂台额外挑战30次*过关斩将额外重置3次*一骑当千额外重置3次*千重楼额外重置3次*可购买V1-11的折扣商品*V12特购左慈碎片20个
