编号	地点	需要vip等级	无法跳过时的提示
Id	Place	VipLevel	Content
0	征战	0	VIP0可跳过征战
1	千重楼	3	VIP3可跳过千重楼战斗
2	精英武将	0	VIP0可跳过征战
3	精英士兵	0	VIP0可跳过征战
4	英雄祭坛	0	VIP0可跳过征战
5	世界boss	0	VIP0可跳过征战
6	跑商	0	VIP0可跳过征战
7	琳琅店铺	0	VIP0可跳过征战
8	擂台	2	VIP2可跳过擂台战斗
9	金矿	2	VIP2可跳过金矿战斗
10	消息回放	0	VIP0可跳过征战
11	抢夺残卷	1	VIP1可跳过抢夺残卷战斗
12	军团活动过关斩将	0	VIP0可跳过征战
13	军团战pvp	1	VIP1可跳过军团PVP战斗
14	军团战BOSS	0	VIP0可跳过征战
15	矿点驻守	0	VIP0可跳过征战
16	勇闯汉墓	0	VIP0可跳过征战
17	一骑当千	0	VIP0可跳过征战
18	保护献帝	0	VIP0可跳过征战
19	武圣争霸	3	VIP3可跳过武圣争霸战斗
999	其他	0	VIP0可跳过征战
